,Samp242,Samp354,Samp401,Samp402,Samp404,Samp405,Samp409,Samp416,Samp418,Samp419,Samp421,Samp424,Samp427,Samp435,Samp439,Samp441
Pfdn5,1805.424,1364.189,1543.992,1360.926,1852.053,2196.69,1736.819,1583.127,2070.933,2074.789,1362.231,1919.866,2007.118,2010.008,1708.24,1412.049
Efnb2,173,162,1406,416.999,1623.001,721,1805,605,247,1571,218,263,620,632,775,286
Rrp15,1349.147,1300.94,202.245,1240.273,252.002,1745.301,265.6,1117.001,1289.313,256.449,1456.385,1207.264,1261.52,1172.768,768.102,1463.823
Rnd2,838.942,789.948,2163.034,854.814,2371.425,2083.69,2627.924,1140.949,1488.13,2316.828,740.604,1526.965,969.017,1279.094,1795.5,804.694
Srr,689.112,672.357,1824.354,845.395,2108.852,924.68,2103.221,1042.424,856.988,2037.493,601.241,817.553,1056.864,1179.152,1332.227,748.835
Sync,32.045,31.415,26.482,23.041,27.282,22.094,27.405,40.226,43.191,25.679,43.577,28.082,36.397,31.064,32.075,19.243
Fndc5,175,147,1805,336,2089,592,2161,456,266,2039,184,441,684,659,1130,222
Acp5,428.885,602.614,4.332,497.999,15,661,7,424.001,626.018,10,421,637.001,614.999,594.814,334,449.999
Cnn1,29,15,6,15,9,25,4,14.999,18,10,25,24,30,13,19,14
Fbxo9,773.001,849.999,2557.998,970.001,2465,1280.999,2887,1143,753.001,2433.001,833,1008,1213,1183,1546.999,908
Vps50,1393.038,1457.335,2045.701,1441.752,2070.069,1831.107,2353.965,1659.836,1282.657,2125.196,1454.109,1457.121,1589.772,1716.215,1611.939,1574.887
Hars,2543.745,2640.592,1745.822,2525.49,1963.523,3336.878,2132.35,2496.174,2934.101,2003.154,2634.599,2827.561,2596.869,3330.668,2268.167,3209.034
Zmat2,1804,1633,2719,1841,3386,2651,3446,2033,2413,3492,1591,2333,2263,2892,2452,1839
Ube2c,3647.976,3229.412,16.046,3185.169,20.154,4119.636,21.525,2662.492,3476.909,19.152,3839.019,3763.551,2722.1,3476.848,1933.236,3589.817
Smg5,2506.034,2698.24,2084.253,2326.21,2473.473,2819.329,2437.2,2550.005,2508.352,2531.229,2541.246,2659.766,2454.278,2516.539,2381.348,2720.753
Cct3,7521.566,8690.257,2702.334,8103.04,3144.859,9283.565,3419.187,7811.992,7654.508,2949.673,9219.237,9313.391,7218.743,7131.932,6256.139,8930.648
Glmp,351.319,440.375,697.372,554.437,788.919,807.389,756.926,582.643,477.376,796.916,381.435,547.221,829.441,734.182,805.171,478.183
Mef2d,2636.873,2267.566,5543.947,2977.036,6746.167,3164.531,7264.615,3469.419,3102.247,6789.186,2498.222,2953.435,3496.067,3644.829,4326.171,2991.26
Tmem79,24.152,20.794,9,26.21,11.017,21.662,11.507,24.972,41.891,13.423,17.863,14.774,19.238,23.535,16.19,21.586
Snd1,6940.011,7690.99,1940.011,7225.19,2357.323,6948.092,2466.474,6379.447,8740.497,2158.08,8438.562,7117.986,6969.812,6176.6,5581.247,6963.245
Col18a1,23641.002,13108.923,190,11055.046,276,11279.016,286.988,11919.602,29355.197,240.999,15995.004,15312.035,16155.002,9124.08,5691.541,10740.974
Slc19a1,1232.999,948.999,319,739.001,391.999,868,401.001,804,751.001,347,881,880.999,959,872,595,945.999
Kpnb1,16000,17775.272,5200.025,16652.395,5605.117,15613.083,6396.799,15678.827,14787,5300.431,18443.271,16289.883,14247.327,14240.999,12305.004,18412
Npepps,3350.993,3131.571,5177.928,3565.063,6057.739,4446.77,6273.217,3886.554,3127.144,5699.27,3505.307,3975.636,4231.051,3968.892,4448.306,3728.476
Tbx21,23,19,5,29,7,44,11,21,13,22,21,14,26,22,28,23
Mrpl10,1444.934,1428.203,977.886,1406.309,1184.651,1658.737,1114.086,1381.934,1579.931,1107.567,1368.841,1833.025,1456.311,1554.06,1383.574,1479.998
Cyp51,3811.035,4907.668,1813.556,3065.254,1970.168,2483.293,2029.248,3379.421,1983.231,1790.934,5751.387,2967.648,5540.322,3197.516,2696.265,4350.496
Tcf25,6827,4999.001,13626.001,6720.999,15807.001,9213,15573.001,7462,9449,15835,6418.998,7050.999,9000,9426,10042,7144.001
Tubb6,3912,3424,143,3235.002,150,3648,183,3140,4647.999,169,3676,3932,2979.993,4063,2013,3231
Def8,868.844,655.8,1006.377,949.498,1117.175,1137.785,1266.651,911.273,1273.307,1002.134,784.146,791.169,1006.205,1082.162,1053.913,747.595
Meox1,33,21,13,29,12,31,20,30,66,16,28,39,51,28,25,37
Sost,0,0,3,0,0,2,4,0,0,4,0,0,0,1,2,0
Nkx2-1,8.99,17.011,106.013,30.522,146.151,85.209,110.09,42.694,19.243,99.529,2.986,40.331,17.916,24.163,98.711,5.7
Pax9,140.625,135.47,1.184,104.236,4.403,75.321,8.955,97.904,127.858,5.436,97.35,106.049,92.448,105.132,60.984,100.6
Irx2,479.001,482,138,376.999,136.999,275.001,133,399.999,382,98,534.999,534.004,411,374.579,266,396.991
Col1a1,6901,2696,377,1106,385,1374,459,3357,1023,454,3046,841,37888.999,2878,1092,2904
Itga3,259.001,272,701,455.001,731.999,481,769,513,673.001,622,443,406,418,418,655,317
Sgca,7,5,5,5,3,2,6,0,7,3,6,4,11,8,10,2
Dlx3,0,0,5,0,3,2,5,3,1,0,1,1,0,0,0,1
Foxm1,3891.391,3448.055,36.326,3540.86,48,2618.536,48.796,2935.792,3846.148,48.719,3717.395,3356.464,2499.649,2845.905,2078.544,3296.393
Itfg2,611.575,545.178,552.618,503.423,701.92,555.008,766.678,567.967,769.925,651.283,462.358,558.079,543.888,636.62,658.746,498.491
Nrip2,75.688,65.519,476.178,151.744,616.477,204.257,542.882,170.428,116.809,556.753,68.676,119.76,138.668,162.704,305.409,85.956
Tulp3,9324.806,6215.778,428.629,7025.757,617.139,6647.093,586.173,6588.734,11853.429,680.337,8528.98,8341.362,6588.966,5800.057,5059.635,6974.561
Gtf2h4,602.001,513.001,256,466.001,341.001,621.001,366,425,532.999,336.999,476.048,523.999,492.999,522.001,405.999,524
Tubb5,21926.298,20011.475,10608.535,19170.417,12167.609,22969,12556.592,19657.001,25065,11963.004,20728,20797.263,18986.067,22042.356,16504.214,19392.97
Ell2,509,661.029,847.001,730,898.13,685.201,981.545,723.949,740.288,944.016,644.189,601.001,957,767,755.099,699.063
Jup,825.473,458.183,1332.087,680.835,1432.833,709.119,1528.223,731.078,941.016,1402.115,914.908,608.218,1123.643,921.238,1100.634,836.821
Fkbp10,3642.183,1809.79,161.529,2296.154,163.1,2486.939,158.318,2140.738,4239.539,163.676,3172.543,2168.96,3152.525,2368.903,1503.975,2227.996
Klhl10,15,20,6,14,15,11,8,23,12,7,15,12,14,6,15,6
Mnx1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Nom1,2954.576,3151.596,898.548,2656.341,1007.692,2414.883,1173.319,2623.125,2543.325,1047.968,2603.374,2873.827,2395.302,2310.183,1883.926,2819.147
Ergic1,3176.002,2631,2463.999,3018.002,2830,2941,2897.002,2882.998,3996.999,2810.002,3271.999,2974.002,3238.001,2963.001,2902.001,3023.001
Tnk1,4.403,5.905,1,1,1.282,2.352,5.346,2.316,6.588,1,2.115,2.113,1.102,1.124,1.167,1
Acap1,70,103,7,86,18,150,8,70,50.001,10,61.001,108.999,136.001,80.999,101.001,90
Tcea3,5,13,17,6,14,20,10,11,7,20,5,9,12,18,29,6
Csn3,861.065,1300.632,9.605,1979.667,16.137,2093.131,14.682,1258.893,3813.815,3.921,1022.271,2005.014,633.531,1337.857,1582.603,1705.811
Ifrd1,2412.733,2459,763.864,2085.533,868.715,2579.101,1037.964,2196.599,2637.646,853.603,2178.201,2186.256,2146.838,2289.09,1462.77,2923.27
Stk38l,1122.776,1449.058,884.605,1070.731,945,899.456,1028.884,1221.078,1035.521,922.514,1073.279,1240.097,1180.547,967.837,992.44,1134.521
Brpf1,1484.253,1734.615,899.343,1529.34,1038.176,1267.94,1055.67,1467.922,1743.041,1045.879,1542.638,1629.734,1458.564,1379.517,1371.094,1333.517
Akr1b3,2716.187,2589.826,781.016,2576.061,811.537,3120.161,901.849,2249.294,2713.021,830.907,2887.429,2748.714,2500.358,2409.803,1948.883,2666.091
Hoxc13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxc6,2,3,0,2,0,2,1,0,1,0,2,2,2,1,1,0
Gstt1,35,37,149,75.999,209.999,101,205,87,48,191,18.999,61,98,125,129,39
Gstt3,150.122,112,112.001,120,89,125.999,94,113,142.707,96,127,182,169,127,133.999,108
Ddt,301.343,293,384,298,435,433,420,337,347.251,462,276,413,389,357,336,296
Tat,1,0,2,0,2,0,4,0,1,1,0,0,1,2,1,1
Marveld3,3,2,10,7,20,7,13,4,4,10,3,6,5,6,12,2
Ddx18,2348.079,3116.891,525.626,2627.808,602.917,3194.651,680.802,2507.838,2297.113,614.928,2663.469,3168.864,2253.956,2186.615,1824.814,2996.745
Ubl3,3156.001,3680.999,5267.999,3198,5615,4110,6201,3829,3591.998,5201,2642.001,3889,3414,3698.002,4409,3286.999
Gramd3,327,348,478,402,481,514.999,542,402,443,496,322.001,394,468,431,466,341.85
Eef1e1,1038,1428.001,532,1127,576,1244.999,591,1230,894.001,577.001,1319,1442.999,1078,1092.001,946,1272
Akt1,6302.001,5072,3453.001,5384.999,3807,6769.002,4212.999,5842,7030.001,3723.001,6044,6382.999,5965.999,6219.999,5552.999,5714.001
Cldn15,14,17,5,15,9,14,5,11,16,4,11,13,18,10,8,15
Il16,280.076,188.811,141.117,235.278,168.72,357.454,143.939,201.444,454.302,164.134,258.582,204.887,272.906,308.402,349.219,216.645
Tcirg1,2239.706,3526.57,370.339,3116.022,496.346,2506.836,457.21,2836.899,2510.16,574.198,2339.986,4269.921,3084.098,2241.381,2568.503,2678.94
Naglu,1069.001,1130.999,208,1048.001,188,915,198,989,1331,226,879.001,1134,1203,1193,977.001,797
Coasy,902,956.001,509.999,948,553,1029,577.999,955,1069,577.999,873.999,1163.001,866,893,820.999,959
Smo,2062,1372,465,1400,499,1581,543,1203,1723,429,1863,1722,1673,1053,1309,1468
Tspan33,135.54,111.002,625.004,185.009,690.004,259.214,800.944,224.295,129.31,676.979,111.007,192.01,247.657,235.596,428.104,143.331
Crnkl1,1137,1280,618,1149,566,1356,676,1179,1249,482,1214,1177.001,993,1011,969.001,1206
Rin2,2586.4,2455.074,862.094,3027.353,995.095,2833.322,1002.831,2618.229,4956.378,916.574,2967.69,3453.686,2540.215,2402.282,2590.292,2628.576
Folh1,53,57,263,87,270,210,247,113,81,209,46,79,118,171,240,50
Chordc1,2027.519,3365.397,3117.922,3301.474,3214.728,3060.775,3564.139,3133.462,1673.642,3163.059,2997.095,4400.362,2961.3,2369.355,3201.678,3517.872
Rtcb,12097,13374,2259,9899,2433,9558,2818,9890,13075,2336,10630,12120,9806,10608,7149,10528
Pwp1,2476,2544,471.001,2078.999,511,2182,545,2026.999,2047,562.999,2355,2467.999,1757.999,1740.999,1364,2409
Fbxo7,6184.515,7568.364,1132.333,5388.686,1317.393,4638.845,1251.217,5112.309,6548.391,1326.565,5255.102,6540.283,4528,4368.353,3678.106,4875.755
Capns1,6706.002,5321.999,2873.001,5549.14,3121.999,7245.001,3353,5472.991,8626,3221.001,6322,6882.001,6433.997,6825.001,5519.994,5618
Lrp3,164.521,138.585,2157.903,419.134,2468.366,761.76,2749.324,598.58,275.468,2484.555,186.569,397.242,680.167,789.009,1223.999,307.858
Dsg4,2,44,0,21,0,2,1,8,20,0,9,9,2,3,2,8
Evx2,0,0,12,0,11,0,7,0,0,2,2,0,0,0,0,0
Hoxd13,0,2,0,3,1,1,1,1,1,1,1,1,0,0,1,1
Hoxd12,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Folr1,38,33,71.001,14,54,9,126.001,5,62,52,16,49,88.999,47,91,3
Clpb,960.001,987,1465.999,1080,1627.001,1171.28,1708.001,1198,1221.928,1605,1019,1097,1222,1133.001,1360,1053
Septin7,9502.829,8164.63,12096.718,8712.756,12831.718,11117.189,13681.751,9823.349,11620.758,12116.855,9491.32,8722.296,10181.905,11136.164,9541.431,9783.42
Zdhhc4,697,681,364.999,475.001,483.001,503.999,463,619.999,718.001,488,382,684.999,588.998,688,514.001,542.002
Rac1,8501.075,7741.376,7984.511,7736.483,8499.578,10121.275,9129.051,8392.617,8657.932,8585.096,7689.581,8593.366,8793.245,8641.555,8317.25,8177.117
Nup214,1739.8,1847.879,980.322,1981.28,1059.828,1437.962,1237.034,1725.761,2020.951,1150.557,2014.838,1753.491,1642.664,1573.8,1552.39,1604.735
Aif1l,4017.001,3333.129,203,2754.002,243,3084.999,269,2905,4908.998,259.999,3545,3973,2412,3125,1963,2984.443
Cpa3,42,5,1,28,0,112,2,30,49,2,53,22,145,16,13,62
Ltbp1,806.139,1129.057,271.522,605.659,339.002,271.886,346.757,832.4,415.858,344.026,676.422,802.491,894.123,531.835,546.278,637.803
Ugp2,1885.427,1720,2279.296,1775.922,2220.409,2275.831,2299.133,1957.465,1889.655,2096.132,1774.311,2008.506,1873.7,1796.944,2088.741,1875
Kcnh6,18,11,48,19,92,25,45,30,32,76,20,13,26,31,32,8
Trmt1,2089.946,2079.237,1175.117,1964.391,1618.108,2303.28,1480.767,1843.746,2514.893,1773.364,2068.135,2266.772,2280.376,2161.283,1781.912,2285.486
Nacc1,4445.001,3894.809,2829,4238.5,3355.04,4416.001,3474,3934,5324.835,3181.859,4512.001,4266,4320,4224.829,4077,4013.026
Nfix,2791.954,1693.961,5642.892,2534.978,6623.753,2175.428,6620.166,2958.024,2669.035,6562.849,2179.257,2535.323,4356.307,3663.435,4797.308,2914.883
Slc1a5,2487,2067.999,65,2009.999,81.001,1860,95.001,1734.001,2548,84,1924,2072,2238,2225.999,1310,2225.001
Uba1,7024.815,7808.336,9319.761,8381.992,10070.952,9168.409,11291.902,9010.778,8240.561,9702.069,8091.085,7886.972,8391.247,8302.22,9984.938,7794.86
Vwf,1153.221,1050.786,736.846,1310.668,614.723,1733.333,829.271,1650.169,1830.511,750.71,1443.413,1242.009,1261.239,1410.432,1372.49,1317.77
Siae,371.405,337.287,542.251,432.4,662.393,546.881,644.434,426.543,441.397,608.349,362.268,353.891,517.997,416.241,536.135,378.919
Vsig2,47,19,122,42.001,187,53.999,171,74.999,71.999,202.001,35,56,85,142.999,79,59.999
Esam,297,282,350,334,380,410.001,386.999,405.001,463,392.999,319,391.001,430,386.999,388,362
Spa17,31,20,31.414,20,47.29,42,41.997,32.272,34,43.783,23,43,53.96,33.999,35,17
Fam50a,1316.001,1793,450,1516.999,507,1355,462,1552,1777,565.001,1445.001,2043,1255,1190,1088,1297
Emd,2243.179,2080.657,566.044,1805.744,652.496,1814.217,615.511,1800.633,2494.321,654.939,2129.336,2119.97,1787.772,1804.066,1461.636,1784.692
Taco1,324.018,358.297,241.969,316.345,272.658,325.129,308.317,316.797,210.102,238.714,320.646,324.612,318.481,275.538,344.471,335.138
Grik3,1001,2772.494,2311,1873.06,2685.997,1406.051,2936.013,1959.217,1459.003,2492.588,1610.424,1882.4,1461.005,1559.709,1992.007,1198.017
Gria3,508.204,358.397,5617.719,1155.521,6920.191,2061.207,7067.056,1671.102,748.002,6919.952,484.998,911.735,2226.958,2047.083,2748.747,836.063
Npas1,30,24,217,63.001,295,96,291,67,54,282,54.999,63,80,79,148.001,48
Sipa1l2,617,639.001,1844,884.921,1971.001,876.027,2332.021,917,969,1881,648,744.001,1007,1060.001,1638,784.16
Ap4e1,881.679,1010.175,409.888,891.508,503.226,579.604,529.126,869.925,789.709,516.453,953.078,779.131,726.814,667.315,660.822,878.941
Blvra,370,337,330,348,363,548.001,366,356,376,341,375.001,363,440,439.001,364.001,373
Pdzd4,719.154,821.583,3031.666,1022.943,3286.622,1728.061,3579.283,1411.892,890.909,3362.223,789.465,1223.816,1189.757,1409.702,1877.087,978.973
Srpk3,304,301.999,79.999,177.001,165,239,121,164.999,335.999,185.999,174.001,297.001,248.999,296.001,151,191
Idh3g,4234,3896.999,2491.002,3520,2943,3730.999,2825,3747,4389,3176.999,3691.001,4575,3725,3701.999,3338,3594.999
Pnck,104,73.999,1489,296.999,1756,743,1793,513,130.001,1849,45,259.001,325,396.999,881,126.001
Ssr4,4414.001,3915,562,3457,696.001,3424,692,3759.001,4359,743.001,3559,4564,3522.999,3544,2732.001,3383
Bcap31,4222,4263,1301,4041,1579,4326,1568,3759,4734,1439,4345,4789,3886,3826,3309,4475
Fam98a,1460,1627,928,1610.001,1015,1514.999,991,1558,1460.999,1076.999,1704,1864,1580.999,1480,1338,1873
Ltbp2,191.934,60.001,10.39,44.999,16,132.999,16.718,101.382,41,52.038,104.826,21.392,456.016,108.524,43,103.681
Kmt2a,4312.925,4437.99,5827.708,5565.974,6456.354,3860.703,6926.732,5286.809,4778.925,7095.362,4616.674,4070.834,5479.866,4414,5312.709,4684.942
Ift46,1151.324,705.484,664.896,776.864,891.627,1068.39,839.911,834.91,1343.948,835.432,874.488,971.129,895.694,937.38,859.074,828.521
Tmem25,165,105.001,1210,227,1523,385.002,1515,338.001,199,1515.999,170.001,253,453,487.001,680,211
Cd3g,125,117,1,92,11,271,8,81,57,8,60,184,145.999,64,99.999,95
Trappc6a,360,234,94.001,244.001,90.999,342,121,268,431.999,121.999,261,363,318,285,226.001,218
Supt6,2585.902,2579.936,4399.183,3085.314,5118.627,3287.483,5583.602,3272.721,3305.097,4737.416,2701.614,2836.849,3452.043,3607.736,4293.742,2751.789
Spag5,2559.737,2385.879,258.005,1962.31,396.705,1683.368,373.445,1785.42,2200.736,425.736,2136.782,2074.058,1751.326,1703.101,1201.82,1956.233
Foxn1,0,0,0,1,0,1,0,1,2,1,0,1,0,0,0,1
Unc119,227,179,523.001,240,589,374,606,287.001,315,587,198.001,348,328.001,333,419,206
Rab34,2002.174,1903.872,323.805,1675.194,439.718,1760.089,359.443,1519.458,2608.559,466.415,1521.859,2219.788,1299.793,1675.166,1040.082,1605.376
Sdf2,1185.097,1288.064,769.833,1121.686,890.192,1378.217,957.477,1181.291,1334.034,899.465,1151.191,1502.38,1195.679,1232.671,1130.589,1200.249
Ccne1,642,905,292,1016.999,326,1072.001,349,877,724,358,772,936,762,681,646,646
Hsf2bp,11.089,3,6,5,12.001,14.001,9,5,7,7,9,9.995,9,9,7,14.015
Bbc3,369,368,113,334,142,329.999,143.999,325,710.001,136.001,347,472,385,465.999,312,342
Mybpc3,4,3,6,3,9,10,10,7,3,9,4,10,8,4,7,15
Psmc3,3466.291,3737.365,2694.578,3408.336,3064.846,4478.373,3268.76,3925.084,3812.931,3079.764,3388.282,4317.939,3562.449,3790.667,3440.88,3584.893
Acp2,1350.208,1725.806,1997.214,1854.746,2201.963,2069.699,2214.378,1983.456,1903.326,2197.354,1239.216,1848.199,2004.533,2082.2,2108.744,1531.851
Rapsn,18,19,13,23,14,51.999,13,38,34,11,14,31,26,49,25,16
Slc39a13,646.708,621.634,507.42,828.664,570.157,731.625,574.24,728.916,837.069,550.237,753.719,887.063,871.55,670.333,756.12,632.108
Celf2,2964,2840.001,11654.001,4201.001,14350.071,6901.997,13859,5623,2930.999,14654,3049.001,4201,5786.999,5972.001,7262.694,4279.986
Nr1h3,118,197.001,75,213.001,83,266,80,210,163,87,187.203,256.001,263,182.704,187,165
Ddb2,271.799,291.83,224.838,255.157,282.681,277.013,274.856,271.189,263.706,338.657,169.842,348.808,250.934,283.761,238.887,246.009
Spi1,291,565.001,79.001,632.001,69,912,94,495,510,87,403,554,752,693,661,472.001
Sf3a1,3806.999,4462.001,1985,4174.998,2238.001,3351,2427,4002,3988,2103,4015.999,4477.001,3679.001,3575.999,3543.999,3562.001
Stat6,1590,1854.999,318.999,1866.001,384,1575,382.999,1627.134,1651,390,1868,2102.999,1842.999,1260,1601,1473
Clgn,22,45,329,77,456,125,413,112,51,397,37,75,124,104,217,60
Napsa,76.678,138.121,7,122.443,14.353,161.696,14.189,118.855,103.968,20.999,107.446,119.301,141.202,88.734,115.752,82.127
Vrk3,829.876,992.056,472.255,999.018,544.167,913.019,534.746,919.28,989.959,522.592,888.689,1143.557,908.167,927.177,843.43,883.376
Smg9,677.191,561.208,533.474,556.291,727.112,756.54,710.21,626.893,829.04,745.805,531.246,694.566,718.021,766.257,640.993,593.934
Paxip1,2042.823,2442.606,1085.118,2227.153,1230.53,1459.531,1260.391,2081.611,1785.127,1187.618,2082.822,2152.83,2043.556,1823.979,1775.375,1958.272
Rmnd5a,3980.999,3590.999,4888,3371.001,4884.999,3017,5608.999,3707,4239,4789,3613.999,3580,3795,3493.001,3789,3263
Mov10,2681,4315.974,179.99,3774.994,345,2156.982,290.944,3318.992,2735,472.941,3150,4134.999,2485.986,2152.985,2698.993,2677.978
Ppm1j,32,38,15,35,16,51,17,35,41,26,43,41,54,37,26,69
Rhoc,2691,2947,256,2542,294,2407,293,2291,3602,303.999,2557,3561,2601,2229.999,1991,2273
Prr27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tead3,192,115,59,137,84,144.001,58,139,220,96,114.001,183,183.001,126.999,106.999,130.001
Ppard,1121.001,1171.188,611,1093.998,746,869,746,1040,1271.006,726,1109.055,1129,1180.002,1106.003,1086.999,1007.999
Def6,224.249,233.982,35.235,206.103,73.292,259.551,83.622,215.647,390.92,64.349,187.537,290.627,222.8,208.79,223.184,210.695
Peg3,3490,3291,16025,4212,17082.001,5465.001,18002,6162,3311.999,14504,2789.999,4431.001,5294.001,5475.999,9816.999,3301
Zim1,29.243,29.618,426.988,94.038,594.167,157.946,417.765,163.406,44.735,396,18.517,92.397,84.275,46.437,318.465,30.489
Metrn,7928.715,5646.746,1129.944,5036.521,1239.808,6330.327,1304.709,5246.388,8263.246,1235.996,6190.1,7085.671,6056.134,6437.015,4386.446,6333.824
Lmf1,586.803,753.184,335.22,610.847,387.576,459.594,370.457,659.559,793.831,415.68,581.109,710.493,566.994,569.985,572.003,515.142
Ciao3,501.087,483.633,532.544,486.88,692.878,669.778,609.642,519.315,638.118,716.216,432.068,615.471,505.793,600.102,579.834,518.953
Angptl4,169,106.001,39,157,49,115,46,185,246.999,46,96.001,211,233,120,129,106
Dbf4,2604.038,2407.512,90.949,2152.309,112.899,2131.437,92.074,1842.929,2176.952,112.184,2263.882,2348.436,1692.691,1942.191,1115.72,2261.808
Daxx,1333,2306,523.999,2153.999,592,1588,571.999,2051,1394.001,600,1750,2057.999,1535.999,1289,1702.001,1718.999
Cd320,520.999,588,241.001,554.001,302,626,309,546.001,559.999,346,596,628,526,521.001,501.999,587
Ipo4,2949.135,3038.721,1958.691,3308.875,2293.567,3834.518,2321.713,2898.024,3465.665,2246.356,3675.431,2934.433,3225.221,3191.177,2781.493,3591.203
Tm9sf1,2069.406,2149.53,800.887,2139.321,917.543,2306.669,918.199,1900.104,2372.952,863.924,2297.83,2129.334,2203.518,2101.085,1785.185,2028.473
Rec8,14,14,147.001,39,119,76,120,43,19,171,14,20,46,39,56,12.999
Irf9,2113.144,2626.238,286.428,2638.199,427.556,2234.216,323.146,2488.382,2200.342,444.603,2242.448,2596.543,2438.218,2336.958,2191.09,2423.119
Gmpr2,688.876,533.48,332.977,642.157,377.117,856.951,429.383,565.408,625.521,328.977,701.072,595.811,603.021,559.309,502.152,669.244
Mdp1,630.259,397.963,701.283,440.182,747.007,869.621,797.993,540.893,615.632,833.11,435.106,563.75,729.253,705.323,625.18,509.399
Dhrs1,1544.999,1092.999,1076,1698,1357,3260.999,1374,1742,2078,1174.001,1862.001,1722,2542,2391,2399,1944
Ncan,1100.024,1206.322,4726.137,2228.929,5159.187,2179.355,5992.212,2239.617,2251.539,5099.045,1604.02,1727.751,2222.504,2398.961,3731.508,1920.746
Tmem161a,1211.999,893,497,901.003,593,1170,610.001,935,1343,583,933.999,1031.001,1033.002,1079.001,812.999,918.001
Armc6,405.191,397.046,520.692,408.398,649.346,615.354,664.855,446.926,299.64,579.274,374.765,491.43,433.967,537.23,431.761,512.687
Borcs8,477,388.999,319.999,447.001,416,468,377.967,449.001,588,427.999,455.001,486.999,457,524.001,435.001,395
Slc25a42,212.423,215.447,683.866,296.921,1044.35,374.919,948.344,383.904,195.146,992.73,242.623,463.081,405.351,438.836,544.171,460.652
Snx9,1357,1222,504,1262,534,1417,577,1154,1559,529,1304,1214,1353,1072,1089,1109
Ranbp3,2517.015,2678.008,1721.043,2476.317,2081.869,2901.846,2164.199,2509.001,3106.029,2225.879,2581.871,3113.752,2707.984,2752.048,2464.003,2589.609
Ndufa11,678,562.999,855,610,1060.001,954,1110,793.998,801.99,1055,501,886,749,754.001,820,669
Bmp8b,4.104,7.84,4,10.517,6.637,4.439,4.139,4.22,4.175,5.118,2.108,6.199,9.185,4,3.519,3.12
Nr2f6,1414.755,1105.723,966.24,1361.603,1030.472,1914.839,1194.595,1219.881,1961.87,1096.086,1552.937,1850.749,1418.283,1269.423,1324.858,1266.021
Use1,1203,1147.999,891.999,1214.999,1035.998,1700.999,1096,1239.999,1982,1107,896,1594.999,1241.001,1333.001,1156.999,1119.999
Ocel1,566.244,502.277,477.76,571.397,547.528,537.16,481.406,601.119,549.13,516.913,551.062,619.25,655.717,509.576,496.141,554.98
Dyrk1b,595,500,550.999,486,659,451,638,507,1038,668,549,503.001,561,611,582,379
Braf,2187.991,2061.813,4390.483,2016.121,4567.13,1985.823,5015.928,2576.388,2340.09,4651.1,1811.622,2055.525,2419.791,2412.725,2943.585,2194.365
