gene,memory.CD8.T.cells,naive.CD8.T.cells,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells,naive.B.cells,memory.B.cells
FOXP1,1482.5028676700147,2308.15937464298,308.9167184439248,854.4557799724269,261.01046661246795,1433.6743696946032,1084.1554216939346
FOXP2,10.34820102458196,10.724207180748001,7.530608350601947,8.299693979497237,9.220341154273754,12.469503807890565,12.203740254482694
FOXP3,112.52200011625928,71.45760432143807,166.2825012806375,135.16442217239046,185.33811621560386,100.75361782722175,83.7833994240812
FOXP4,148.8098499782873,91.16137013693314,349.39060132334424,125.67763004854838,93.99833923312192,233.0438747601134,170.29780543320953
FOXQ1,59.013666358603395,60.75640611515336,51.68509681629522,49.405545308100024,81.61846312923883,120.99998887822608,121.91121465364992
FOXR1,28.207676873527753,25.204290203110464,28.826881599712237,40.400102453380214,27.085021706183575,31.410446417526675,39.76051555605863
FOXR2,18.284515261392198,16.920863519602936,14.876787001818384,17.454825153586633,23.202571322290872,19.766780110106456,22.600767620891084
FOXRED1,207.25032415287924,251.47147447587207,337.46865906203374,126.78048660559605,50.90452214920163,157.30583380087543,153.05361737802437
FOXRED2,50.227107654475,78.25529303701285,204.9976792800084,40.29538987439566,34.07920419629074,58.92035799218944,53.99166254219455
FOXS1,76.98225745573528,73.81260747659606,95.2228618679155,84.04123369746972,205.35641110259357,85.32526486940817,80.94884585766331
FPGS,218.68689356312643,378.26000864797913,251.92109675840888,186.56120696259399,59.87976147700427,236.2727940869165,179.01689883203503
FPGT,114.45215890562258,141.1786907327978,125.43811728749635,216.15126268691282,281.5353020621598,93.23803968581561,103.6600550713154
FPGT-TNNI3K,30.44072487617661,39.8158080524279,16.168154790054498,14.56782026310762,13.344240709887545,12.62097702649035,15.774695852314348
FPR1,35.252423114609144,37.62104350635782,22.79341179007231,22.432809372557042,33.316425435816605,30.49319965253468,28.756815182624106
FPR2,16.907211984490438,16.72864877862694,8.157220176796859,13.680176883625936,18.963451258205364,19.328156902094182,18.69358692399632
FPR3,17.05414669710724,19.845854350766647,25.219969859062804,24.908159141590712,16.631081983631987,16.448725373053513,17.71951573822362
FRA10AC1,98.04054572272325,143.6283447097574,67.17587911328613,110.64293934989676,297.7474085519808,52.72941157383616,52.8273189828023
FRAS1,24.500879513971913,24.82242447457063,21.282150419573647,22.3960779525463,27.79776217864748,26.587872259926776,24.019638264503623
FRAT1,157.5155771410969,162.94166077337778,58.40017460923827,103.38857407395282,125.3662221005976,98.2805198771595,73.91878937770325
FRAT2,104.17145872437898,166.46285020055188,63.37612281573013,84.00579969499756,330.9270276024478,174.54407056333713,171.62689260921888
FREM1,27.937551749041823,29.055500720707425,24.64019920163597,21.919137942672617,32.539613076593405,24.232808292210994,25.27043049704167
FREM2,19.457377977943327,19.133950122527914,13.196600781581916,9.597076554151338,9.617411808622533,13.170825342493641,12.437127967784628
FREM3,14.043423912822934,16.23971860410722,9.160636578064365,24.53136457085675,25.27660188917593,18.105649144417367,18.70693769742997
FRG1,272.1455966690358,226.49459834586557,171.62689260921888,343.1824311361984,815.358198453935,158.4872495906827,142.11014301489337
FRG2,36.709545462578966,33.6184314179914,18.56870258897793,20.884014212158995,34.63215237721368,27.275330934934555,23.878186090369315
FRG2C,11.24409258426382,14.153852593401838,17.76928418104982,16.765215700528245,14.734722221572566,16.199325862053357,13.40817748459712
FRK,12.282425641864162,14.876787001818384,17.679113514039905,14.641223163209272,11.37128096979823,21.38278555917349,23.48799635357267
FRMD1,37.485236861540464,32.59976434388292,24.133356212791256,30.12287015840611,48.017213762362495,34.396143521661536,40.15436202412313
FRMD3,55.83126135370986,32.913214558188734,38.89617919139983,68.64300357898749,25.65400278547721,44.30932321742216,36.645491587937784
FRMD4A,38.01146954071745,26.49870699341824,58.92035799218944,42.10431795217905,29.87797026944628,28.248779592644333,27.22096701642197
FRMD4B,86.7735644805185,18.001771483429,173.50732405197817,156.23007020048112,518.886054255474,17.191381354493284,12.67337659490986
FRMD5,27.30102998071149,20.811154322458123,37.321411856279504,26.496169471398016,40.77532316276778,24.15142441068641,28.862917280045924
FRMD6,19.49358196225528,33.23317773817676,65.53115548757278,34.02908490243501,28.29745590682075,23.420519056981306,21.94675801820686
FRMD7,22.859419355215124,22.826032076228838,21.956242559040223,23.749219166320096,19.088613844802047,15.51275141874664,17.772406945854097
FRMD8,147.04042838958864,130.9290117216828,115.94822379724722,89.80962594147502,81.61846312923883,161.23160670778796,156.29480091538608
