gene,T.cells,memory.B.cells,naive.B.cells
COMT,78.07111723196167,83.04146133129747,76.90796302237796
COMTD1,18.911035300849125,40.4588817608255,26.315541817029736
COPA,123.56222644952959,37.53627653196817,151.38847294777665
COPB1,620.5033804795618,292.1012402468329,541.5854617166705
COPB2,146.18166927777327,57.33089430504202,173.35905428340357
COPE,99.29436104144203,71.08026243715874,93.9486443662089
COPG1,35.83549029431659,43.229732880572975,38.328580111496855
COPG2,13.730130239547988,12.28452765930296,11.769667383747446
COPG2IT1,14.249846723123484,12.129426252523265,10.604103368547134
COPRS,54.262864166028756,158.28238278462706,153.1798047973122
COPS2,258.47817239978866,156.45773757451408,267.85382670313555
COPS3,120.61619168064239,274.14401926382226,194.79255915792223
COPS4,128.66355830124778,39.24137905966192,162.93285359106437
COPS5,189.45307399893878,366.6203339850088,292.6333897763428
COPS6,150.11962168013,182.52095383294537,153.52689219892898
COPS7A,103.07065679077401,106.09798532477545,76.49390640183114
COPS7B,31.958710676794283,31.548615401249297,29.77178788683978
COPS8,91.21231278052691,45.79230109075244,105.85092365176831
COPZ1,209.26138199302864,343.7660567767816,280.97531418745683
COPZ2,39.383664321289395,35.99016626463001,29.93985655942622
COQ10A,75.22749421370321,133.57719597713685,80.41856521546104
COQ10B,79.91193133013125,26.439538058680785,50.371331114727276
COQ2,19.722439184029497,28.98754693632111,40.06819922489105
COQ3,61.019951962906426,78.16073327921175,48.40952055197491
COQ4,39.92783244282162,50.11517844638863,41.706664574980216
COQ5,95.8857050359635,135.96328137411308,131.57068154881438
COQ6,35.90105836357657,47.85131087480647,51.255269868016825
COQ7,26.89166960496192,35.167099499605605,36.733072669268715
COQ9,84.56567221337019,67.52059228665185,81.49622682948909
CORIN,10.34015178510842,8.127046018803881,8.759070936116723
CORO1A,1617.7623076175098,2781.793618611917,2083.7127988300967
CORO1B,129.29057952020935,103.8615268248842,51.88004830863644
CORO1C,28.07287720951101,97.09627389098,100.34130872562748
CORO2A,28.056085469594837,28.750609522819076,17.732509717825497
CORO2B,9.34421411749689,13.86062555507344,14.929977250269323
CORO6,24.659186488742208,28.215600023481784,20.178649502655926
CORO7,70.96912765482024,46.93395745689214,39.247807028028355
CORT,11.876539604613427,10.046237130085872,11.150756879386401
COTL1,528.7760988385845,298.8756704925491,389.464234851351
COX1,13115.27487810066,14508.693200529822,14508.693200529822
COX10,99.64944953479478,140.6945725448205,72.86620421204624
COX10-AS1,61.42963937360662,32.62330588163827,41.27449335187532
COX11,100.00174256810716,60.69275510578024,116.15239441592003
COX14,240.34413476198452,334.92793126504955,217.00942924907008
COX15,56.25568984143691,63.476202349799756,82.10032481110538
COX16,96.75238193915926,140.43592799398743,163.2971923807322
COX17,116.05283975561856,112.98235689304579,137.29025934242895
COX18,79.59216481219899,39.42072609471638,77.59061535298261
COX19,70.99561466882787,32.934362612622145,36.63676456396311
COX2,6694.579161728822,8872.311000736485,8756.149335597327
COX20,129.11131068891387,130.31682742696674,144.37079002650862
COX3,131.6430179239609,522.9720952536863,203.71296381924435
COX4I1,1026.9596307601414,260.5887042525552,1091.4670102121952
COX4I2,29.031297928738656,40.85033400663017,24.90604946627546
COX5A,350.97500654728674,217.15247750252766,373.9782719003345
COX5B,366.6203339850088,401.61827706906234,357.5812591255729
COX6A1,371.2338187363794,113.80291805207212,470.52946178320326
COX6A2,20.512198605316357,28.215600023481784,20.88521478983306
COX6B1,774.7122536916067,1163.6069627846261,845.9776993164969
COX6B1P3,29.759300777876692,41.90477465189009,31.386351178536344
COX6B2,44.10673438240131,35.6321491083186,17.246086020713236
COX6C,1448.481643271252,2336.6524401426327,1346.66644995117
COX6CP1,25.219393459579923,31.822140278402628,22.725191648324728
COX6CP2,13.925449512397654,12.288757382601764,13.244517767669677
COX7A1,13.461871381308152,25.744584576445234,20.633169242034093
COX7A2,1296.8870331263195,1998.0919701377559,1140.3764183353435
COX7A2L,440.65020383503344,529.7499452305217,361.93772167782464
COX7A2P2,332.11304756555666,459.10668911015244,284.3814305630237
COX7B,280.30887714309364,117.13975654493395,308.8115189947863
COX7B2,7.752193343365543,9.090239839332453,7.651774965455473
COX7BP1,113.72871121014367,154.15145074165028,94.43945751894734
COX7C,1833.5948083077049,1985.0497073734089,1803.3038144327284
COX8A,563.2638911136884,894.6807006756586,509.33870132056796
COX8C,6.065382566095631,8.425519461947227,6.178474109203418
CP,10.40987869902776,12.038410238323024,14.88484088157164
CPA1,5.2381706103056755,5.669745198056258,5.609275163421575
CPA2,39.787973096009864,59.260369739593976,24.30671464405319
CPA3,24.730358371157237,27.43117646139949,15.188438965530343
CPA4,30.75049223279559,42.35123206826784,24.403649347799597
CPA5,13.673918266786762,13.741362971718134,14.624941530675784
CPA6,6.479111257473815,6.2425091402597275,5.9345202247526885
CPAMD8,19.61661571339515,13.18513927965646,16.02922718883312
CPB1,9.486180483209765,12.933163050938958,8.443524452544178
CPB2,9.313810119532262,6.360480618947392,6.311909296875207
CPD,42.42332032854157,24.84835455118724,21.4104670089396
CPE,13.843819502526301,13.434751167755387,13.843819502526301
CPEB1,14.359223307480292,18.524414612393205,13.457846119566824
CPEB2,49.10883779708764,37.79996058591394,57.16147396990575
CPEB2-AS1,7.568949393171078,8.615507288080394,9.572890258497592
CPEB3,19.363674023728397,12.87667287452908,19.691734991377032
CPEB4,39.376310092540514,42.39155250760891,44.29853163858785
