Symbol,B.cells,CD4.T.cells,CD8.T.cells,monocytic.lineage,NK.cells,neutrophils,endothelial.cells,fibroblasts
TMEM217,19.58467144840111,18.94096905957501,19.76009746428861,17.964819650364724,22.17700200895923,21.39083047796492,66.99608,34.9
TMEM218,17.642446595162017,14.87417889942851,17.63117719746159,15.874933035257323,16.478783488513315,14.568915731005971,17.757631,2.0
TMEM219,96.18331541898438,87.04028271442748,79.73114779621547,93.66274136982489,115.32865024378606,63.02774920474678,129.66593999999998,33.3
TMEM220,29.78886475553565,26.386064095777396,21.909098238484646,27.070912381469913,21.278577988878798,22.094780225479134,131.53287,143.9
TMEM221,27.307397763058525,27.423130202897894,22.613148326296173,35.89818944332041,29.23203172551554,42.91526981900447,57.164744999999996,2.2
TMEM222,223.03589711845552,307.6749520922631,269.3241218848691,137.10495596829975,244.37438677856068,248.50256259579206,314.82403999999997,286.7
TMEM223,13.121318133651311,17.40526355355274,15.49792847140274,16.488316999706885,15.357273301721076,20.613791965342408,18.949617,10.0
TMEM225,19.79180075355982,19.65944629961391,19.418072336830868,23.35453459746428,21.588450324362846,28.292257183071335,39.17947,5.8
TMEM229B,13.035677535621272,13.280807582634054,13.767940460118785,17.121410083341267,15.797456867086481,29.610855690023712,13.790932999999999,2.0
TMEM230,326.2973022681639,339.0896130409903,459.9974876160543,371.78260592308715,291.4958004982702,109.70126930337756,360.70285,1105.7
TMEM231,16.122442898647456,14.936077941277889,12.090332226818287,12.932494799362098,13.240446422705801,12.367119885733072,267.88177,109.9
TMEM232,9.447352774539832,9.617995099467088,10.025488803810108,9.220237688135818,10.295515943810855,9.640658831071482,7.941350999999999,13.9
TMEM234,22.59518729223142,23.975728220024877,21.637841537626333,23.972204926655124,23.52982624715745,29.676307192847283,35.17816,7.1
TMEM235,19.511200998892686,20.57971478419017,19.77792326960337,20.55631133144694,19.603524158489087,30.78163011530895,21.582320000000003,1.5
TMEM237,16.472069470882747,19.590305853605354,22.31412406361021,14.956635206174099,19.120778503855316,18.448546585162475,111.16559,172.3
TMEM238,14.578507177302939,18.059339043249313,15.188114275301844,15.664460648061409,15.419405803089923,23.055867573109822,18.24278,3.9
TMEM239,20.548309697622713,22.974847263941395,21.475537571515257,21.377360200978238,22.36286532585287,27.718622047276302,16.085358,43.4
TMEM241,128.5068911199882,137.7322043946329,119.67680703262083,126.94177214007698,109.74275155349652,115.11697288190697,451.49295,202.7
TMEM242,24.606140563504837,18.33992173907344,29.42081118212835,23.656398351597215,26.52665493125482,18.904738010587376,29.492603000000003,3.1
TMEM243,957.3719428989639,660.2296307668583,613.4907885484054,415.2351720115972,355.77446347832307,152.0762716914091,1441.9409,681.3
TMEM245,13.597623054912019,15.869498117690828,18.650000565405065,17.49362410871713,16.276816569583815,19.765004374772577,17.816485999999998,2.6
TMEM246,19.412853759053426,16.999785987532043,16.911922545986357,14.806975034719102,14.244286145549449,16.38822623363995,17.508104,141.2
TMEM247,14.222214856829645,13.904690162968208,14.483403306302613,16.60672921785736,14.378338207733343,19.27563234697717,12.413066,2.0
TMEM248,325.5229335432273,302.60189965954214,303.1908538928524,325.19483162510903,357.74078854840656,256.27703494400566,517.7132,920.5
TMEM25,18.443454376917895,17.08957114823757,16.646411883019848,17.674824107426296,16.965096936193028,17.968530654933396,17.727379,23.6
TMEM251,261.04634411449825,163.8115248779585,191.34494132579985,204.44064476185457,201.36630453325324,206.3211731605425,363.9754,138.7
TMEM252,18.36165681931955,19.861141191029255,23.346611491106316,24.67457206441996,22.83339448559065,48.746504851202445,20.881023000000003,32.3
TMEM253,24.487630332751607,23.975728220024877,23.1525005521131,27.756363464995367,25.10236375583975,44.13029476655972,39.788025,7.5
TMEM254,42.80984081387995,55.152646008662764,47.0614427859583,52.05784664981182,43.14162864816639,22.90756235895568,47.447309999999995,88.5
TMEM254-AS1,40.28584480129748,44.850003366758564,43.67299693191882,44.471429180895036,42.73780529551621,51.290713821374176,54.460903,9.0
TMEM255A,11.445590567693484,12.922776858276258,23.30566812671737,12.2972480565649,49.17769525531791,10.19907796684894,8.213203,0.3
TMEM255B,27.27717079308472,26.93448916344803,27.368305486864173,38.24055283867719,26.890382463151106,59.5612436411182,72.29780600000001,37.9
TMEM256,86.14557407701248,89.83962647180071,81.26391677112287,58.26248002930923,63.58519947020281,24.879963334686146,1565.977,224.0
TMEM256-PLSCR3,318.47789998533705,839.8092084772253,391.7685663261856,293.0303846552024,341.32412188174004,207.9141188369085,411.79143999999997,91.6
TMEM257,15.003499231966833,16.12720413643865,17.583849070019784,16.80615764190118,17.307796714838172,16.175200114185625,16.128117,2.5
TMEM258,1398.3638646928202,1248.4048823777273,1200.7966139055752,970.9220315256862,1016.8673663848916,350.1268872128012,5995.798000000001,2111.0
TMEM259,22.061060171226313,24.973748430594807,21.56550758971643,26.521950568808577,20.57971478419017,27.783698755921534,41.415417,23.0
TMEM26,11.533584396783661,11.55886208168974,12.39651583352807,11.994840251107977,12.626498084826588,12.183404049147027,11.581039,1.7
TMEM260,111.83289915970376,79.41037694715806,121.82278157760712,75.68600075696698,120.18685587505945,110.24736791686891,122.03413400000001,180.7
TMEM261,63.74487640107455,64.1404155946741,112.3011144791879,41.689111282623706,64.36235621242606,36.413047717334095,154.91437,79.3
