Symbol,CD4.T.cells,CD8.T.cells,monocytic.lineage,neutrophils,NK.cells,B.cells,fibroblasts
ITPR2,57.69491804065018,44.28113349043364,43.35556516373156,36.75583175689107,47.48457424252894,0.8555212767553485,1.0912230621245835
ITPR3,101.25485196583661,110.45922445276797,34.19898460799986,30.10109655770174,69.82407430782534,0.08642426863715322,0.4597377057851201
ITPRIP,23.808057272706975,75.93296347707044,156.76933877874706,342.5621010077799,86.07850127306085,1.0490387390906173,1.2361581939564235
ITPRIPL1,77.07059923220005,19.04707006981381,15.85699464747469,18.31454533539476,76.22473608244715,2.1229775276985112,0.317218694427961
ITPRIPL2,14.628306184618312,10.581284412829268,77.02034305927009,16.150156522003527,27.048575872885593,0.7557233477282769,0.6465875169029499
ITSN1,8.768183583588002,9.15568604055397,112.13311635307764,15.757067138827905,9.37984830476889,0.002698899554380936,0.4429287963393282
ITSN2,44.559407951388536,113.48478248866972,26.292175389634544,30.14838018833492,29.97012067963241,1.0248080120725542,0.48104544538124117
IVD,36.035206284419935,51.745430873032056,58.688759573804816,29.620914249851655,36.0066287442234,0.4967795874818195,0.27894792020210707
IVL,14.382947901620362,13.561367715689086,10.8274859558607,13.436196465801373,10.687475450726694,0.6981626580334189,0.9716826607919687
IVNS1ABP,225.21036456397692,148.6245859934191,641.9412162922373,754.1401961212489,290.95003088312615,0.2737963273858385,0.45426246254789243
IWS1,271.28693089596663,298.22479667329446,284.56992789620614,288.1196125283849,308.7255096583968,0.5372041295189016,0.4489416027615898
IYD,8.096401618103394,7.4687454650989675,7.572374280311786,7.550338487398763,6.8471655254604435,0.5716457151091959,0.16053083009590371
IZUMO1,11.923982458778442,9.415761072098668,11.916086794988905,14.392996269270034,10.256252512165657,5.414399723891677,0.9909087775341678
IZUMO2,41.06319433587311,25.962966187025472,39.73617239755532,41.00917077882789,34.55176650287913,0.49716033383158653,0.020086402375631376
IZUMO4,46.188921503461835,37.56762105393562,24.20010521805002,24.13734627647208,20.763260702697387,4.758882058546949,1.00861983850466
