gene,memory.CD8.T.cells,naive.CD8.T.cells
STX3,32.29175589088598,32.68189161747753
STX4,316.38686618323834,136.98123373833423
STX5,91.73264074638956,86.53222207725958
STX6,89.87671268444174,78.4376199129014
STX7,96.69792301667604,80.73725953860355
STX8,227.9189720701491,87.68563078298685
STXBP1,33.06726175100269,84.53176232445148
STXBP2,275.150251116685,380.5514229311193
STXBP3,148.2759603277418,76.27094928235711
STXBP4,19.052758497996606,14.19885678618796
STXBP5,64.95507647945057,56.98749313429251
STXBP5-AS1,30.511579595735256,40.44742572521791
STXBP5L,9.216664713477421,10.399745204828328
STXBP6,14.659919752873776,12.847489582144634
STYK1,109.96467360451265,12.069895592070242
STYX,262.87655905811357,263.75836351291844
STYXL1,86.71231786954996,144.96316005578927
SUB1,1311.549452563001,893.7361802381586
SUCLA2,95.9436560950287,31.29430995649955
SUCLG1,171.14955516610587,163.9449287211146
SUCLG2,168.5432377631238,216.67546665439272
SUCLG2-AS1,14.264781088069006,36.32035298774468
SUCNR1,18.349354454938982,20.243895526797736
SUCO,666.6372367062298,401.84042811569
SUDS3,320.1091102332995,114.39339326077747
SUFU,51.072282142551316,57.53522138872859
SUGCT,21.217228195443838,56.30599955680039
SUGP1,157.41808341219013,189.2162475673686
SUGP2,563.9887519056953,409.8074779967146
SUGT1,249.48164107380242,144.48870184238032
SUGT1P1,24.496810721465152,14.16810815247093
SUGT1P3,25.001699985023834,13.603226941586744
SULF1,18.736106002885165,16.00918118279236
SULF2,32.115769950761646,74.9862233204572
SULT1A1,437.8739635763993,524.6683132834248
SULT1A2,361.6087762467714,406.91413808679545
SULT1B1,19.633603565993177,55.07009555534988
SULT1C2,16.893643615138696,18.46334439070934
SULT1C4,8.532199204094569,10.586470683862842
SULT1E1,11.067453540834567,10.679504577769084
SULT2A1,9.929025171225707,9.111456184984531
SULT2B1,40.09009321438967,32.2799939507898
SULT4A1,53.76580156380301,75.07887500910972
SUMF1,146.6030626011095,147.25951186801439
SUMF2,843.1422624064602,888.1252773745794
SUMO1,773.3742616107876,401.53677642289364
SUMO1P2,20.516347504077352,18.471089261752297
SUMO3,642.8397007445217,423.6140371127329
SUMO4,650.0351000438523,549.82094686807
SUN1,135.66259704462135,73.73759532474978
SUN2,1973.4673402942215,2718.5065187025402
SUN3,13.209460960197806,14.63589260525707
SUN5,36.93796524095692,43.39907354057039
SUOX,36.784100525902176,46.80363579226673
SUPT16H,218.6573357887184,242.10749775520384
SUPT20H,238.80242558993206,288.0939356726185
SUPT3H,179.24468686699007,585.3993057125087
SUPT4H1,479.4837871915713,378.5164851024739
SUPT5H,332.55926838759626,346.8355290311539
SUPT6H,163.75897216228628,226.0777586923013
SUPT7L,369.456587165887,365.86808569825524
SUPV3L1,371.86575692580834,252.82625649947965
SURF1,274.17508732608036,514.7642585984438
SURF2,147.45491214860016,142.93278853408128
SURF4,540.0248597870207,429.4757674241331
SURF6,121.9593382082364,119.98393817706236
SUSD1,295.48287246969244,32.904519484140685
SUSD2,41.60321783631927,86.60031633456566
SUSD3,72.62348076286229,166.876319795001
SUSD4,13.662061445341564,59.93393205101338
SUSD5,12.899482817055302,13.093660222161724
SUV39H1,248.3548957016759,387.6072665633002
SUV39H2,39.84542505287167,20.103055929818993
SUV420H1,101.81073111200911,67.86058383118049
SUV420H2,63.59199499915394,63.74782702719032
SUZ12,223.59589647237974,196.49426540798726
SUZ12P,18.281506269700227,62.22009064337068
SV2A,59.13479867538817,18.78180354412588
SV2B,15.90644889671673,19.337773182347537
SV2C,10.284863972932865,9.7585261874523
SVEP1,15.194940754386794,15.381729506133865
SVIL,128.1681991786718,183.67387479058647
SVIP,156.7322276143626,286.0358956236483
SVOP,22.214516826806992,27.787148446765126
SVOPL,14.671254308841409,19.67173760383435
SWAP70,49.89912005196882,19.93950660248464
SWI5,98.79978316778681,281.6680778196717
SWSAP1,53.211939800729965,57.133740691150756
SWT1,59.28978191262952,94.46775341071344
SYAP1,683.6425712502742,276.7946422219493
SYBU,11.856773005581363,15.126625464899162
SYCE1,16.909359901331193,14.66518039269441
