GeneSymbol,naive.B.cells,macrophages,Macrophages.M2,monocytes,neutrophils,NK.cells,naive.CD4.T.cells,naive.CD8.T.cells,regulatory.T.cells,myeloid.dendritic.cells
GNG7,120.4851228,3.363113545,5.803246548,4.720070867,13.76286826,4.050664479,5.730816224,5.581420456,5.09828869,6.449416239
HLA-DOB,372.4598064,7.079841819,3.258213684,9.553725794,15.70278227,18.90591995,16.32924813,14.81008477,20.37618547,17.3427969
KLHL14,37.74300636,0,0,0,0,0,0,0,0.03735551,0
MEF2C,116.3233113,5.890459777,11.13549216,31.57158026,7.857727761,3.145092887,0.036280629,0.105976242,0.098232052,42.79150235
P2RX5,635.399775,1.819205807,1.535699996,5.365658838,4.206491209,16.92312287,18.27791005,23.88543805,11.00926094,6.769038658
PCDH9,25.1154006,0.04716083,0.034611172,0.013510976,0,0.748563297,0.045900812,0.081429523,0.063912813,0.042604094
PNOC,102.3030713,0.481037399,0.221787283,3.674790248,0,0,0.047233468,0,0.309263402,2.137060652
POU2AF1,210.3609228,1.074025741,1.025317629,1.250381259,1.421860667,2.424203903,2.680377658,1.705541378,5.66826033,1.999380781
RALGPS2,243.4430275,5.067507749,14.40452551,4.231158867,11.62094868,8.216660289,5.830716699,5.173627677,3.686561045,5.529948945
SPIB,224.4631507,0.482360223,0.70036408,0.141625347,0.051806845,0.488686084,0,0.141958014,0.378468054,3.243524483
STAP1,138.9982051,0.754435172,1.78548159,0.137633946,0.174061069,15.13725594,5.716619004,1.713833813,0.75935903,0.3511102
TCF4,66.32684259,3.680192674,26.79807736,5.191957036,0.198946422,5.596483144,0.149982882,0.280889508,1.433883407,6.961463095
TCL1A,551.8727217,0,0,0,0.04612832,0.051360354,0,0.175558462,0.129041216,0.100432568
VPREB3,288.5205105,0.494539146,0,0,0,0,0.098390727,0.333918666,0.510181181,0.078966349
ACVRL1,0.332585295,19.77721204,2.105200491,1.58765674,0.424882228,0.428451188,0.129862975,0.267069845,0.666626998,1.092348225
ADAMDEC1,0.635314748,183.7054481,9.49282349,1.202808458,0.054395364,0,0,0,0,0.236849814
ALDH1A2,0,23.10676325,9.798184793,0.123003597,0.571071038,0,0,0,0.11706809,0.04586572
CCRL2,1.490690742,68.30226025,8.213847168,14.81759926,3.395778787,2.041290076,0.957673807,2.517300278,3.237430576,5.444669187
CD86,14.84196813,415.5597522,141.5981629,124.3739705,0.026091617,0.060340222,0.076098161,0.18853659,0.08657912,140.8440331
CFB,0.152608725,65.99678937,17.99387506,1.511498836,0.231942367,0.189463392,0.298829769,0.202456384,7.222257261,3.196521575
CXCL2,0.109297174,302.9037686,34.10763604,47.18109439,2.431969546,0.347510797,0.069057287,0.184183175,0.767574713,7.102590604
CXCL3,0,259.1541449,51.70126105,6.618241218,0.4229913,0.076437338,0,0,0,2.220077939
EREG,1.426795625,163.0500436,15.60979021,23.72257998,1.39213257,4.130741885,0.872463173,1.213526112,4.606324092,3.531148796
ICAM1,6.176021382,592.9212532,207.4590564,125.3387069,121.4636889,26.32258061,3.695080105,11.56126139,15.98686957,36.13227282
INHBA,0.063925747,578.1495641,21.2499318,0.203242228,0.345224461,0.200004183,0,0.035747276,0.477624036,0.178770378
LILRB4,3.786545675,476.8225547,133.4649502,124.0417848,18.58150694,0.72527508,0.049018246,0.181584515,0.520041555,106.6354628
NUPR1,0,101.3221795,22.43298779,0.088211627,0.081183891,0,0,0,0.709012159,0
PDPN,0.263864646,16.77647448,6.314945584,0.370034835,1.562900593,0.634593809,0.162712174,0.202613724,0.939531338,0.347168317
SERPING1,0,500.333874,17.3112787,27.54353504,77.67323154,0.305133885,0,0,0.754461919,5.423996964
SLC1A3,0.035628753,25.75913102,5.951008511,0.927036635,0.034079571,0,0,0,0,0.390851818
SLC6A12,0,40.87918076,1.669540561,6.855298057,3.246192405,0.125382937,0,0.059611006,0.489478965,9.903691643
SQOR,26.53173244,535.5363122,177.5857399,126.3790557,191.9890103,33.44043967,35.74658981,29.19844542,31.93138225,72.7178231
VSIG4,0.109938273,287.0349882,8.916632915,8.596714564,1.206983776,0.253787543,0,0.286373785,0,5.160898411
ACE,3.799210142,92.24880191,303.4649705,2.535399656,3.348834793,3.169145804,8.979333088,6.665657492,5.134960223,8.624099487
CISH,0.737194776,103.8956004,239.5034508,4.859706441,8.535726045,19.16037965,15.60369297,11.75672088,4.26216594,7.747605177
CLEC4A,10.47719335,71.63026968,400.7665579,149.5306366,135.9859206,4.818509298,1.394315642,1.427111,3.23483677,89.02569988
CLIC2,0.694483627,30.79968804,133.692558,5.062188125,2.255052843,1.221321713,0.5412673,0.875651677,0.705357947,24.22076476
COLEC12,0,23.2936431,78.89537397,1.166833035,0,0,0,0,0.057493066,0
ECM1,1.162247945,25.26179771,51.76735381,0.851277965,0.125565821,0.70572716,0.348000312,0.648906151,0.707579953,1.085638598
ENPP2,0.798089326,23.2877128,59.12441778,1.005609301,0.241410923,0.660793376,1.083594022,0.601269588,0.123443625,1.433774613
GATM,6.246304339,1.302017835,113.2388096,1.029844238,0,0.800575598,0.063124646,0.229462318,0.128905896,2.968441201
GFRA2,0.13088808,4.830844354,79.26071772,2.067247736,0,0.465446244,0.258413822,0.050833809,0.33410393,4.774939364
IL1R1,0.511084903,30.80355606,212.9129352,2.380477978,25.40422455,1.886671117,1.524388654,0.386687177,5.5302442,2.707088751
MAOA,0,5.956455166,80.14654768,0.103115808,0,0,0.012503247,0.04546434,0.039188503,0.01786144
MS4A4A,0.131273272,30.37921764,212.758994,12.98649598,0,0.654922084,0,0,0,62.82451786
PLTP,4.097732092,15.5762699,90.07225549,2.138343448,0.631419406,5.767810051,0.193552235,0.725212589,1.314648169,4.574234528
PTGS1,17.71027698,23.50817817,111.2313644,26.24064669,5.368217452,2.026255825,0.031677644,0.159772821,0.221839406,38.51158611
RNASE6,64.11400648,206.9722766,633.8321332,201.7947032,45.17981157,2.570342241,1.554136218,0.755928891,0,62.62033745
SLC7A8,0.237455367,12.05654661,87.13864941,0.292623095,0.05622755,0.310334431,0.832472051,1.834347705,0.608183781,0.363059196
TREM2,0.043622897,25.08286747,204.0848274,0.719506569,0.33020601,0,0,0,0.293487576,0
WNT5B,0.124075186,0.373209146,21.04857925,1.536064646,0.028511913,0.025761529,0,0,0.865764389,0.31458121
CD1D,22.95798136,3.345604777,1.121605187,109.7125553,4.253177252,0.252652767,0.247373651,0.202885756,0.359075844,67.5964215
CD36,0.729067771,21.98564229,124.5495385,457.7230332,1.060415497,1.078247122,0.339264585,0.539586113,1.022375933,58.8810398
CSTA,0,151.6121868,99.67935581,417.3997357,173.3148484,2.876467234,0,0.133981229,0,173.5454837
FXYD6,0.049947911,8.142514655,1.518084411,51.14748946,0.163029811,0,0,0,0.139995512,1.334262633
GAS7,3.050739914,38.41366521,35.0489844,109.9214175,32.3679507,61.27309267,1.094172811,8.158230832,1.53088599,36.24987435
HPSE,1.173692918,2.943003589,2.295810827,77.97882017,35.49402398,1.964249816,6.470073227,3.567473414,4.895957877,4.989110966
KBTBD11,0.384689196,4.844331088,6.540667315,11.58509848,4.854011317,0.678693639,4.485116122,2.032457354,3.043825377,6.874179547
NRG1,0,0,1.018079199,35.42979654,0,0,0,0,0.242223161,0.814593946
NRGN,2.948973686,7.556767965,31.93195248,232.9779585,3.785997339,1.254712184,0.9125555,1.156212151,0.303468411,105.2825011
