ID,memory.CD8.T.cells,naive.CD8.T.cells,myeloid.dendritic.cells,monocytes,naive.B.cells,NK.cells,memory.B.cells,regulatory.T.cells
PHF6,0.08969058544345597,0.22784093601267527,0.8246876223298508,6.224382748940716,21.769395897434023,22.9949637944281,4.532343970973629,13.936561132673779
CD109,0.004624348774914276,0.007867059294097695,0.41455628498974945,1.3700896848184854,0.566587603565806,0.1416538843275538,0.44109512509216814,0.12576835975263614
LRFN2,0.0005159735797961169,0.0,0.0,0.0,0.014478005989560476,0.0,0.016236396941571363,0.000501121223188179
NODAL,0.0,0.0,0.0,0.0,0.01433795191234557,0.0,0.17762390686854984,0.0
PRG3,0.0,0.0,0.0,0.0,0.05574014143305467,0.0,0.0,0.0
UBE2L6,58.52472086507816,67.05695875788025,125.19537690478957,5.436558461942764,31.839028552210827,10.364093374854649,0.0,57.23165607343282
ZDHHC5,4.131848883026622,3.94615868802444,3.3768005477086285,0.6111635785605506,2.807609494210475,1.3980104620220761,0.1685879994169842,0.9484679066421728
MED19,18.910993300566588,23.08262684233606,11.482220004367695,8.485171903580966,36.89112239707183,30.919087882453432,2.0740267739769136,32.00425052120726
ZFAND3,0.06104954550090624,0.09276040325597858,0.057015624276013324,0.05585992940157603,0.276965432765401,0.20471558412143703,3.8559882668648466,0.25218552797758526
NPTN,0.6053867242881023,0.46112901947183954,1.313385567009575,4.341708749809079,0.12266545953351171,0.6039982538386776,0.07969356098626765,1.700938573370107
KAT6B,1.9891027430226718,2.187872106830851,1.041462681185526,0.8545358070015728,3.3489481416417943,7.179634542893166,2.1937745765752736,1.0403940398579719
SAMD8,3.529933666700315,2.745762867604647,3.8848699709611823,3.297590321235243,2.1903242219123205,6.314995206928974,9.417553528012297,3.7958048749365845
RAB11FIP1,5.876602872112944,4.040146941681657,25.555253670473807,0.28493317377493554,12.63848086008405,10.034110853012256,3.296411975877056,8.332878113321337
UNC5D,0.0,0.0,0.021743799032882878,0.0009815992072375358,0.06551171729865515,0.0,0.06670607374143063,0.0006591746117804645
GLYATL2,0.0013841602230188173,0.0016509982806695125,0.03897580479658586,0.0,0.26271983355356593,0.024973955751348104,0.0,0.15131117366118454
UTP14A,5.243590341602448,4.903964055781814,3.5954541883668627,11.256855318666567,29.317476480794685,13.97835999078888,16.81669588742485,35.41479412378519
AIFM1,0.3062276491194278,0.6400785376556734,6.334488882117895,0.20370283816249757,11.753616037029289,7.925434368857093,1.1729044557486628,11.889737354924792
MAPK13,7.14695953292759,4.858184232834587,0.6280151757343818,2.9252133821643023,13.625084302530391,2.4414965785691196,107.8794314631602,4.443041275650597
BAG4,25.10126426998328,17.151745282393467,19.897281661813423,10.659207526511823,14.630620406197524,24.341276663641814,0.18150896233813424,48.247350892917765
MS4A1,0.9554945042229656,0.5646074552337883,0.12979940465812925,0.0,772.7920583361578,0.02606435481111607,441.49843925861063,0.8933422762155202
TBC1D31,0.21786337571303005,0.6710936259623825,0.3251271295719669,0.06341980855948717,1.5043400434323764,3.6080477553656194,1.2600091057072693,0.9582114983337295
WDYHV1,0.0894211237446446,0.33845839447657333,0.10316012589235546,0.006177200972154157,0.10775923624642371,0.022635067735776643,0.2432610071932027,1.042640000678258
ATAD2,4.6470704085151135,3.4888286873323286,1.5951705164206835,1.4134018916352478,1.4973706885342815,6.374163704913916,0.6519114825829245,2.5561849638464555
FBXO32,11.031684896011479,10.642001523216447,0.4368791075163002,0.02450860314729865,1.6551308118118853,6.032291794318957,0.049364635798943984,1.419120205320963
NSMCE2,0.3612549696496901,0.6272127759886595,0.9259083451889316,0.5741715670692815,1.6691890701130443,2.5022854195275235,9.261495799771748,2.264587089722729
ZNF689,0.20418150677750418,1.559878197562867,0.9454668588390558,0.0,1.506630076410812,0.3990240983868759,0.852014354927491,0.40821590643339406
PRR14,13.050709648900098,8.761243655792807,7.29111074165194,31.006205150613685,23.284974955570547,26.841516091123264,1.873890852182262,1.0060806750530804
FBRS,5.543028860225965,16.08844560096042,4.029031505693209,0.16492386405848986,3.4074707414768253,10.291905260691424,5.129840472636486,5.007338242621699
FRRS1,0.10930898236997347,0.25506366415608905,0.14972027226165344,0.052581426285729205,2.34426762961964,0.5109539394634668,4.758750313677561,0.49217639594078455
PHKG2,13.87490885688423,15.860797087139337,35.13103594923579,0.928024858972793,152.00670926518555,4.542369549474782,32.60238122420325,3.6260268904850625
MFSD14A,41.18460932341298,36.94301880424278,20.225410823586305,1.5664384539753453,7.012544200314779,5.304399405833228,0.12587283318518225,4.971728624102984
