Gene symbol,B.cells,CD4.T.cells,CD8.T.cells ,NK.cells,neutrophils,monocytic.lineage,fibroblasts,endothelial.cells
CTSG,247.7712501,134.4958651,113.3980465,414.3930675,185.0082007,88.12615549,205.3757047,65.31852439
CTSW,16.65790643,487.0683652,4894.215252,17792.19064,20.49140221,16.93731154,16.31812595,15.94992913
CXCL10,761.3944185,120.4987696,157.22658,1712.025482,486.9671286,500.9300164,246.2438258,163.1981892
CXCL11,90.26229276,6.633637977,22.77124293,211.8465404,74.22060498,38.41873667,44.79050636,16.90510228
CXCL13,50.1800947,6.024967349,22.35743472,26.15156586,29.79046571,10.31783604,17.24705732,11.75346746
CXCL3,73.07039801,17.02062149,26.71170482,47.6024861,75.7691719,175.8826199,56.44753053,1496.816
CXCL5,94.16490321,7.759898576,18.42018765,54.1539663,69.6139163,32.93471403,43.36581215,5315.265079
CXCL9,597.5841917,77.45884479,125.8362376,777.2857943,403.0543959,265.0825127,268.3992061,168.4971354
CXCR1,260.5780432,320.9597732,214.6841388,933.103074,5613.081304,82.78141165,146.6778838,72.0058534
CXCR2,26.76355546,5.107669662,73.61765642,1243.172489,17610.41012,408.3528365,20.8510013,115.5505074
CXCR5,368.7814351,29.79215867,32.70801147,31.16482364,19.29227122,14.61246054,10.14786303,17.36373676
CXCR6,143.966553,92.27701669,239.577985,314.4358546,166.6014244,89.88376184,129.4184927,60.50454252
CXorf57,39.26542516,236.7644719,102.1724937,131.9986379,12.15912559,8.024895821,10.62580967,11.29730888
CYP27A1,28.17031886,57.08079673,35.11559608,67.32031092,52.96843829,761.5963848,40.80982734,9212.241151
CYP27B1,839.568697,89.21509024,123.385104,213.7238922,291.0919657,96.6530619,544.7418911,1182.186949
DACH1,8.110268958,26.64846634,6.072925338,52.97308594,80.62449793,63.04081707,7.019305551,7.182118842
DAPK2,50.49233083,35.93880485,36.778245,141.1733429,494.7641499,50.3687963,24.63126285,36.29552204
DCSTAMP,38.69538004,33.84353695,45.95452314,124.5517345,90.65655649,100.3959971,134.084158,3167.902414
DEFA4,364.8313155,61.9081487,580.4081606,3378.288879,453.7054493,108.489886,213.2412028,59.8115536
DENND5B,47.963256,5.354735415,4.937003728,33.68534189,11.06939913,5.019653713,338.5948695,14.58676995
DEPDC5,23.00370479,192.0177626,42.10826584,217.7945964,27.33916292,40.17793365,30.00802014,96.61739385
DGKA,426.967722,3066.253514,2223.016764,694.5434678,314.1795669,300.9545855,200.6236992,170.0857145
DHRS11,53.98997768,123.9520803,88.61812105,147.1775147,54.33030883,46.95962914,70.16756594,266.5013357
DHX58,13.86362993,298.2898502,67.97505932,156.3597003,20.09780832,66.42778065,12.83845224,21.95980512
DPEP2,695.4566346,1220.279156,469.0254782,658.2263378,4347.71622,1471.477094,11.18070884,116.2735817
DPP4,19.45168576,689.9495562,686.98687,435.0371445,19.5766283,19.65506451,15.7816761,17.52701962
DSC1,82.26251271,788.0190869,408.664347,45.03517115,42.13322455,18.85006161,44.79050636,14.93885569
DUSP2,13.29827708,318.0170106,4083.939908,802.1295045,88.7690473,404.8953793,32.34016681,490.424434
EAF2,3181.18246,240.986393,219.0176307,382.1182625,240.8539709,683.9617628,4989.763973,281.0119542
EBI3,10.50267123,15.05714204,12.21399038,26.86981477,11.62603766,12.4947299,8.897758981,13.18836854
EFNA5,5.427660306,116.9246518,12.03201722,73.64862087,38.58771285,16.87392513,8.933068014,14.68073282
EGR2,122.3401907,35.24465136,35.39583074,1487.147699,198.0753053,466.5929482,54.47162284,3919.367365
ELANE,11.04729816,12.73061175,103.4864778,902.2211383,31.87881829,28.96336488,9.3286347,15.08601415
EMR1,499.0111023,428.0646447,195.8964573,536.600258,1253.613443,1815.513906,194.3869003,203.312067
EMR2,145.9766252,56.18573504,43.05953599,261.6674622,3956.252694,1319.424101,67.17486231,1045.041824
EMR3,55.17004911,89.37299011,104.1704046,128.746124,3015.993844,379.6236682,135.3256446,38.87513434
EPB41,21.98416943,12.29355102,235.3351386,202.7534482,16.47488638,25.10456886,15.20961988,51.91551646
EPHA1,47.02936831,763.4010715,400.0482873,254.9947804,71.4205995,63.80169822,52.03367718,58.11820163
EPN2,46.90834881,64.62199466,31.50834858,59.95365859,51.26114266,32.43586908,109.4328043,32.22402237
ETS1,988.8726693,287.8283832,613.4935899,1455.985483,243.6131706,85.66933558,410.3171187,96.62991012
ETV3,37.98662268,20.64868683,49.08454024,71.21625146,40.75588852,40.95675962,103.0952183,24.47191439
FAIM3,11191.41447,8841.004838,5723.984822,3027.323871,735.0353714,117.871065,254.0902643,315.0175529
FAM124B,21.67016354,17.18073516,14.04816696,38.21424185,19.72983414,29.15950369,18.92107732,19.3314478
FAM174B,117.7226808,137.0201675,94.16937409,78.11336132,103.0050021,39.85052889,82.29386042,53.40511981
FAM198B,9.800664188,30.53349636,4.526894401,34.0354325,8.88467942,515.249292,9.140836633,519.5115003
FAM212B,49.97014577,12.55533168,23.00981627,34.26989372,569.9349175,95.87273144,115.1532722,44.3949005
FAM65B,4719.699579,4454.485846,3376.093302,2283.248004,8329.197426,2428.861545,237.5875518,92.82935445
FASLG,342.8390554,144.0787779,169.2167794,3755.772926,250.192653,108.383093,188.93844,101.1502198
FBXL8,7.713639432,53.47478762,91.19310135,45.42192733,8.576738645,43.1055926,15.05714204,14.5008585
FCER1A,106.1351171,70.33336588,111.3010937,267.1107575,106.8980281,622.2119019,88.81589691,45.65742898
FCER2,990.3077473,19.37674145,8.626141867,25.92245308,11.25081202,12.66527557,26.3738691,212.7516179
FCGR2B,3389.8606,8.255798098,65.97309417,301.4271388,1302.127371,287.6388369,2656.037745,991.9681697
FCGR3B,434.6883898,61.46749025,178.1993614,864.416734,27546.9664,402.4458452,121.1090782,256.3156774
FCN1,160.5487443,144.5883358,130.0754644,587.0425764,5370.355855,29800.42108,109.9311142,1401.079575
FCRL2,4384.737162,34.17485561,73.7221496,103.3406315,116.1844543,47.6563456,714.6372738,36.19137437
FES,8.544430362,8.032047496,9.520155138,470.680762,534.5825131,826.5409485,10.34392287,41.65766393
FFAR2,12.83845224,11.92870205,11.77579288,87.40741976,4025.755477,101.05938,20.15690171,31.01207332
FLJ13197,129.5124355,260.3922902,167.3200623,184.0190378,11.65518546,15.24807194,16.11115902,7.575081726
FLT3LG,26.22845437,2489.205564,1267.031752,594.1894115,26.35814025,69.27835254,33.23725547,18.86233643
FLVCR2,69.18049192,90.1471958,83.37381583,228.5937007,108.4609673,566.9712028,45.35113413,1142.352389
FOSB,200.0093028,401.5583963,41.65285438,63.98124358,80.15125244,3422.450435,2911.316126,29.34004788
FOXP3,135.9782583,129.5124355,65.14694151,88.56510855,164.6742962,76.15295297,41.24636078,62.1654919
FPR1,361.3212533,161.9808797,210.2034137,700.6308746,27644.58995,9800.634834,343.9217634,880.9211063
FPR2,227.4506603,60.78015047,54.91749032,157.1958216,3797.403194,964.2419055,101.1071972,182.3163119
FPR3,325.6674246,97.29879579,105.807962,207.3583965,277.4149037,203.421307,84.16107071,3004.448975
FRK,138.3048999,11.24943836,26.38936082,10.34990797,61.16828044,7.43265118,59.60491785,10.88453313
FRMD4A,57.81750686,24.03797283,49.31923782,89.35956962,21.62064394,52.74025927,17.18073516,161.857003
FRMD8,197.3732828,14.61435957,28.9702418,411.9953789,172.2630314,247.2516889,80.20078747,125.8231332
FZD2,40.20305932,23.74932601,13.86980966,33.13310658,16.40047837,455.2912189,25.20265438,98.02418421
FZD3,121.5674974,96.62044786,50.26515479,68.26271888,73.00874476,39.70835546,181.1627863,31.33678222
GAL3ST4,69.54706802,942.3193748,335.5930908,72.07950512,77.37112075,44.09898382,48.67912609,84.21537991
GALR1,2.661554274,41.01608039,3.908160923,7.926161674,6.071751695,4.179834102,5.90308276,2.442423079
GFI1,27.63680315,48.08423235,293.640883,903.1008428,41.43881952,19.38352568,40.28604041,29.03365269
GGT5,11.49823256,24.53939902,12.99967839,30.63408442,16.79237197,11.13018839,16.62951352,10.60327972
GIPR,8.245074698,20.2876468,10.90883943,25.18176093,10.05277019,8.506723418,5.570829264,7.247773205
GNG7,768.0078466,99.42210121,133.5514698,113.5409925,455.4134725,112.449475,2218.049204,82.41009583
GNLY,9.016559093,134.9186388,3732.536058,44995.9504,118.2602821,19.94743339,19.25302109,16.57744727
GPC4,126.6902267,59.39944184,43.02443597,120.0702026,111.2722902,56.14456485,105.523008,1153.718547
GPR1,3.129845825,44.35621868,1.559283973,19.11402012,4.064088815,5.245664557,2.493139629,1.064159643
GPR171,33.51495052,899.2846127,924.3717963,1484.209149,30.67179408,14.67922106,13.87497835,12.06520012
GPR18,3056.84082,1241.790015,1037.066376,3230.000949,156.3072275,109.6660347,15.28674853,23.11613842
GPR183,275.8348106,854.0807595,630.5280037,417.8348397,144.0671927,196.979149,296.6071048,437.1733508
GPR19,27.02537152,73.33196188,40.61246787,108.0102735,49.98684446,19.81202335,78.06875407,19.66810706
GPR25,4.292572754,10.77863651,28.7191378,32.60270707,16.9118569,14.04592183,141.0660169,8.494154594
GPR65,507.5709281,572.3060778,1518.573945,4275.569056,2530.19965,1473.160908,162.813157,702.0291957
GPR97,154.4101049,57.15128061,104.9389313,713.281563,2246.982554,71.26388228,207.6511007,98.36835876
GRAP2,12.62708927,318.9107126,280.9234111,508.0197176,10.85570109,11.82509864,11.63480358,9.44203317
GSTT1,6.958858985,43.10259613,18.64410933,31.70126676,23.00205986,17.31196185,12.11447678,51.03653105
