gene,endothelial.cells,fibroblasts,macrophages,NK.cells,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,monocytes,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells
PTPRCAP,65.3575,0,532.345,250.5475,248.861375,220.9125,218.0635,9.822423333,4.5095925,230.4165,166.8295,139.242,5.0619775,238.7015
KLK1,0,0,0,0.04921525,22.154544,0,0,0.297193083,0.25770975,6.133247125,0,0,0,0.4326985
PRSS35,0,0,0,0,0,0.35375825,2.032003275,0,0,0,0,0,0,0
TNFRSF13B,0,5.4475,0,0.132920975,192.665055,0.227996925,0.24600775,0.277495692,0.42654225,62.35619625,0.174775275,0.2960941,0.48291025,0.944668025
C7orf26,3.0925,0,0,15.54421325,7.389169775,8.63500275,11.39422293,9.426588366,8.852452,8.021801538,9.84911825,10.18769325,4.05542075,8.9566005
NAA16,40,2.1,2.8725,31.56275966,13.73400593,38.831923,41.7552475,17.24891148,9.124637508,18.61920355,66.67032147,108.2281633,5.076830602,39.88727085
MAP3K10,0,0,0,9.492778625,7.351767288,6.5021025,8.221128313,5.008385275,3.009404157,8.6155632,4.70527965,6.45032065,5.1115143,8.6205305
STX18,24.0725,17.6325,4.0175,42.86442375,24.09918738,47.43128425,40.3467445,32.82694401,62.46358119,25.57441675,26.35507031,31.52285543,3.504378075,40.1359665
ROBO4,3.9975,0,0,0.0597495,0,0,0.003873138,0.037689917,2.435832112,0,0,0,0,0
PDCD1,0,0,92.265,0.46229,0.397747375,19.870175,46.46264125,0.197878617,0.28564425,1.912255875,1.91848525,0.59888525,0,10.074995
MLF1,32.195,0,7.8675,3.040936475,0.979431757,4.129591025,8.482878838,0.446134117,0.812789825,0.852662453,1.457341407,4.141474252,0.29442665,5.038732594
TMIGD2,1.3675,0.7075,0,39.968908,0.788348875,15.85013925,8.540522255,0.523754167,0.12858825,0.51753225,53.36644,50.6472185,0.196449,19.3312775
PALD1,1.88,0,41.4275,0.91416375,0.293526238,0.08966095,0.146465813,0.176096308,3.3080575,0.436866325,0.07813885,0.181102125,0.015142775,0.1343958
KIF5C,0,0,0,0.440681075,1.696808075,11.07698375,4.307009264,0.797830292,0.11306885,1.652399575,1.881418,1.1666884,0.303259025,2.798180125
DSC2,9.165,0,0,0.13160225,0.628327812,0.124410825,0.067629338,5.799435592,0.558117575,0.822786113,0.106246775,0.1178349,68.795345,0.087456525
KLHDC7A,0,0,0,0,0.0379585,0,0,0,0,0,0,0,0,0
PRF1,0,0,411.7975,3668.72658,20.87325438,137.340225,612.1754588,31.97230875,0.9018455,25.338958,42.800741,47.29343902,8.0339835,82.800575
SCAMP5,0.2975,6.9125,9.2175,2.027480087,1.815235719,1.529987477,1.657268856,1.21418599,0.624999252,2.390034121,1.471366,0.83811173,0.4308805,0.481772977
COL19A1,0,0.4725,0.98,1.02145995,19.85131788,1.1263916,0.935750775,0.588412125,0.21738895,46.12920213,0.769356525,1.36870645,0.9585451,0.5043869
HLA-DOB,0,0,0,2.44463075,355.5334066,1.6694435,2.410854875,2.640888833,64.10361915,397.3094912,0.96405375,2.94689155,2.83272575,2.045083
CNNM2,0,0,4.215,2.087721225,2.02577225,3.081711775,2.341216625,1.557336708,1.4373245,1.989645,1.64412925,2.122090425,6.215424375,2.01328125
YPEL1,5.425,3.6025,4.905,21.585125,3.911222375,2.389901,4.50405875,0.960474083,0.85569975,5.3364365,1.2747205,1.78820225,2.2493225,3.49257125
ACER1,0,0,0,0.51048825,0.6471255,3.4429875,2.119020375,0.516852833,0.55476,0.40112725,4.6234885,6.1591625,0.48469025,2.242595
MYOF,40.495,15.82,3.3275,0.253846233,2.852117253,0,0.02114959,101.6433586,42.862733,3.826170282,0,0,0.406015269,0.054962525
NUPR1,62.6925,4.4775,114.98,1.8883455,2.010292875,2.038999,1.880087625,1.981703917,2.5480875,2.040640875,2.1466685,2.36019,3.17252375,1.94574175
SLC17A3,0,0,0,2.22747222,0,9.064115,3.213302955,0.043329833,0,0.136872375,0.2092745,0.4801465,0,1.0901005
TNFRSF8,0,3.0375,0,0.70391525,2.119195488,0.1781568,0.361365162,79.36667835,4.754656775,1.822752,0,0.01970675,15.23913864,1.55847275
LMO7,0,4.31,4.075,7.194220425,13.72019719,14.4004824,17.98218771,4.383637253,4.649630483,15.4837759,60.9401675,67.40585244,1.5675035,21.6674501
RAB6B,0,6.4725,0,2.09854832,0.7275342,1.78028175,1.397019071,0.1840327,0.263824311,0.877184001,1.1604675,1.0896825,0.0216029,0.83975775
PPP1R3B,7.4875,9.0275,43.0275,4.399445,5.9995775,6.862715575,4.372974625,3.478314,2.2743035,4.900711,6.04711,5.49295175,76.8770575,4.8776025
ST6GAL2,1.1775,0.5125,5.72,0.3019573,0.3844923,0.3010872,0.325613387,0.19785535,0.18062735,0.2585777,0.46794295,0.37751225,0.3199297,0.415723175
VIT,0,260.61,0,5.79475,0,0,1.61543875,0.064254258,0,0.110363125,0,0,0.10769025,0
SMAP1,51.4125,9.5325,15.895,35.84471425,13.43283538,37.71461731,33.71883016,23.18687838,20.26487465,13.90625787,23.01229975,18.97785055,12.56749375,26.09900719
SH2D1A,0,0,137.45,185.905205,1.673961125,114.8912475,201.49605,1.419493,0.55098045,1.874959475,76.2775755,59.1919575,0.2612345,85.85511125
PTPRM,71.78,20.045,7.365,51.74609777,2.941151388,36.28742375,41.66731799,2.479664275,1.682306,2.3220274,21.96319196,4.575325225,1.157735,22.14417757
EOMES,0,8.765,20.47,90.39622,0.095595525,17.3574675,51.6835475,0.814374,0.006911875,0.400041763,2.00100325,3.32237325,0.12802655,1.95867375
SEC14L2,6.645,12.8375,16.4275,6.594974075,5.381932063,25.99305426,24.46570729,3.244619293,3.850642475,6.615330981,49.62092204,68.8734395,0.437385,26.56550063
SLC16A10,4.015,0,0,0.56712625,0.84304225,1.718425,1.19198925,0.423603583,0.44160725,0.905994375,6.548809302,8.03261675,0.38843075,4.852279
ARHGEF10L,3.59,1.1025,12.4475,0.08901525,2.935947563,0.009423875,0.006595413,42.80002946,35.40581081,2.52933156,0,0,0.2279072,0.12411545
C10orf105,0,0,0,0.21681275,0.133201175,0.443071,0.179237362,9.142517417,2.53673375,0.084152625,0.1573395,0.17558525,6.082707774,0.1473673
THSD7A,0,0,0,0.041464081,0.006044924,0,0.006791083,0.000691442,0.15310225,0.005380567,0.0760805,0.016559063,0,0.00505292
CALM1,243.1775,73.0275,449.92,1272.430862,495.8170412,1107.205071,1199.578591,485.4839098,554.4193128,428.1817388,805.97557,750.7514503,339.3152613,1034.118801
ARHGEF4,0,0,0,0.7789545,0.680500063,2.105989094,6.197615983,0.278381042,0.4801105,0.418473994,8.118242033,19.61881512,1.629488006,2.249206512
LILRB4,0,0,4.1725,1.560798475,7.198206911,0.67558975,0.78418185,116.4670624,119.8387442,8.305092619,1.018948775,0.66870075,11.532736,0.861496875
IQCA1,0.9425,0,0,0,0.294317854,0.341241875,0.538686513,0.006728658,0,0.181335642,0.140669345,4.343811056,0,0.3274375
OR6N2,0,0,0,0,0.11272425,0,0,0,0,0,0,0,0,0
CNTNAP2,0,0.3325,6.095,0.932013272,13.800159,0.886552491,1.030095421,0.60490632,0.609417483,22.26413663,1.13910578,1.314208593,0.862969458,1.137767294
RNASE4,35.84,8.71,0,0.18528925,10.06589975,1.789211933,1.2340972,16.9833977,16.228185,3.967504581,0.1772421,1.12007575,0.216072725,2.36848
BOLA2B,4.6175,29.29,12.065,7.9795125,8.821318272,8.84671975,7.242335875,4.132920975,4.552212,11.8803795,5.71316455,5.861940025,0.71193375,4.987385257
