Gene Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
CDKN2AIPNL,7.567635747,7.576082662,7.75740455,7.652969921,7.159269246,7.54719131,7.632734363,7.819628352,7.418396415,7.36791033
CDKN2B,4.815761998,5.090991749,4.834689396,4.45745907,4.967134461,4.740789912,4.709068864,4.864938465,4.750768657,5.214980069
CDKN2B-AS1,3.706584002,3.863282259,4.093465095,3.804677871,3.911796431,3.778889737,3.994807002,4.59637127,4.130301582,3.665403397
CDKN2C,6.419734442,6.20742231,6.262950567,5.93441593,5.712164482,6.459033618,6.104330684,6.31364585,5.9828901,6.222562051
CDKN2D,7.025702892,6.817262326,7.161153825,7.157209152,7.225015133,7.316537212,7.393647992,7.196711538,6.448690759,7.288272997
CDKN3,9.105324411,9.152241526,9.078077145,8.955156728,8.969234634,9.100289258,8.948469061,8.976763094,8.921009098,9.125370443
CDNF,3.856484438,3.823612024,3.466448227,4.140677541,3.773835665,3.814819619,3.557495852,4.288506372,3.762640983,3.817225509
CDO1,3.94443474,4.032052252,4.501809047,3.973585147,4.063598804,4.048009702,4.017745337,4.513596018,4.154479214,3.942641389
CDON,4.448512144,4.598694619,4.465332526,4.674647617,4.48672255,4.608079553,4.585423496,4.525078476,4.500067415,4.605759902
CDPF1,7.113425091,6.988397579,6.434369269,6.751395588,6.763750894,6.985042082,6.831825154,6.715175915,6.862219477,6.964312967
CDR1,4.986798203,5.050179292,5.328194677,6.288138963,5.574049743,4.749637878,5.30013772,4.822008928,6.647479277,4.80622527
CDR2,7.352359677,7.331039188,7.537846244,8.467957284,7.425506437,7.459564692,7.324786157,8.086324265,8.253539088,6.731852888
CDR2L,6.620458516,6.522371547,7.13069806,6.583870096,6.450515341,6.727094319,6.841826827,6.68611608,6.649668042,6.614649176
CDRT1,5.017570538,5.0085977,4.867960391,4.814438078,4.980094787,4.924102746,4.935942725,4.810681742,5.049321908,5.010240351
CDRT15,6.483112143,6.367573608,5.914213847,6.514154335,6.482357591,6.535301502,6.560043744,6.251101027,6.927832333,6.457342554
