Symbol,naive.B.cells,endothelial.cells,fibroblasts,memory.B.cells,memory.CD8.T.cells,monocytes,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells,NK.cells,memory.CD4.T.cells,myeloid.dendritic.cells,macrophages
CD27,592.4575569,207.9645259,151.3721234,5642.334864,6784.261191,243.8877295,8063.292214,7221.103411,488.5961432,4507.33824,302.5123845,4227.46738,214.1933776,162.1480353
DEFA4,623.6489591,227.4452911,174.0612956,507.7008913,134.8480473,232.0916078,1143.328053,1619.48807,1144.213541,415.4429326,5355.428439,331.6784991,188.4904282,153.9332995
CHST7,34.75160437,389.2436338,342.4306188,32.64120216,931.5445302,601.4916177,240.8893213,66.66264801,808.0641451,518.4205456,81.02840996,425.8704432,3263.868678,587.171546
DGKA,483.9939926,190.5949387,348.9943182,585.2658441,4082.299038,297.4006224,3598.127455,2033.204061,321.9160436,638.9346504,271.6599558,2284.124828,224.245922,183.6124724
IGHD,27.64010003,11.99443503,15.69315066,34.08669414,0.373626984,16.55086482,34.86348853,17.5233856,19.90344543,14.69418136,12.31132257,16.0015517,14.03600981,14.94375522
SKA1,143.8265563,59.13046928,251.6713671,108.9021371,2.653460317,46.14020521,71.46971201,53.20398408,88.61417586,90.80399666,104.484418,387.5557668,48.74251772,53.87429048
AIM2,629.8045286,846.7191076,265.9233285,6535.370629,437.1397384,984.2063541,264.3710561,601.6722242,1163.58795,969.1472455,269.8796305,4031.733559,1041.337741,326.3602866
TBX21,790.6483751,337.1130969,234.3722367,885.3103289,760.900595,478.3078449,1225.39873,2112.682015,1043.59439,3052.358488,5029.761232,1601.673573,344.2443935,605.9922013
RCAN3,88.20453162,20.84739726,113.3399534,70.47270182,972.4488463,66.91754182,668.3207837,361.5929475,18.35176037,310.1512359,42.10781778,652.962089,156.613351,119.5418278
CMA1,94.82889383,98.6328601,105.1308388,73.43476295,1.355753968,121.9092146,75.16333563,58.23053143,85.56486755,75.36309032,102.766325,49.18301519,93.82301286,105.7886759
