Gene,memory.CD8.T.cells,naive.CD8.T.cells
PDE4A,4.145217191,2.102797108
PDE4B,7.935850871,7.417201307
PDE4D,7.669728828,7.029298857
PDE4DIP,7.042369509,6.911924764
PDE5A,1.190483013,0.802206407
PDE6B,3.075412668,3.48905383
PDE6D,4.575394733,4.382463383
PDE6G,-0.76210071,0.587887675
PDE7A,7.867051543,8.603508992
PDE7B,-0.4673983,0.540920146
PDE8A,5.019624695,4.054879221
PDE8B,0.278872823,-1.171791271
PDE9A,2.007012184,4.140073857
PDF,0.690764291,1.535669345
PDGFA,0.381099131,-3.226208962
PDGFB,2.25602312,0.587887675
PDGFD,2.269414073,0.030832499
PDGFRB,-0.76210071,-0.111986841
PDHA1,5.355653388,5.282112248
PDHB,5.477486451,5.397009959
PDHX,4.495029888,4.860048199
PDIA3,8.12520391,7.41150091
PDIA3P1,3.938619538,3.117120664
PDIA4,6.75050323,6.325005473
PDIA5,3.08301633,3.101020748
PDIA6,6.395711486,5.442441707
PDIK1L,4.85618238,4.796485178
PDK1,4.865030077,6.968481236
PDK2,4.750331312,4.724747998
PDK3,6.091842007,6.550708627
PDK4,1.907747504,1.559429848
PDLIM1,1.56093228,-0.270513755
PDLIM2,6.116132935,5.796210753
PDLIM5,5.117278792,4.763621672
PDLIM7,3.300810802,3.009108683
PDP1,6.205924324,4.943676542
PDP2,3.377014681,3.602045195
PDPK1,6.790527733,6.717071302
PDPR,6.562050145,7.043057967
PDRG1,3.419676315,3.210120206
PDS5A,7.640075093,7.722599964
PDS5B,6.261428066,6.423777409
PDSS1,1.744736431,2.484218018
PDSS2,4.012151213,4.296710315
PDXDC1,6.123525524,6.116583202
PDXDC2P,5.079766927,5.372069915
PDXK,5.892077717,5.701952586
PDXP,3.075412668,2.580257473
PDZD11,3.098104474,3.026261408
PDZD2,-0.998413715,2.471750775
PDZD4,6.346808132,3.084739134
PDZD7,0.224908436,0.390081306
PDZD8,5.506048892,5.312142997
PEA15,5.747657888,4.70624215
PEAK1,4.15246261,5.324329177
PEBP1,7.257553878,7.197733094
PECAM1,7.259652199,8.244695162
PECR,3.869955305,4.067362255
PEF1,5.341458755,4.879055701
PEG10,0.730037271,-0.546684978
PELI1,6.620039337,6.113577001
PELI2,4.495029888,4.876693413
PELI3,2.90571381,2.459174855
PELO,3.883081253,3.261724355
PELP1,6.087123419,6.078033829
PEMT,3.26114428,3.034761896
PEPD,5.735647743,5.509539961
PER1,6.728249533,6.615186193
PER2,4.078316967,4.358961804
PER3,3.455265464,3.009108683
PERP,3.300810802,-0.111986841
PES1,5.486114715,5.544188497
PET100,4.059169459,4.151843992
PET117,2.956269704,2.947415362
PEX1,5.889911894,6.243929835
PEX10,2.643086372,2.825334451
PEX11A,0.47655873,0.587887675
PEX11B,4.354455909,4.175100044
PEX11G,0.608857812,0.336081062
PEX12,2.334565559,2.471750775
PEX13,4.747941705,4.879055701
PEX14,4.309790547,4.512920167
PEX16,5.464446522,5.119802477
PEX19,6.062334846,6.118583862
PEX2,5.227728871,5.52772124
PEX26,5.551974659,5.73101301
PEX3,4.130616269,4.250019355
PEX5,4.899888039,5.341561361
PEX5L,0.224908436,0.279980721
PEX6,5.432065973,5.996612704
PEX7,2.215087948,2.591825046
PFAS,4.325901668,5.401946646
PFDN1,5.281589806,5.009844598
PFDN2,4.202186574,3.784487291
PFDN4,4.051438729,3.946426451
PFDN5,8.585039048,8.586444448
PFDN6,3.913251875,3.748765034
PFKFB2,2.713359435,3.982026233
PFKFB3,6.677044014,4.985933885
PFKFB4,2.703527577,2.5685964
PFKL,7.287067757,6.950623244
PFKM,3.206499864,3.464095199
PFKP,6.865188857,6.566917036
PFN1,9.831965592,9.313749013
PFN1P2,3.662312018,3.950924762
PFN2,2.25602312,2.556840305
PGAM1,7.124798156,6.398476624
PGAM2,2.228862465,3.17978162
PGAM4,0.690764291,0.677470399
PGAM5,4.806525667,4.724747998
PGAP1,5.853698245,4.671231378
PGAP2,4.01612846,4.441194608
PGAP3,5.0683205,4.932347359
PGBD1,1.686032344,1.535669345
PGBD2,3.383186982,3.635963319
PGBD4,2.099884427,3.009108683
PGD,5.976147863,5.972479828
PGGT1B,4.607382641,4.682094696
PGK1,8.63115,8.401220159
PGLS,5.679075663,5.199463127
PGM1,5.104260295,4.925506899
PGM2,4.421964549,4.589926467
PGM2L1,4.8517381,4.575433294
PGM3,4.956865811,4.700910869
PGM5P2,-0.299818121,0.336081062
PGP,4.418963543,4.581248046
PGPEP1,5.626712172,6.28102335
PGRMC1,4.59945191,3.814417772
PGRMC2,5.974104729,5.221969954
PGS1,5.013669185,5.406866497
PHACTR2,6.205924324,3.829153333
PHACTR4,5.786596608,5.630843851
PHAX,5.349361898,4.923219519
PHB,5.767848439,5.773534713
PHB2,7.539347806,7.526343441
PHC1,6.549069653,6.756149593
PHC2,5.874659403,5.450406086
PHC3,8.032773123,8.599754169
PHEX,0.278872823,-1.171791271
PHF1,7.275915198,7.263852941
PHF10,5.50463412,5.654478718
PHF11,6.061372881,5.755648033
PHF12,6.954944368,6.955108509
PHF13,3.135148588,2.78559363
PHF14,5.286537679,5.613924179
PHF19,6.237780084,5.733626069
PHF2,6.65361837,6.644641141
PHF20,6.661257632,6.820245858
PHF20L1,6.361732122,6.716410945
PHF21A,6.353896638,6.450231681
PHF23,3.955286847,3.457787486
PHF3,7.55924624,7.82784135
PHF5A,4.246872938,3.848569508
PHF6,5.205260229,5.711262734
PHF7,2.536358961,2.241447415
PHF8,5.936824711,6.211492102
PHGDH,3.098104474,4.961620195
PHIP,7.583571938,7.855095848
PHKA1,-0.4673983,0.030832499
PHKA2,5.684083994,6.138439331
PHKB,5.712549294,5.665468435
PHKG1,0.049731782,-0.111986841
PHKG2,5.219128447,5.153367914
PHLDA1,4.3000368,0.720258627
PHLDA2,-1.446464651,-4.090114912
PHLDA3,-0.875424112,-1.992559397
PHLDB1,2.713359435,0.336081062
PHLDB2,3.908980224,1.949391152
PHLDB3,4.000153259,3.834031929
PHLPP1,3.512696642,3.674552207
PHLPP2,4.912745656,4.665768889
PHOSPHO1,-0.149693634,0.720258627
PHOSPHO2,0.608857812,1.93129379
PHPT1,4.078316967,3.843739907
PHRF1,6.283045151,6.272962177
PHTF1,3.105589783,1.93129379
PHTF2,5.827909866,4.818806096
PHYH,2.569214283,3.051614075
PHYKPL,6.285518714,6.540298559
PI16,4.95064494,1.215055743
PI4K2A,4.643826965,4.328171798
PI4K2B,5.191257404,5.007687199
PI4KA,7.10812604,7.73079764
PI4KAP1,4.769307009,5.041824332
PI4KAP2,3.707284752,3.919138008
PI4KB,6.684560555,6.715750286
PIANP,0.805514526,-1.023228196
PIAS1,5.679075663,5.856192993
PIAS2,4.757476479,4.974932978
PIAS3,4.47204911,4.341937434
PIAS4,4.240087562,3.999502031
PIBF1,5.074055065,5.193781127
PICALM,7.446612302,6.922842485
PICK1,3.79785901,3.968779045
PID1,2.643086372,1.837236566
PIDD1,4.817962302,4.862437877
PIEZO1,8.338352594,7.007871394
PIF1,-0.4673983,-3.226208962
PIGA,4.946482741,4.690188839
PIGB,3.626337504,3.464095199
PIGBOS1,3.075412668,2.637189572
PIGC,4.661709606,4.472818696
PIGF,2.334565559,2.580257473
PIGG,5.467354487,5.777338891
