,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,neutrophils,CD8.T.cells
ACVR2A,37.98084242283383,20.51276405286156,39.48328167311321,25.859993367193145,10.812138556596182,37.76009219306164
ACVR2B,21.592973187285864,21.584294009106532,38.246345567862846,31.09153629984123,28.476303943000303,33.79619784968812
ACY1,32.31136962006548,31.574981858594345,22.36142154490046,22.875795365041345,19.05159658299862,36.1125241632697
ACY3,28.151502135779342,21.901078336740003,23.178736172515574,29.135375513963975,35.80477261627092,47.65789220952869
ACYP1,23.75385892667549,104.25769072972686,113.78763641185151,64.44426181026996,5.3394087630671745,21.912839515070168
ACYP2,42.583717633735176,122.73730493316312,48.684816529949416,43.107888697195264,17.03842409540195,29.04782373999674
ADA,36.24575159428766,18.20975996246037,87.24980488844184,104.47471406834065,14.304329803785294,43.91135405106103
ADAL,25.871467772264186,28.363427962128902,29.376894740558992,25.936825343183752,23.298416517785444,30.24707549761105
ADAM10,36.40134871657534,40.479512206471384,21.011394355188347,40.25399318045354,52.42852306689127,28.695670011771664
ADAM12,17.191934664273408,13.679465921447086,20.21522001019065,27.008282605589923,28.341024380472735,29.967698355830137
ADAM15,37.87174520800875,17.68727634355168,20.07850571854981,21.638971133914065,18.984498714512227,157.012573181992
ADAM17,30.79640407164388,28.647155707517367,16.843265921118423,13.669513566174308,23.907311573088982,17.32767952999356
ADAM19,74.93926901247139,451.8092507978251,94.53390854221968,27.381697829453298,173.77177979124173,48.62276990669793
ADAM28,13.204520424083045,225.59010838651784,15.899615806806084,12.52518493559372,17.793642908702033,7.761479061997704
ADAM33,68.46240176237218,41.743799073182,74.5703392594366,66.28911100142795,73.50242789520897,63.136026517414905
ADAM8,15.522510473353973,14.911360615791178,10.603215988821095,16.981947353981756,58.6228011384037,92.29605934242822
ADAM9,13.059701345329627,8.860327343975737,10.296699032550473,8.459016875055505,24.68324214702617,14.984169309407733
ADAMTS12,21.31164424912673,17.459858961543677,21.088433103700318,26.265552008172612,37.50445311562414,36.61527377751009
ADAMTS13,33.602577624083644,30.639481963170375,27.316485966316833,34.6026350347887,47.46953459085364,43.20204362538407
ADAMTS20,13.534690570624358,9.235627588634307,17.324478259612608,27.96673635915673,34.42440944862451,38.165475480743275
ADAMTSL4,40.43716639877235,15.07848942079377,16.461683734756733,17.722251552734953,20.07140911955492,33.89525325279526
ADAP1,91.53172723938854,30.188559235085375,40.3246470267969,53.26330331043799,77.66324050731124,31.117030622725032
ADAP2,158.95449454524714,30.949839010804787,25.05488481225717,21.350234342528104,20.116954397217054,21.70026605869763
ADAR,780.9898562111658,741.7709713843522,779.4863774909902,525.7889455110817,1239.463438224967,407.7877836296583
ADARB1,16.394386385919493,348.43361406313096,128.43370055002725,41.68799263820273,15.135348612166082,28.207975351250955
ADARB2-AS1,30.975163662588432,26.90607417970508,27.06281486494905,44.079318078381775,47.67331358987532,57.33927638750246
