Symbol,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,CD8.T.cells,myeloid.dendritic.cells,neutrophils
ACBD4,36.318431687312604,54.75808164368655,50.05249219951774,37.42602698921798,49.087030874959645,23.557099317181233,36.50367982721469
ACBD5,58.58136887273308,23.457380327444614,29.20675151506849,125.4692481202761,67.81958259444119,29.689893229178104,24.974778884738228
ACBD6,64.97982710902211,59.901905863240785,68.3306052180724,106.81274567830684,112.49288921954938,97.24687600124199,29.193797858915556
ACCS,71.70043666291055,68.31450363891686,64.68682508523511,51.8711338221972,68.95054260821084,56.103932800581624,42.5441835062537
ACER3,88.53217745508209,9.471546460454926,15.333764258489655,23.50686106903299,18.926424712132153,63.95343745573725,8.947223158355731
ACIN1,114.08774347481229,147.1985857341205,120.2039087787125,137.9785314116553,162.49257653808857,75.75399142124039,105.5973631734053
ACKR3,13.87042414951592,27.852791086362593,40.14226174534153,92.15049433483365,56.42216030043076,22.74062499241535,38.471281971869296
ACLY,86.16499616580965,81.70995769707733,65.99294976826609,128.82510873725025,116.73229984545105,57.155483016554484,70.22924400507152
ACN9,12.455577428840506,14.299769628122974,15.610772220623435,35.66705021761811,42.714974025873126,11.940323342294413,11.688274011142859
ACO1,43.09504216381665,23.856657177862903,19.2814280305808,56.54587974692207,43.235366087670464,20.091592299473323,16.723211246553003
ACO2,116.1012745621019,109.13348380242567,68.65057980787878,127.79610004580923,100.41145138207186,105.99482357592241,28.153843809285508
ACOT1,15.46837778642096,15.669529973884984,20.01764012363307,71.77353136025455,42.46257629002823,35.15236865791352,12.471127514550256
ACOT13,43.80003143114107,31.069562037829417,40.91619265063769,123.84741962862856,100.04255513483434,33.05576504963334,64.7321268061002
ACOT2,15.46837778642096,15.669529973884984,20.01764012363307,71.77353136025455,42.46257629002823,35.15236865791352,12.471127514550256
ACOT7,20.79882323318288,19.273677965410158,31.24016135746057,179.86117643595477,69.64268883628603,51.144244826100994,15.686808945678262
ACOT8,64.91950074694293,45.98049205937378,49.23628479892111,79.43979528731924,72.56842230831948,71.35981648536895,47.07535273949099
ACOT9,251.6648640778177,75.62388179221847,95.9958411590151,127.0990996209811,123.87145841841767,281.64616164057355,107.8401052909482
ACOX1,37.65710010053883,12.615801844515321,20.912157400883498,49.355193566411195,31.262039584869783,27.35950076180341,105.94487573913727
ACOX3,27.773556000144644,22.714316679859657,25.460873318274857,24.437079967371222,27.559732883485147,26.40739341785417,21.56874007974621
ACP2,86.31742965274344,27.11106721079166,34.10118575695375,47.66472276205591,40.479512206471384,40.49691206605827,29.78656797660919
ACP5,61.11311019311191,72.94817598688321,47.87199418560626,45.607525760114456,52.878523915687964,20.73505544693333,35.091506992694754
ACP6,35.64480689262607,41.05767419731961,47.45834876180602,51.19070605756263,94.15266330821943,72.26073379271321,42.204063314035544
ACPP,37.37832460431554,14.230456126866851,21.400164776694645,11.570826386076954,9.264030479933998,55.50823826190222,47.744081556210965
ACPT,29.784503400601622,42.44344926937736,32.88869821241205,24.816538635923735,22.685522758525714,32.792182065881725,57.46413879045853
ACRBP,19.73438972132873,17.64551950155674,18.816025299723293,30.574775490075602,20.045826546132645,11.697513592525413,26.811499448267394
ACSBG1,8.589118051247697,10.190761816825793,11.034122521017448,7.475240522234387,8.327999603788982,9.52639256025587,10.617851763164893
ACSF3,22.760179018699947,26.449160012083055,28.087182382563185,33.36537931176858,41.869274078193726,17.76936227165341,12.073482793598394
ACSL1,139.68371267704165,13.255415609731406,24.172252293767375,34.319342299795196,32.901466847129235,31.643559746505705,1383.4933556929348
ACSL3,36.48521373089826,28.601323443997153,27.663465611234667,72.65750900332206,48.164557288738685,30.89903762849037,16.730283646125383
ACSL4,41.12375221893705,9.50732843591723,13.899874962409971,18.435440707435863,24.008444005756434,21.896372834389876,12.24906734330604
ACSL5,91.97373350181975,96.81307517545382,73.88655712086253,202.98509705881497,162.14267056388746,159.85720945967634,13.833842200297783
ACSL6,4.36992948504126,4.747605302854227,18.775767797973423,5.8087188374399155,62.68159560487323,5.605060712510134,5.584352455945895
ACSM3,11.874953837229166,9.257611368277791,11.905860578196727,19.833535935763752,40.54775123066633,8.508353648750898,7.897248019026809
ACSS1,117.00934941013466,170.40572554896283,134.72651502773888,159.75530174806275,136.5050013318254,86.96482009499944,52.161013622507795
ACSS2,124.95458244859806,34.698707032971186,49.14763192807617,25.761594751152092,35.316733330596634,132.96382685041303,86.61289947443495
ACSS3,13.167138991516563,18.84839795784921,18.723912200088623,3.722366220017539,5.44148340962382,11.395244699458559,38.81090044183749
ACTA2,35.709845823014206,16.667894864131544,19.064806721211408,83.04894867679123,67.98195755136341,24.827377956109057,29.82623559960961
ACTB,2223.474278307345,1282.9951487551896,989.3107888233195,1943.0401540205064,1615.2032462628945,4673.863870793652,1942.5015035749761
ACTBP9,139.97544923540949,53.05732368740504,63.66550484312047,91.24161007735911,81.4430677545008,219.67547450849375,131.19327875399097
ACTC1,20.37516729698643,20.381947459927442,15.674201024885953,19.981597167269722,18.71392147771468,28.005921615719398,28.779707014507107
ACTG1,3759.174054006246,1841.9267832785977,3273.4585598640765,4300.831814606092,3398.3058814902192,7435.943020483208,1942.5015035749761
ACTL10,28.95679448673359,27.921218539641806,29.13699116703035,32.69572252822537,28.442768646398036,20.890425895777028,28.18176374729286
ACTL6A,31.606294511390406,36.989143769377876,46.71422408116079,69.73785088120766,92.15432684584813,43.555107451472544,3.981797906801128
ACTL8,26.015147824949626,24.896482148262017,24.72502372129,18.325745703781536,16.39086401033224,26.40977307240503,29.532262866611614
ACTN1,217.3159115257784,4.695015757866608,237.02410889280125,46.72264359631883,321.8980439685667,110.04349076609401,819.0399425377609
ACTR10,262.63220029846497,183.7741450813941,204.83806135963968,467.534818524902,398.208443042383,241.6357320945266,264.7285532387006
ACTR1A,108.98229748780138,30.091831250136803,34.33528419937341,129.71216695574327,78.8129064203642,68.77822601281025,111.06573593401018
ACTR1B,135.11649507786723,123.15317396955668,174.60971255806308,149.12620651935515,179.1035347365995,145.0071270783025,91.30361012028038
ACTR2,129.13891493009697,60.23917054322981,66.5547624754064,162.74055436051253,162.11120477165971,80.21554838810178,39.67862150261282
ACTR3,487.50391684452757,571.3931774177062,470.75088602859125,1051.6216258266145,748.7342810442773,897.1093264369263,896.0404182102881
ACTR3B,23.043053501221237,27.451251158456532,25.561312299400043,30.77527834462862,37.70019289436019,21.00775367344927,16.52444600557929
ACTR3BP2,20.811946519167083,31.557696564996306,24.72605202750177,13.784738555392275,13.87936828023466,46.19420584034652,37.42758352629029
ACTR3BP5,20.811946519167083,31.557696564996306,24.72605202750177,13.784738555392275,13.87936828023466,46.19420584034652,37.42758352629029
ACTR5,28.66503230862843,26.054849206053355,32.211858590447235,42.5843079735034,44.09062430651001,21.346239025621536,13.77451865339431
ACTR6,37.377547351987396,78.0701967283731,68.28041870091681,168.8829647046044,176.8595116223037,45.55160554219141,15.615750473098952
ACTR8,61.14065064377801,59.40531048002433,57.43307892503475,57.580563400718496,52.71457495578966,68.92473928552543,78.88395605370133
ACVR1,57.0616674221317,16.77778082606239,62.486386137449685,27.365190601611744,75.7618681305477,42.795583108151845,35.75318841831104
ACVR1B,71.71882763466667,31.976940374361103,44.6803939158514,36.60731356623487,41.930554390921095,22.151308229349993,36.15166028116155
ACVR2A,37.98084242283383,13.236868929902787,39.48328167311321,60.51202670609079,38.88279439729306,7.737727917268721,10.812138556596182
ACVR2B,21.592973187285864,23.60711766678888,38.246345567862846,12.231335240885624,16.35613533324374,26.043293468416557,28.476303943000303
ACY1,32.31136962006548,32.6027103634678,22.36142154490046,51.85783242577813,43.684512935938955,26.027953927573964,19.05159658299862
ACY3,28.151502135779342,25.245423952395424,23.178736172515574,14.906710245685725,15.712926505372968,27.805531321387118,35.80477261627092
ACYP1,23.75385892667549,87.84023445845241,113.78763641185151,127.1898733547281,165.32372899663423,27.87075153239316,5.3394087630671745
ACYP2,42.583717633735176,78.29129489623288,48.684816529949416,117.05234279818946,92.80560277915802,46.96649410365224,17.03842409540195
ADA,36.24575159428766,18.182264685777056,87.24980488844184,188.98134266191428,116.82295721494232,59.949673861840424,14.304329803785294
ADAD2,25.766773678912607,38.59441005086701,31.174402413858186,23.69597305302332,24.036751035240847,36.811126630893945,35.39785414103222
ADAL,25.871467772264186,29.815900405109502,29.376894740558992,32.29502428539392,29.886664728598564,29.52735042609029,23.298416517785444
ADAM10,36.40134871657534,31.670330109899393,21.011394355188347,132.58649292070717,57.18639275783864,24.48472351657377,52.42852306689127
ADAM12,17.191934664273408,14.280454586775095,20.21522001019065,6.088049124490709,8.025326012673947,24.1616989931862,28.341024380472735
ADAM15,37.87174520800875,20.74094898687818,20.07850571854981,21.63732130770987,18.2634827399673,26.7791822321622,18.984498714512227
ADAM17,30.79640407164388,21.326421476056044,16.843265921118423,35.85817104628982,26.23607501392633,10.450064921286893,23.907311573088982
ADAM19,74.93926901247139,465.59766085695986,94.53390854221968,9.458818579093332,39.957931609751085,62.03497827605678,173.77177979124173
ADAM1A,18.682427259126936,21.80988110289728,40.55028080991712,50.909041566342985,85.92940498381053,9.046000025273182,6.489107202120033
ADAM28,13.204520424083045,214.46820898165387,15.899615806806084,20.519590003324772,8.957461887355235,62.02079010661439,17.793642908702033
ADAM33,68.46240176237218,62.143431380802475,74.5703392594366,56.02116187481159,68.70008600364767,75.05987590837111,73.50242789520897
ADAM8,15.522510473353973,15.353652543872064,10.603215988821095,39.37942115893286,16.434891193091246,21.646171847803945,58.6228011384037
ADAM9,13.059701345329627,8.125124954009594,10.296699032550473,4.451742049553956,5.057659805688652,15.652812510568506,24.68324214702617
ADAMTS1,8.496213383087975,10.954638716640613,8.031670033420289,198.83666490615548,9.731215368970975,12.285119618698737,11.329246447923047
ADAMTS12,21.31164424912673,26.25317491785333,21.088433103700318,10.023608032552193,11.44955799741228,28.941744908569877,37.50445311562414
ADAMTS13,33.602577624083644,34.95725506525665,27.316485966316833,24.063423432760562,20.304956057810376,34.33909231540616,47.46953459085364
ADAMTS14,31.539764876204682,27.656563525270084,22.531164896792514,21.966909381711424,19.69803753884221,40.11416883960512,33.93871413061778
ADAMTS20,13.534690570624358,27.680152764501006,17.324478259612608,5.212913785794301,6.638374405645359,19.145852568583322,34.42440944862451
ADAMTS4,19.542728483447828,18.221249645555027,17.28034361166923,14.616236724129255,14.841448517620474,21.812148839425095,29.41805582359137
