gene,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells
GTF2A2,214.64912222222222,208.4862111111111,190.66314533333332
GTF2B,766.0565,866.4909000000001,946.8966777777778
GTF2E1,281.02215555555557,322.48816666666664,257.1483666666666
GTF2E2,303.0521222222222,368.1553138888889,384.6975495238095
GTF2F1,142.61079444444445,135.30355,142.70531111111111
GTF2F2,30.179746666666663,6.531775333333333,26.16416666666667
GTF2H1,231.47174444444443,219.56630000000004,194.88069111111113
GTF2H2,187.56917777777778,197.0677475,172.42867111111113
GTF2H2B,30.1948,21.537983333333333,35.69916666666666
GTF2H3,364.71857500000004,323.55763333333334,268.436
GTF2H4,63.97000185185186,49.412914666666666,79.99558666666668
GTF2H5,137.47799928571428,110.42951666666666,89.67815166666668
GTF2I,812.9023544444444,710.5038680555555,693.2195638888888
GTF2IRD1,6.062313333333333,45.820684500000006,21.3317
GTF2IRD2,105.24437777777779,121.28539444444444,105.76207144444446
GTF2IRD2B,20.141116666666665,19.357020000000002,24.1029
GTF3A,3480.046422222222,3529.9742222222226,4068.8847777777773
GTF3C1,191.10848666666666,191.43626666666668,183.66521
GTF3C2,488.14411888888884,410.94017777777776,564.1194777777777
GTF3C2-AS1,4.807566888888888,5.9581550000000005,3.5006745
GTF3C3,121.20169583333335,104.02599944444444,130.73712777777777
GTF3C4,85.7595911111111,105.34103333333333,79.1117111111111
GTF3C5,160.745075,148.4990388888889,192.34351666666666
GTF3C6,889.5173333333332,1347.3433333333335,972.2520166666667
GTPBP1,57.425116,61.89046053968254,56.44915866666667
GTPBP10,83.58676673333333,53.60958119999999,71.69051019999999
GTPBP2,54.010586666666676,73.47498666666667,67.55587666666666
GTPBP3,135.5907993650794,107.03038333333332,111.46549333333333
GTPBP4,364.3490166666666,355.8059166666667,376.96480833333334
GTPBP6,471.915185,448.93766444444447,449.0563333333334
GTPBP8,348.9302533333334,386.8346633333333,339.62004444444443
GTSE1,35.4803125,37.75416444444445,40.435350166666666
GTSE1-AS1,11.878238000000001,6.5183678333333335,20.46300666666667
GTSF1,74.43425555555557,114.24321777777779,90.26894666666668
GTSF1L,33.79779458333333,9.803449916666667,80.21834333333334
GUCA1A,13.764150555555554,10.244708888888889,14.851816666666666
GUCA1B,43.475125,24.683293333333335,39.276421666666664
GUCA1C,5.634769555555555,4.621249755555556,4.184222888888889
GUCA2A,13.456113666666667,28.67654,4.2636575
GUCA2B,1.02177,13.447233333333335,10.729433333333333
GUCD1,271.6384055555556,333.93561222222223,268.72663555555556
GUCY1A2,6.576155055555556,4.54690611111111,5.363552222222221
GUCY1A3,7.688050166666667,6.5408835,5.3821692500000005
GUCY1B2,1.1188,10.817433333333334,0.6564596666666667
GUCY1B3,6.216505000000001,4.851703333333333,9.391228333333332
GUCY2C,10.769421666666666,0.46556200000000003,9.634142222222222
GUCY2D,23.1194,31.35083333333333,19.42735
GUCY2F,0.7615916666666666,0.9217193333333333,3.0009787500000003
GUF1,97.66379444444443,78.57065,102.30808333333334
GUK1,302.32917199999997,350.7910166666666,244.6633283333333
GULP1,2.703946088888889,6.1466126,5.619191333333333
GUSB,456.99781499999995,456.99781499999995,483.92085988888886
GUSBP1,51.608505055555554,40.93860677777778,49.202162416666674
GUSBP11,151.25367444444444,109.06562666666667,122.49464888888889
GUSBP2,21.716770333333333,8.284028888888889,12.282675
GUSBP3,98.12591111111111,50.59792466666667,55.25580922222222
GUSBP4,80.95842750000001,37.82041666666667,77.17560999999999
GUSBP5,1.57486,22.053433333333334,37.751945
GVINP1,354.0877011111111,252.43296111111113,378.2807133333334
GVQW1,9.289643,15.072499999999998,8.849432166666666
GXYLT1,193.13351666666668,116.75535083333334,176.68925833333333
GXYLT2,6.78858,5.766165000000001,4.994300888888889
GYG1,283.9298516666667,506.31050000000005,352.50225
GYG2,13.050504444444444,5.793718888888889,10.795954555555554
GYLTL1B,18.5868,28.25079666666667,31.92834111111111
GYPA,3.0886145333333332,2.122139666666667,2.6925996333333333
GYPB,10.926254444444444,11.323235000000002,23.07178083333333
GYPC,386.18802866666664,296.83478333333335,371.7579166666667
GYPE,9.615135777777779,6.161194777777777,4.506418888888889
GYS1,274.722,279.82079555555555,238.38390888888887
GYS2,0.6700983333333334,4.05281,0.6439966666666667
GZF1,116.98321666666668,119.22813111111113,185.74215999999998
GZMA,349.5915611111111,3225.670904444445,73.47498666666667
GZMB,202.27759999999998,695.4631,16.325433333333333
GZMH,115.76228333333334,1891.9803166666668,4.233282333333333
GZMK,115.94598666666667,1489.5755000000001,43.142076
GZMM,125.08993333333335,131.87055,80.83409999999999
H19,16.285999166666667,16.634585,10.852116333333333
H1F0,53.038360000000004,35.16413333333333,16.60128525
H1FNT,3.4623737777777777,2.204021111111111,4.495186111111111
H1FOO,1.4750636666666666,1.4578866666666668,14.541523333333332
H1FX,1773.7933333333333,1388.6371333333334,1572.7760666666666
H1FX-AS1,0.7330443333333333,2.050643333333334,2.342305
H2AFB1,1.6354233333333335,3.1719950000000003,0.75481
H2AFJ,203.618075,188.88306666666668,138.72964055555556
H2AFV,686.7538555555556,731.3761000000001,602.8633388888888
H2AFX,34.23460666666667,36.01342666666667,47.25753583333333
H2AFY,720.8978333333333,749.7461333333334,590.2791266666667
H2AFY2,169.84753333333333,137.1689066666667,186.30976666666666
H2AFZ,2629.9466666666667,2952.0452222222216,2464.7766666666666
H2BFM,1.46298,0.6635873333333332,1.0618033333333334
H2BFS,26.992549999999998,5.2414499999999995,28.263333333333332
H2BFXP,35.74764833333334,34.18546722222222,30.302049999999998
H3F3A,5195.236333333333,5493.932218518518,5567.2830933333325
H6PD,49.088258333333336,59.093694166666666,41.695588333333326
HAAO,34.3725,39.72336011111111,31.22014833333333
HAB1,9.173746666666666,6.869510000000001,12.979625555555556
HABP2,15.8172225,20.294401466666667,24.470366666666667
HABP4,162.5312288888889,170.831415,184.24905805555557
HACE1,222.58560555555553,228.40342666666666,249.1013833333333
HACL1,398.51586249999997,358.8031936666667,402.748
HADH,261.29403294444444,197.97349888888888,221.21186111111106
HADHA,677.1405222222222,599.4035555555556,808.8664444444445
HADHAP1,16.9949,24.947711111111108,43.283793333333335
HADHB,1765.4766666666667,1530.377888888889,1428.6395566666667
HAGH,269.5526666666667,246.18006416666665,265.2381833333333
HAGHL,72.16702833333333,70.1203,137.78527666666668
HAGLR,11.656682222222221,9.274937777777778,14.370696666666666
HAGLROS,2.3749033333333336,2.27129,5.5887166666666666
HAL,2.5928795555555553,12.636070333333334,9.982645277777777
HAMP,23.622433333333333,26.0610075,13.138533333333333
HAND1,14.478633333333335,2.961906666666667,1.5472266666666668
HAND2,2.64805,1.3841533333333331,0.9256021666666667
HAND2-AS1,4.138839619047619,5.9561088333333325,4.358760333333334
HAO1,2.8227958333333336,1.9916933333333333,7.868301666666667
HAO2,14.594683333333334,14.254266666666666,14.293023333333332
HAP1,11.003819111111113,7.33568,4.485146111111111
HAPLN1,3.4803262499999996,4.035504566666667,7.648768166666667
HAPLN2,2.256938333333333,10.603534999999999,8.715878333333333
HAPLN3,402.748,515.4937613333333,534.5002714285715
HAPLN4,12.114650833333334,2.0138933333333333,4.6738133333333325
HAR1A,181.04376806666664,77.05818333333333,151.7
HARBI1,44.66194444444445,41.92089555555555,36.312933333333326
HARS,954.2438333333333,861.93051,911.4286388888889
HARS2,317.3808333333333,281.1647666666667,291.69233333333335
HAS1,0.930773,0.9481966666666666,1.0633800000000002
HAS2,3.413965904761904,2.0860483333333333,2.6996146666666667
HAS3,14.738070555555558,8.432613333333334,17.06942477777778
HAT1,899.4611333333334,782.5218416666667,768.9194444444444
HAUS1,271.24779166666667,339.62004444444443,302.6773333333333
HAUS2,212.81349999999998,151.0655416666667,148.342075
HAUS3,963.7036666666667,1126.47,1459.0665644444443
HAUS4,224.20766666666668,202.11100000000002,230.35598888888887
HAUS5,258.0639833333333,226.8792,273.22010555555556
HAUS6,247.9885686111111,188.3069,262.0151555555555
HAUS7,50.94552588888888,64.02859,49.90109972222223
HAUS8,52.61666888888889,53.40412555555556,45.74126999999999
HAVCR1,17.190366666666666,14.546514666666667,27.8496
HAVCR1P1,9.097678133333334,22.940492777777777,20.90726666666667
HAVCR2,22.47750425,16.218118888888892,11.549995833333334
HAX1,440.4144833333333,354.41153333333335,458.0850566666666
HBA1,24.117091666666667,14.372427777777778,14.341719444444445
HBB,31.667444444444445,25.521682499999997,23.828726666666668
HBBP1,3.176666666666667,1.27818,18.766966666666665
HBD,1.5620233333333333,8.335323333333333,1.69266
