,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8
SCARNA2,0.600201,0.854416,3.00969,1.3752,1.42791,2.46931,0.358847,0.771236,0.047582
SCARNA3,0,0,1.40288,0.215379,0,0,1.87338,0,0
SCARNA5,0,0,1.27775,1.24834,0.347193,0,1.29264,0,0.0771296
SCARNA6,0,0,3.80035,1.41159,0.488563,1.0561,0,0.599727,0.56981
SCARNA7,0.245647,0,0.95317,0.878022,0,0,0,0.396352,0
SCARNA8,0,0,6.17938,1.49795,0.324033,0,0,0,0
SCARNA9,10.28194,34.816,12.1224,10.4394,5.332618,9.722893,3.56037,5.6706566,4.64218
SCCPDH,10.4122,8.62065,9.37414,6.70775,16.1668,10.0841,10.0657,14.1948,13.2643
SCD5,1.80419,3.78047,21.16424,6.58442,2.639038,3.4528,2.63683,1.5270362,4.163211
SCD,4.02069,1.71477,1.62774,2.61192,2.31539,2.42737,2.2423,2.56159,2.28861
SCEL,0,0,0,0,0,0,0,0,0
SCFD1,24.21950438,13.88661911,25.62631109,24.07050699,21.5146007,12.88825,14.583426,14.57150739,17.2842623
SCFD2,5.22116,3.72068,4.750793,4.6737,4.21912,3.59381,4.50414,5.05015,4.60147
SCG2,0,0,0.076684,0.218642,0,0,0,0,0
SCG3,0.00533685,0,0.267333,0.326868,0.0330144,0,0.0553161,0.0352869,0.0935114
SCG5,0.07179888,0,0.5126133,0.15397941,0,0,0.18601982,0,0.029598353
SCGB1A1,0,0,0.354472,0.326525,0,0.323332,0,0,0
SCGB1C1,0.493225,2.67377,0.34797,0.106845,0.901392,0.599536,2.82676,2.28107,1.01663
SCGB1D1,0,0,0,0,0,0,0,0,0
SCGB1D2,0,0,0,0,0,0,0,0,0
SCGB1D4,0,0,0,0,0,0,0,0,0
SCGB2A1,0,0,0,0,0,0,0,0,0
SCGB2A2,0,0,0,0,0,0,0,0,0
SCGB3A1,2.09972,3.85192,1.85315,9.36911,1.52799,3.2706,16.2844,0.719003,3.52175
SCGB3A2,0.845259,0.642325,0.285202,0.525432,0,0.202337,1.58689,0.795277,1.66649
SCGB2B2,0,0,0.211554,0,0,0,0.235421,0,0
SCGN,0,0,0,0,0,0,0,0,0
SCHIP1,0.220644,0.346243,0.4164139,0.1521971,0.4489493,0.00913384,0.280809,0.410018,0.107714
SCIN,0.605808,0.45845,2.168399,0.82251854,0.21552,0.367128,0.361726,0.2371055,0.203806
SCLT1,11.65253702,9.498653,18.67199409,19.711084,9.768002,15.90147004,13.051028,8.234219,11.943439
SCLY,9.026572,6.151686,12.625788,11.594204,8.547638,6.404383107,6.287604,8.034847,8.490372
SCMH1,5.901041,4.886243425,7.423753,7.477180603,5.768636,6.442606,5.226369004,5.700723,5.940721008
SCML1,0.7745291,1.0187332,10.843839,6.83727,0.5293724,1.028827,0.4248766,0.727634,0.541173004
SCML2,0.506916,0.48098,1.09232,1.20126,0.503845,0.449795,0.435762,0.431699,0.471379
SCML4,10.054091,5.564331,21.72556002,17.7898638,5.904051891,7.98942774,5.7573234,7.7362922,8.6383249
SCN10A,0,0,0.00456103,0,0,0,0,0,0
SCN11A,0.062146,0.195282,0.975885,0.429001,0.3521423,0.12617,0.203961,0.0419374,0.085343801
SCN1A,0,0,0.174499,0,0,0,0,0.0196998,0
SCN1B,1.1874,1.51088,2.073368,1.4620745,1.469435,0.915432,1.367716,3.47686,1.3449
SCN2A,0.0541047,0.175239,0.565607,0.150855,0.0354705,0.105235,0.0730658,0.0688189,0.10373
SCN2B,0.0963636,0.256439,1.10829,0.178803,0.0822925,0.236507,0.0959046,0.132909,0.0521021
SCN3A,0.3698948,0.1871442,0.5909182,0.5712478,0.41300993,0.5244133,0.22741,0.821853,0.343722
SCN3B,0.0746194,0.133165,2.05358,0.364072,0.0570183,0.231364,0.0569569,0.0724011,0.11893
SCN4A,0.0463382,0.00226863,0.126719,0.0736125,0,0.00173554,0.0152449,0.033509,0.0659489
SCN4B,0.153324001,0,0.00643821,0.163092,0.0759847,0.0913518,0.0979265,0.0755906,0
SCN5A,0.0206369,0,0.022421431,0.224267563,0.006382533,0.016231538,0,0,0.044166522
SCN7A,0,0,0.0140349,0.0123662,0,0,0.0313722,0.0374341,0.0695288
SCN8A,0.2140666,0,0.3912669,0.382575095,0.12981324,0.0526698,0.1203197,0.1625402,0.22270045
SCN9A,0.1248654,0.26707,0.446989,0.536398,0.2252716,0.26475,0.161225,0.344671,0.200213
SCNM1,80.37395,74.545476,83.7108,81.55835,85.18139,77.265006,69.29526,89.6473,59.35561
SCNN1A,0.634751,0.117586,0.887566,0.463301,0.6897526,0.35982,0.429849,0.325652,0.240863
SCNN1B,0,0.0759982,0,0,0.0207833,0,0,0,0.0623302
SCNN1D,0.1952913,0.322685078,9.686739,2.923749,0.506920105,0.448276,0.150584,0.307159046,0.412045
SCNN1G,0.0347264,0.102008,0.769984,0.153677,0.0230145,0.0117057,0.0385584,0,0.0460144
SCO1,9.829890556,5.67341,7.58168,11.3166,5.70418,6.601,5.728855959,8.24604,6.89878
SCO2,52.19204,56.57239,222.669,161.7595,42.3012,71.4361,53.99939,87.25433,51.60553
SCOC,16.2447674,10.358053,10.64425909,9.764234,17.9312,15.95650877,14.79849,12.383344,17.346399
SCP2,98.36652245,71.19828543,58.49346,81.71527909,90.7328102,99.23668595,94.47461342,81.8380112,91.09261743
