,Tregs,memory.B.cells,naive.B.cells,naive.CD4.T.cells,memory.CD4.T.cells,monocytes,naive.CD8.T.cells,endothelial.cells
ABLIM3,0.0,0.89420415,0.061905792,0.0,0.0,0.25,0.0,0.45157556299999996
ABO,3.8263800000000003,0.217881593,0.0,0.0,0.0,0.0,0.0,0.0
ABP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,27.715314000000003,54.46716034,57.0880552,1.9498265030000002,4.511640695,43.05,12.26,71.87799621
ABRA,2.2063599999999997,2.0100466630000002,1.136437541,0.0,0.0,0.19,0.48,0.0
ABRACL,40.97207,110.75357109999999,216.1801841,0.0,0.0,94.26,78.88,13.55320078
ABRAXAS1,41.41859,25.94562973,32.42707555,0.0,0.0,0.0,0.0,0.0
ABRAXAS2,7.80578,73.10772159,78.63090784,0.0,0.0,0.0,0.0,0.0
ABT1,26.228,76.67747521,94.18591528,207.75052230000003,147.98178090000002,17.03,22.15,24.32643342
ABT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTB1,33.85953697,80.67713515,73.53867447,86.88719435,41.85494562,33.06,7.49,15.79755917
ABTB2,1.155485,7.887637866,7.2851029689999995,0.14367413199999998,0.139201641,3.25,2.66,0.299182324
AC000032.1,0.0,13.15809569,3.947387308,0.0,0.0,0.0,0.0,0.0
AC000035.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000036.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000041.1,0.0,12.85532522,16.18689063,0.0,0.0,0.0,0.0,0.0
AC000041.2,0.0,1.528056997,0.0,0.0,0.0,0.0,0.0,0.0
AC000058.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000061.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000067.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000068.1,0.0,3.631048171,5.2256075289999995,0.0,0.0,0.0,0.0,0.0
AC000068.2,0.0,22.99006043,21.06703444,0.0,0.0,0.0,0.0,0.0
AC000068.3,0.0,38.90640672,36.66142184,0.0,0.0,0.0,0.0,0.0
