gene,dendritic,macrophages,CD4.T.cells,CD8.T.cells,naive.B.cells,NK.cells
CEP152,70.07921170097835,55.50329906925966,79.70899013090798,86.22982837820724,132.56081557552184,76.65700920218512
CEP162,0.2033635797596796,0.6518957315174184,0.5956774528264102,0.7475059649578416,0.8857899901650464,0.9380987964623663
CEP164,46.735392874418274,75.7160269534136,77.07579045974548,65.15773388696437,67.979749181455,59.16055272710405
CEP164P1,0.2928489310194477,0.09531739522726121,1.1557028815506334,1.5213451422529358,4.018132482292694,2.2059614027765244
CEP170,296.38100642930823,169.65051435045888,48.95509106422678,38.54633081531011,89.90750674006402,55.18983559263952
CEP170B,0.08048113368330188,0.05632243632142389,1.3096549566990279,0.7034833166392118,0.1311750901786628,0.8820827887878291
CEP170P1,3.2953835073835926,0.6664705460736409,0.5555801389729829,0.6491025397811542,0.4345508455086972,0.7365423187988533
CEP19,0.18220939578413542,0.22355314996734663,0.34277870907394403,0.09439050372030651,0.31250817909846607,0.10294050535006799
CEP192,17.94513261380394,22.57729579285728,24.933776626265526,24.430456956205553,23.32799636407641,29.51212015682316
CEP250,34.14993482903262,22.19479709168634,79.96998719535375,84.40704290722695,52.26532584836956,110.18646646409681
CEP290,2.7157938670956363,2.8637707831948824,15.638389453269076,15.928864153800674,18.891483718199204,14.367352514019531
CEP295,7.681002396077138,14.650330435590307,26.26700735760675,22.775607272728465,44.104402333257006,15.21630932573292
CEP295NL,1.9490155015326336,4.984817563380705,0.0,0.447790671482272,0.6175007413226241,0.6104400932874916
CEP350,148.8671566357917,105.84014949431844,160.25077880578544,156.12113843074653,160.12268720636118,156.2665336601449
CEP41,2.101460505825339,0.8227025599892176,3.2716727446835296,3.70251187806336,0.11873800985123276,0.9473896995104094
CEP44,5.694407818157589,6.0722148194365735,10.930166622002446,10.064543130309833,9.385576032179118,10.94890837254498
CEP55,0.10284342230748762,0.0,0.4424074706036194,0.3203035717769474,0.23431991731671015,0.23240851705191123
CEP57,38.44080161491675,28.947861899141174,111.33195986353998,91.97850378415795,98.08175083996863,69.35051045618052
CEP57L1,0.9549146696203145,1.6156423452996596,3.9158908986974517,2.0698833508774555,2.673302333288085,3.5241716522535596
CEP57L1P1,0.12793344947578378,0.3139237201772322,0.06819065377240266,0.06587210561483653,0.4388385049001924,0.1445538403409506
CEP63,16.4111881994171,16.419373576847452,9.580538390681092,10.036463264775307,10.687704120410935,9.048223144839612
CEP68,5.192884901299539,4.704066695750627,31.12611794611111,24.131412067954255,36.83946200741781,9.86436873581603
CEP70,2.7154480898879196,0.5906375869808557,12.555617331128648,12.744427124323517,4.043445969322095,9.525969074669314
CEP72,8.234255277617198,0.971081487886694,9.7987259610847,7.504576368978893,5.656618652873646,5.591989343853881
CEP76,4.673454340479264,6.040388407360708,8.130063764206596,11.33505707951241,6.183754200553694,12.435487757624168
CEP78,5.543485506134962,5.7727688047339605,16.308054744179653,48.74854925972693,12.206053952307743,197.09706474260852
CEP83,27.29509257433184,9.057555862648046,18.76134596405357,18.817963145082214,22.01215323313467,29.484102427459128
CEP83-AS1,0.12380988918148422,0.060447051500308505,0.03299636342451472,0.0,0.03506646330306219,0.13989457128319874
CEP85,19.358696836277243,29.38788192203807,7.404741566681914,8.834134498902579,5.434831231345468,11.44539891777782
CEP85L,18.859263474859063,21.419889962763346,134.54725013318205,109.99720140311021,45.24325072189783,57.72888940203493
CEP89,1.3795814562124014,2.870308123429984,1.357519653278395,1.846771968361107,2.16288374150025,2.5271298503062005
CEP95,230.19449891025636,195.82770305026148,595.5986790167943,567.4469816316628,662.6238856255562,437.74136072303503
CEP97,6.855272392479996,2.7237059403253805,13.227949996874782,10.742466010315837,6.836323062711868,12.134208172758484
CEPT1,18.141797770667612,29.771132544188983,42.532910374377835,36.42334623511781,53.57957614281259,25.79669789983492
CER1,0.0,0.0,0.0,0.0,0.0,0.0
CERCAM,0.43075239095775797,0.2528172136553015,0.09160735462115666,0.7133368238460207,0.6868903864574265,9.61695175543951
CERK,184.261844922735,139.44254744718953,222.5037231742846,139.3519881421181,48.703506005889814,92.47928039821954
CERKL,53.844133191393006,46.440873361382366,58.04816920975754,69.31846045024139,40.538590032699545,64.50212093032559
CERS1,0.0,0.0,0.0,0.0,0.0,0.0
CERS2,69.13438424029152,68.67189486149745,45.92669949687301,42.49109692048907,28.215369276917265,65.42582253352157
CERS3,0.0,0.07921308365281289,1.745887432012581,0.3361976425484265,0.0,0.1833254088914696
CERS3-AS1,0.0,0.0,0.4098443864967168,0.0,0.0,0.0
CERS4,1.816186135965145,2.272749855048049,5.419810592975387,5.753307168713219,12.780843900349781,24.697767731359693
CERS5,43.7944595193036,70.22661220294432,73.06645146689655,77.72475047201293,78.35862508858575,65.92748800701317
CERS6,6.560138902305161,6.433800306014312,8.266267436249484,5.992395141057333,3.6720323243152806,4.45693893474598
CERS6-AS1,0.2393272158706725,0.0,0.25663153174959824,0.24795885338408793,0.13556847577301784,0.1352096275760562
CES1,56.81121325717661,10.643960554337031,0.0,0.1200491641858265,0.1320712611313595,18.84359904747174
CES1P1,2.736312484846452,0.5454339247136138,0.0,0.0,0.0,0.39975793973194107
CES1P2,0.0,0.0,0.0,0.0,0.0,0.0
CES2,19.736152678474326,12.288719843733357,30.46665292341668,33.36425957978141,40.45190451669283,19.07022364945975
CES3,1.590053633094887,0.2219191885211956,0.7315876417607465,0.7055415212180095,1.0358504233295496,0.38394949318956334
CES4A,3.5876971479672575,5.124653883920817,5.0756326577069295,3.0619379626819123,1.3475184587811224,2.6170973319924995
CES5A,0.0,0.0,0.0,0.0,0.0,0.0
CES5AP1,0.0,0.0,0.0,0.0,0.0,0.0
CETN1,0.0,0.0,0.0,0.0,0.0,0.0
CETN2,3.640662971196592,5.503604987576815,1.3709414575095613,2.3167648352079606,2.185095538467638,3.8883897599440975
CETN3,1.0554633161480422,1.5975962135280608,3.8131543647222546,3.4816428544954277,2.298036294599841,1.081677024509779
CETN4P,0.0,0.0,0.17462041565190967,0.339423419752455,0.0,0.0
CETP,0.14096153405884196,0.5535465287827758,0.35357571429803913,0.5369753362096641,0.10705625566672411,0.21236594785790408
CFAP100,0.14647099413317463,0.1430215254999326,0.0,0.1508339357120092,0.3337215970568474,0.0
CFAP126,0.0,0.0,0.0,0.0,0.0,0.0
CFAP157,0.0,0.042658396792943955,0.18793197692000518,0.04498856922702559,0.09953766122968187,0.0
CFAP161,0.0,0.13068778754642563,0.14267765680869374,0.27733376959772116,0.1516288524883218,0.0
CFAP20,7.160564481539623,15.190940986250165,30.054222070514584,31.0321171465579,35.760608935504635,41.46398923042918
CFAP206,0.03442708342332823,0.0,0.03670041425492294,0.0,0.0,0.0
CFAP221,0.0,0.0,0.0,0.0,0.0,0.0
CFAP36,5.2720089714451905,4.626020315183081,56.97802707598021,29.73254070758354,13.665993248406403,11.887784440635478
CFAP43,0.05342422544671626,0.052166056762823924,0.05728701097911713,0.08319428640258657,0.09146001222406364,0.06036479917794512
CFAP44,9.808011082339378,6.6813155259240045,65.70961185895405,46.51667526088571,40.85590405800844,25.24119683953621
CFAP44-AS1,0.0,0.0,0.0,0.14623364038866665,0.0,0.0
CFAP45,7.9337931351685915,8.374432492956332,6.343294240097451,4.548374498298184,20.66418087542531,6.025829957357756
CFAP46,0.08700343893478543,1.5369034564402886,0.09274855620674281,0.0,0.19822987258099198,2.0644351140877037
CFAP47,0.0,0.0,0.0,0.0,0.0,0.0
CFAP52,0.0,0.0,0.0,0.0,0.0,0.0
CFAP53,0.29105386836701724,0.20368578476113117,0.7594475878268515,0.301788612381755,0.7115770293209454,0.2813762765539103
CFAP54,0.03581540170182044,0.0,0.038180408209515314,0.0,0.0,0.12140500822163555
CFAP57,0.11496301695591267,0.4512091111392668,0.061277197314191775,0.0,0.06512155700495544,0.0
CFAP58,0.2851234242432593,0.1196181998134541,0.08719631803876896,0.0,0.0,0.04594050337557793
CFAP58-AS1,0.1932680154828986,0.0,0.0,0.0,0.0,0.0
CFAP61,0.0,0.0,0.0,0.0,0.0,0.14253625804053502
CFAP65,0.0,0.0,0.0,0.0,0.0,0.0
CFAP69,0.10318876579975882,0.0,0.2775949287470743,0.3213791376467001,0.11755337699193519,0.5246751042239609
CFAP70,1.08835118721612,0.4844489402035506,7.8113257531200455,7.282533342491333,2.9350262883948095,2.901245671883394
CFAP73,0.3589096144786795,0.0,0.19239931044639078,0.43404096448102575,0.34113677365161643,0.0
CFAP74,0.0,0.0,0.0,0.0,0.0,0.0
CFAP77,0.0,0.0,0.04999815324065336,0.14607250772721433,0.053134897108476464,0.0
CFAP97,19.620352930095965,14.283137148219186,42.22514341211233,31.383837260255724,29.284742452484537,25.677271883913026
CFAP99,0.0,0.06452885174406871,0.0,0.0,0.0,0.0
CFB,0.5027319025519685,1.1815255538474079,1.2955595777911346,1.4585136319761056,0.9165561643366626,0.3399657230783051
CFC1,0.0,0.0,0.0,0.0,0.0,0.0
CFC1B,0.0,0.0,0.0,0.0,0.0,0.0
CFD,17.323266224976795,255.09778622706818,0.5752201916588563,0.6345503687008872,1.1364100539109918,8.986644552325943
CFDP1,15.963955409223065,10.171605620404643,12.514326822672539,11.817033790322014,5.923212649244201,10.998155839815615
