,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10
PARD6A,0.097126073,0.065841266,0.094661861,0.107561596,0.082809064,0.097126073,0.065841266,0.094661861,0.107561596,0.092467654
ENKD1,0.007723499,0.005582918,0.003674277,0.01125326,0.004918684,0.007723499,0.005582918,0.003674277,0.01125326,0.002871365
C16orf86,0.014966747,0.029179459,0.058398956,0.02712,0.027177436,0.014966747,0.029179459,0.058398956,0.02712,0.036468382
GFOD2,0.059770585,0.0455077,0.049861781,0.090386358,0.047331014,0.059770585,0.0455077,0.049861781,0.090386358,0.071466718
RANBP10,0.031408019,0.054154031,0.055728242,0.040020957,0.039934831,0.031408019,0.054154031,0.055728242,0.040020957,0.023919711
CENPT,0.146698778,0.126005039,0.140376891,0.194625726,0.171210904,0.146698778,0.126005039,0.140376891,0.194625726,0.165963215
THAP11,0.297545201,0.189678976,0.218071332,0.319005884,0.249953623,0.297545201,0.189678976,0.218071332,0.319005884,0.287235268
NUTF2,0.842572749,0.915412422,0.845325222,0.840988667,0.861774722,0.842572749,0.915412422,0.845325222,0.840988667,0.874102686
EDC4,0.014189733,0.024100145,0.041407057,0.048539623,0.023542529,0.014189733,0.024100145,0.041407057,0.048539623,0.034778666
NRN1L,0,0.014231026,0,0.017477629,0.023210042,0,0.014231026,0,0.017477629,0
PSKH1,0.050192386,0.020977279,0.04747953,0.049914263,0.086142717,0.050192386,0.020977279,0.04747953,0.049914263,0.04920818
CTRL,0.005477951,0.006189775,0.007294209,0.007352955,0.009764619,0.005477951,0.006189775,0.007294209,0.007352955,0.005700261
CTC-479C5.12,0.240678576,0.226625304,0.25559281,0.267079153,0.261823999,0.240678576,0.226625304,0.25559281,0.267079153,0.19828893
PSMB10,1.849402861,2.042723463,1.789566732,1.926434313,1.990003745,1.849402861,2.042723463,1.789566732,1.926434313,1.666863263
LCAT,0.002584647,0.025957361,0.01548101,0.02277217,0.034513229,0.002584647,0.025957361,0.01548101,0.02277217,0.025703382
SLC12A4,0.02542262,0.047430947,0.029634958,0.027585778,0.030670315,0.02542262,0.047430947,0.029634958,0.027585778,0.007668886
DPEP3,0.004428698,0.007381005,0.005897068,0.005944561,0.007894292,0.004428698,0.007381005,0.005897068,0.005944561,0.006797284
DPEP2,0.33588648,0.514501056,0.443072736,0.359173827,0.525523331,0.33588648,0.514501056,0.443072736,0.359173827,0.402362941
DUS2,0.094894202,0.09694758,0.173041016,0.072877385,0.116578426,0.094894202,0.09694758,0.173041016,0.072877385,0.162497975
DDX28,0.08199933,0.080171172,0.074854201,0.08092504,0.094058532,0.08199933,0.080171172,0.074854201,0.08092504,0.12776514
NFATC3,0.475457655,0.329858815,0.44965011,0.477784063,0.424849761,0.475457655,0.329858815,0.44965011,0.477784063,0.508012756
RP11-96D1.11,0.00284576,0.003215548,0.006742065,0,0,0.00284576,0.003215548,0.006742065,0,0.005268773
PLA2G15,0.028306813,0.070097663,0.039162827,0.051515091,0.056138314,0.028306813,0.070097663,0.039162827,0.051515091,0.042335513
SLC7A6,0.265966006,0.183659083,0.186069701,0.179804749,0.222980119,0.265966006,0.183659083,0.186069701,0.179804749,0.157873183
