Name,CD8.T.cells,CD4.T.cells,NK.cells,B.cells,monocytic.lineage,neutrophils,fibroblasts,endothelial.cells
FLI1,1727.0,1861.0,2125.0,1520.0,1506.0,942.0,161.0,136.0
FLJ00012,1475.3333333333333,1017.3333333333334,1959.0,1345.6666666666667,4113.333333333333,7656.333333333333,1552.3333333333333,288.6666666666667
FLJ00012 ,2926.5,2327.0,2198.5,4164.5,4314.0,8344.0,879.0,187.0
FLJ00332 ,9994.0,5419.0,7778.0,3351.0,1466.0,4822.0,290.0,881.0
FLJ10116,395.5,317.0,262.5,365.0,338.0,302.5,2287.0,1567.0
FLJ10290,1655.0,2061.0,1206.0,923.0,1613.0,1409.0,2090.0,160.0
FLJ10298,56.0,101.0,102.0,340.0,117.0,2613.0,53.0,10.0
FLJ10330,3310.0,2793.0,3015.0,1664.0,2158.0,1485.0,1389.0,261.0
FLJ10357,208.5,185.0,339.5,544.0,1483.5,3409.5,490.5,252.5
FLJ10420,1718.0,1782.0,930.0,1063.0,1768.0,860.0,1813.0,434.0
FLJ10486,1646.6666666666667,1724.0,1280.6666666666667,1159.0,1601.3333333333333,633.6666666666666,1626.3333333333333,354.3333333333333
FLJ10525,379.0,364.0,432.0,314.0,1111.0,1361.0,1615.0,431.0
FLJ10599,830.0,753.0,988.0,505.0,1026.0,523.0,1398.0,119.0
FLJ10702,1241.0,1762.0,1201.0,578.0,3649.0,930.0,15443.0,1281.0
FLJ10795 ,1174.0,1415.0,1311.0,2978.0,3880.0,2764.0,3542.0,561.0
FLJ10874,1399.0,1099.0,1601.0,1574.0,2675.0,919.0,8065.0,909.0
FLJ10998,1231.0,1137.0,1156.0,501.0,1350.0,463.0,1618.0,422.0
FLJ11029,364.0,2095.0,454.0,273.0,1264.0,435.0,164.0,517.0
FLJ11151,373.3333333333333,391.0,294.6666666666667,169.33333333333334,4466.0,10080.333333333334,825.6666666666666,716.0
FLJ11175 ,690.0,730.0,3740.0,1146.0,402.0,2036.0,256.0,76.0
FLJ11663 ,254.0,413.0,94.0,581.0,1470.0,605.0,822.0,1302.0
FLJ12619,5462.0,6145.0,4406.0,3301.0,4542.0,1792.0,4634.0,1653.0
FLJ12643,1914.0,1297.0,3608.0,1223.0,532.0,732.0,544.0,119.0
FLJ12666,1934.6666666666667,1866.0,1214.3333333333333,802.6666666666666,1198.3333333333333,1949.6666666666667,1879.6666666666667,391.0
FLJ12671,1470.0,1156.0,1743.0,1156.0,898.0,1172.0,810.0,80.0
FLJ12835 ,823.0,752.0,4376.0,5683.0,512.0,10086.0,733.0,103.0
FLJ12975,453.0,526.0,1109.0,3568.0,346.0,4914.0,549.0,80.0
FLJ12994 ,2873.0,2430.0,2038.0,1918.0,1989.0,780.0,711.0,187.0
FLJ13052,633.0,714.5,1079.5,882.0,3076.5,6490.5,1807.5,235.0
FLJ13081,1742.0,2715.0,1245.0,418.0,2799.0,1575.0,2013.0,376.0
FLJ13089,640.0,561.5,539.0,678.0,631.5,352.0,579.5,380.0
FLJ13855,6958.0,5478.0,5486.0,2460.0,6402.0,2889.0,14823.0,770.0
FLJ14153,1222.0,1189.0,1288.0,663.0,5109.0,1853.0,2990.0,1068.0
FLJ14281,3321.0,2748.0,3601.0,824.0,2943.0,2096.0,3411.0,511.0
FLJ14803,1596.0,1190.0,937.0,547.0,825.0,188.0,1132.0,125.0
FLJ16025 ,530.0,578.0,395.0,10576.0,373.0,3102.0,2707.0,65.0
FLJ20073 ,1519.0,742.0,2051.0,501.0,1375.0,1593.0,976.0,61.0
FLJ20202,1880.5,1160.5,347.5,1706.0,87.0,463.0,125.5,45.5
FLJ20249,1571.5,994.0,938.5,615.5,708.0,187.5,569.0,210.5
FLJ20273 ,132.0,218.0,372.0,430.0,1461.0,1004.0,3523.0,206.0
FLJ20481,156.33333333333334,281.6666666666667,373.0,473.6666666666667,1389.6666666666667,2410.6666666666665,317.6666666666667,919.6666666666666
FLJ20647,2980.0,3549.0,1205.0,1876.0,1935.0,230.0,835.0,190.0
FLJ20668 ,157.0,228.5,170.0,2714.5,6372.0,450.5,257.5,1006.0
FLJ20686 ,3041.0,1523.0,2917.0,800.0,1847.0,358.0,2653.0,3359.0
FLJ20696,5516.0,2459.0,5176.0,1565.0,4215.0,11741.0,7030.0,324.0
FLJ20701,41.0,45.0,20.0,159.0,1738.0,78.0,3298.0,18.0
FLJ20719,2346.5,2785.5,1979.5,2125.5,4462.5,1774.5,5458.0,485.0
FLJ20847,107.0,136.0,131.0,150.0,808.0,819.0,3512.0,343.0
FLJ21308,2183.0,1188.0,2208.0,781.0,1121.0,2449.0,236.0,176.0
FLJ21308 ,4082.0,1664.0,2864.0,1131.0,1618.0,2667.0,398.0,246.0
FLJ21438,5387.0,4612.0,6982.0,1297.0,2107.0,1618.0,1135.0,138.0
FLJ21924,1780.0,1762.0,2099.0,891.0,5232.0,404.0,3239.0,1658.0
