,B_cell,CD4_Tcell,CD8_Tcell,Neutrophil,Macrophage,Dendritic
ENO1,360.0,76.0,337.0,248.0,1510.0,1145.0
ENTPD1,122.0,18.0,80.0,501.5,59.0,427.0
EOMES,132.0,227.0,2347.0,113.0,89.0,95.0
EPB41,848.0,2104.0,428.0,2592.0,384.0,599.0
EPC1,231.0,1425.0,346.0,168.0,132.0,76.0
EREG,94.0,22.0,10.0,52.0,999.0,33.0
ERI1,84.5,306.0,68.5,68.5,148.0,613.5
ERICH1,125.0,238.0,151.0,1220.0,314.0,508.0
ERN1,157.0,38.0,336.0,345.0,195.0,122.0
ERO1L,105.0,3486.0,306.0,1133.0,1063.0,823.0
ETV6,161.0,578.0,123.0,506.0,338.0,889.0
EVI2A,83.0,476.0,426.0,1585.0,1002.0,886.0
EVI2B,531.0,316.0,320.0,2881.0,507.0,266.0
EVL,506.0,1136.0,587.0,133.0,221.0,2398.0
EXOSC3,45.0,973.0,118.0,58.5,274.5,129.5
EZR,784.0,59.0,281.0,119.0,93.0,129.0
FABP5,70.0,20.0,163.0,119.0,1118.0,2023.0
FAIM3,1791.0,891.5,800.0,358.0,153.0,57.0
FAM101B,256.5,1472.5,1530.5,4270.5,513.0,193.0
FAM113B,176.0,398.0,1008.0,158.0,179.0,237.0
FAM119A,293.0,165.0,91.0,249.0,404.0,404.0
FAM129A,29.0,558.0,261.0,3879.0,2066.0,528.0
FAM129C,2246.0,255.0,180.0,394.0,244.0,197.0
FAM26F,1200.0,1273.0,320.5,1017.0,228.5,113.5
FAM46C,559.0,574.5,907.0,99.0,51.0,45.5
FAM49A,137.0,114.0,130.0,382.0,400.0,227.0
FAM49B,451.0,673.0,211.0,842.0,1012.0,856.0
FAM53C,159.0,43.0,99.0,1739.0,147.0,125.0
FAM54A,160.0,749.0,54.0,191.0,108.0,123.0
FAM55C,186.0,323.0,105.0,210.0,166.0,174.0
FAM65B,891.5,705.5,369.5,2678.0,134.0,31.5
FANCD2,168.0,1049.0,142.0,99.0,173.0,202.0
FAS,119.0,169.0,145.0,712.0,111.0,246.0
FASLG,153.0,26.0,60.0,133.5,76.0,29.0
FBXO18,278.0,343.0,196.0,120.0,65.0,314.0
FBXO33,230.0,506.0,526.0,904.0,169.0,595.0
FBXO5,42.0,2005.0,144.0,33.0,112.0,182.0
FBXO6,116.0,707.0,349.0,282.0,417.0,924.0
FCAR,108.0,33.0,9.0,404.0,1616.0,31.0
FCER1A,36.0,333.0,35.0,117.0,56.0,3694.0
FCGR2A,96.0,147.0,18.0,3843.0,902.0,604.0
FCGR2B,373.0,17.0,76.0,259.0,475.0,708.0
FCGR2C,219.5,30.0,47.0,2270.0,971.5,747.0
FCGR3B,166.0,357.0,247.0,9164.0,75.0,77.0
FCN1,69.0,348.0,22.0,2058.0,1867.0,34.0
FCRL1,1878.5,102.0,135.5,122.0,67.5,48.0
FCRL2,599.0,14.0,69.0,100.0,36.0,26.0
FCRL3,5613.0,847.0,2663.0,118.0,128.0,110.0
FCRL5,2066.0,117.66666666666667,111.66666666666667,186.33333333333334,173.66666666666666,99.33333333333333
FCRLA,615.6666666666666,92.0,87.66666666666667,90.66666666666667,115.0,52.333333333333336
FDX1,60.0,128.0,73.0,48.0,132.0,369.0
FEN1,90.5,71.5,134.5,96.0,108.5,80.5
FERMT3,247.0,1868.0,311.0,2301.0,4059.0,1141.0
FFAR2,8.0,7.0,4.0,2014.0,34.0,13.0
FGD3,439.0,2763.0,958.0,4582.0,721.0,228.0
FGFBP2,65.0,886.0,4796.0,147.0,51.0,34.0
FGL2,114.5,585.5,844.0,4233.0,1114.0,3926.5
FGR,355.0,455.0,372.0,1743.0,882.0,1075.0
FIGNL1,178.0,2690.0,134.0,227.0,583.0,21.0
FKBP11,61.0,249.0,241.0,34.0,32.0,21.0
FLI1,593.0,418.0,228.0,217.0,91.0,136.0
FLJ10357,154.0,19.0,38.5,787.0,200.5,252.5
FLJ32255,155.0,1185.0,503.0,316.0,153.0,102.0
FLOT2,273.0,77.0,357.0,2252.0,283.0,380.0
FLVCR2,59.0,67.0,38.0,43.0,218.0,187.0
FMNL1,164.0,619.0,271.0,1994.0,311.0,322.0
FMNL2,139.0,292.0,57.0,97.0,523.0,737.0
FNBP1,325.0,224.0,221.0,622.0,556.0,302.0
FNDC3B,144.5,96.75,87.25,629.0,1192.5,754.0
FNIP1,205.0,190.0,187.0,1050.0,765.0,284.0
FOXN2,417.0,1255.0,1241.0,1168.0,1440.0,410.0
FPR1,94.0,98.0,73.0,5624.0,1602.0,102.0
FPR2,128.0,20.5,28.5,2065.5,616.0,85.5
FPR3,157.0,71.0,63.5,280.0,939.0,3794.5
FRAT1,143.0,18.0,126.0,497.0,104.0,38.0
FRAT2,103.0,68.0,79.0,1849.0,170.0,94.0
FSCN1,8.5,15.0,18.0,58.0,101.5,393.5
FSD1L,93.0,62.0,44.5,69.5,1022.5,56.5
FXYD5,1108.0,186.0,385.0,527.0,566.0,1290.0
FYB,42.0,1114.0,354.0,2406.0,248.0,544.75
FYN,261.0,746.0,214.0,313.0,126.0,95.0
G2E3,250.0,359.0,174.0,356.0,555.0,416.0
G6PD,74.0,87.0,125.0,666.0,522.0,1146.0
GAS2L3,34.0,34.0,22.5,51.0,295.5,585.0
GBP1,60.5,130.0,222.0,492.0,710.0,136.0
GBP5,113.5,3008.5,797.0,901.5,256.0,89.0
GCA,96.0,32.0,29.0,3046.0,477.0,214.0
GGNBP2,532.0,396.0,1095.0,1142.0,976.0,287.0
GGTA1,162.0,97.0,71.0,129.0,170.0,5858.0
GIMAP2,121.0,2422.0,1897.0,709.0,205.0,250.0
GIMAP4,134.0,221.0,801.0,822.0,80.0,153.0
GIMAP5,197.0,731.0,418.0,398.0,149.0,200.0
GIMAP6,100.0,168.5,1129.0,218.5,128.0,146.5
GIMAP7,13.0,954.0,910.0,449.0,150.0,228.0
GJB2,176.0,174.0,6.0,86.0,3649.0,363.0
GLA,108.0,67.0,53.0,137.0,2214.0,402.0
GLCCI1,359.3333333333333,296.0,700.0,392.0,111.66666666666667,88.66666666666667
GLIPR1,417.25,253.5,466.25,1303.5,657.75,1099.25
GLIPR2,102.0,595.0,825.0,6572.0,3250.0,3072.0
GLIS3,237.0,281.0,139.0,394.0,1604.0,282.0
GLS,187.0,2028.0,305.0,259.0,632.0,310.0
GLT1D1,24.0,88.0,4.0,4635.0,267.0,27.0
GLT25D1,270.0,127.0,149.0,124.0,434.0,839.0
GM2A,100.66666666666667,55.833333333333336,46.333333333333336,130.83333333333334,1097.1666666666667,3565.6666666666665
GMFB,79.0,29.0,27.0,103.0,345.0,219.0
GMFG,302.0,61.0,754.0,3701.0,394.0,387.0
GMIP,152.0,149.0,59.0,831.0,393.0,140.0
GMPPB,77.0,54.0,23.0,41.0,224.0,92.0
GNB4,125.0,235.0,40.0,393.0,644.0,439.0
GNG2,407.0,1097.5,1489.5,1396.5,459.0,57.0
GNG7,166.0,9.0,39.0,230.0,29.0,61.0
GNLY,110.5,3877.0,2464.5,227.5,27.0,15.5
GNOGENE15,116.0,85.0,35.0,93.0,845.0,223.0
GNOGENES,376.0,623.0,780.0,370.0,465.0,313.0
GNPTAB,172.0,192.0,135.0,51.0,255.0,141.0
GNS,115.5,178.0,105.5,166.5,671.5,599.0
GPATCH4,167.0,109.0,323.5,79.0,185.0,210.5
GPR109B,129.0,180.0,56.0,5100.0,1206.0,778.0
GPR114,150.0,204.0,306.0,196.0,172.0,67.0
GPR132,185.0,180.0,448.0,378.0,725.0,208.0
GPR15,169.0,26.0,22.0,73.0,37.0,43.0
GPR157,110.0,358.0,51.0,348.0,330.0,154.0
GPR171,76.0,90.0,88.0,67.0,20.0,47.0
GPR18,836.0,202.0,392.0,123.0,36.0,20.0
GPR183,241.0,630.0,154.0,147.0,654.0,356.0
GPR65,140.0,516.0,115.0,404.0,133.0,320.0
GPR68,288.0,310.0,409.0,221.0,1982.0,1554.0
GPR84,37.0,40.0,135.0,136.0,3949.0,139.0
GPRC5D,280.0,31.0,117.0,339.0,85.0,62.0
GPSM3,584.0,310.0,245.0,2363.0,639.0,287.0
GRAMD1A,227.0,306.0,586.0,1038.0,1435.0,154.0
GRB2,1274.0,657.0,653.0,3071.0,1224.5,596.5
GRINOGENE,154.0,16.0,74.0,310.0,737.0,570.0
GRSF1,117.0,83.5,122.0,68.0,115.5,330.5
GSN,16.0,6.0,3.0,124.0,177.0,2747.0
GSPT1,249.0,307.0,161.0,97.0,199.0,328.0
GTF2A1,142.0,1547.0,551.0,701.0,1719.0,290.0
GTPBP3,379.0,163.0,74.0,1616.0,224.0,148.0
GTPBP4,132.5,38.0,54.0,81.0,166.0,104.0
GZMA,126.0,1693.0,1059.0,127.0,39.0,37.0
GZMB,79.0,1294.0,1154.0,77.0,105.0,13.0
GZMH,11.0,3271.0,2609.0,25.0,12.0,9.0
GZMK,168.0,1280.0,612.0,113.0,47.0,38.0
GZMM,58.0,261.0,366.0,134.0,79.0,19.0
H2AFX,75.0,131.0,96.0,156.0,123.0,111.0
H2AFY,148.0,603.0,230.0,540.0,1564.0,566.0
H2AFZ,307.0,637.0,756.0,714.0,823.0,666.0
H6PD,321.0,272.0,376.0,382.0,412.0,1322.0
HAUS1,188.0,1429.0,388.0,75.0,266.0,220.0
HAUS5,994.0,393.0,150.0,734.0,132.0,82.0
HAUS6,139.0,373.0,168.0,148.0,145.0,183.0
HAVCR2,13.0,2361.0,118.0,19.0,1514.0,2918.0
HBEGF,52.0,27.0,11.0,36.0,1532.5,342.5
HCK,176.0,542.0,41.0,4812.0,1759.0,1032.0
HCLS1,750.0,834.0,571.0,4279.0,1011.0,643.0
HCST,92.0,1334.0,3541.0,791.0,1036.0,3548.0
HDGFRP3,225.0,459.0,85.0,162.0,152.0,66.0
HECA,564.0,447.0,377.0,1434.0,434.0,828.0
HELLS,114.5,575.5,93.5,205.5,84.5,50.5
HERC5,208.0,57.0,54.0,315.0,216.0,70.0
HERPUD2,284.0,560.0,1077.0,1297.0,916.0,422.0
HIPK1,53.0,365.0,176.0,427.0,297.0,113.0
HIPK2,246.0,433.0,73.0,658.0,1931.0,720.0
HK3,11.0,189.0,6.0,496.0,460.0,900.0
HLA-DOB,950.0,39.0,64.0,27.0,74.0,32.0
HLA-DPA1,374.0,239.0,140.0,129.0,83.0,2830.0
HLA-DQA1,937.0,125.0,59.0,104.0,168.0,3211.0
HLA-DQB1,861.0,92.0,51.0,92.0,92.0,2789.0
HLA-G,1777.0,536.0,3185.0,7452.0,4843.0,1354.0
HLX,107.0,10.0,45.0,693.0,642.0,434.0
HMG20B,104.0,74.0,112.0,115.0,284.0,303.0
HMGB1,817.0,461.0,367.0,780.0,327.0,290.0
HMGB2,1016.0,152.0,614.0,1618.0,286.0,369.0
HMHA1,757.0,257.0,1006.0,1494.0,459.0,707.0
HMMR,31.0,6.0,65.0,73.0,20.0,32.0
HMOX1,207.0,188.0,40.0,225.0,704.0,1853.0
HNRNPC,473.0,4398.0,611.0,2925.0,804.0,624.0
HNRNPD,530.0,3337.0,969.0,1201.0,1222.0,568.0
HNRNPR,443.0,226.0,614.0,244.0,693.0,706.0
HNRPLL,85.0,1649.0,296.0,201.0,550.0,720.0
HPSE,166.0,123.0,40.0,410.0,1742.0,39.0
HS3ST3B1,53.0,169.0,233.0,111.0,3367.0,116.0
HSP90B1,190.66666666666666,127.33333333333333,265.0,96.0,716.3333333333334,659.3333333333334
HSPA13,135.0,80.0,116.0,84.0,316.0,118.0
HSPA6,122.0,180.5,48.5,1780.5,155.5,182.5
HVCN1,2388.0,419.0,555.0,2368.0,272.0,2453.0
ICAM2,325.0,464.0,358.0,114.0,64.0,35.0
ICAM3,390.0,656.0,882.0,3754.0,191.0,346.0
ICOS,9.0,41.0,50.0,12.0,5.0,4.0
ICOSLG,303.0,13.0,43.0,38.0,649.0,434.0
IDO1,188.0,111.0,86.0,313.0,4708.0,59.0
IDS,154.0,454.0,158.0,1223.0,226.0,116.0
IER3,126.0,35.0,52.0,527.0,11370.0,1280.0
IER5,656.0,1077.0,631.0,547.0,1943.0,411.0
IFI16,465.0,122.0,252.0,1512.0,976.0,543.0
IFI35,34.0,47.0,96.0,119.0,207.0,100.0
IFI44,84.0,133.0,101.0,64.0,319.0,129.0
IFI44L,74.0,26.0,90.0,51.0,77.0,20.0
IFI6,48.0,88.0,195.0,59.0,767.0,104.0
IFIH1,127.0,38.0,45.0,148.0,183.0,104.0
IFIT1,11.0,51.0,67.0,458.0,348.0,267.0
IFIT2,106.5,1228.5,85.5,1809.5,628.0,257.0
IFIT3,148.0,1508.0,74.5,2346.5,1339.0,773.5
IFNG,103.0,51.0,38.0,137.0,36.0,36.0
IFNGR1,128.0,240.0,405.0,976.0,272.0,539.0
IFNOGENER2,97.0,62.0,132.0,483.0,106.0,513.0
IGF2R,183.5,200.5,195.0,1932.0,718.0,444.5
IGL@,222.0,63.0,448.0,62.0,111.0,59.0
IGSF6,56.0,13.0,35.0,2258.0,1384.0,819.0
IKBIP,46.0,847.0,85.0,1191.0,106.0,132.0
IKZF1,617.0,789.3333333333334,802.3333333333334,1031.0,363.3333333333333,315.3333333333333
IKZF2,75.0,296.0,583.0,29.0,11.0,71.0
IL10RA,204.0,1067.0,382.0,133.0,630.0,1055.0
IL12B,104.0,13.0,9.0,123.0,1763.0,46.0
IL13RA1,141.0,47.5,45.0,390.5,391.5,817.5
IL15,105.0,171.0,23.0,137.0,584.0,32.0
IL16,167.0,596.0,329.0,643.0,175.0,143.0
IL17F,135.0,93.0,90.0,122.0,77.0,66.0
IL17RA,211.0,436.0,120.0,997.0,507.0,458.0
IL18RAP,65.0,282.0,148.0,828.0,27.0,36.0
IL19,171.0,122.0,86.0,277.0,3294.0,55.0
IL1A,179.0,51.0,51.0,194.0,4737.0,56.0
IL1B,342.5,66.0,68.5,873.0,25929.5,151.0
IL1F9,111.0,26.0,34.0,69.0,2589.0,28.0
IL1RN,116.0,34.333333333333336,57.666666666666664,599.0,4648.0,2151.3333333333335
IL22,50.0,175.0,21.0,94.0,86.0,45.0
IL23A,136.0,66.0,51.0,93.0,1246.0,47.0
IL24,134.0,36.0,23.0,81.0,2292.0,12.0
IL27RA,84.0,169.5,192.5,67.5,127.5,443.0
IL2RA,77.5,45.0,23.5,98.0,470.5,40.0
IL2RB,354.0,1398.0,844.0,500.0,73.0,79.0
IL2RG,946.0,345.0,560.0,1778.0,933.0,441.0
IL32,5.0,981.0,1485.0,153.0,12.0,5.0
IL3RA,20.0,7.0,5.0,68.0,1365.0,17.0
IL4R,1841.0,443.0,115.0,624.0,344.0,126.0
IL6,227.0,6.0,21.0,109.0,4773.0,51.0
IL6R,130.0,519.0,291.5,2555.5,2153.0,313.0
IL7R,147.0,1002.0,2022.0,1133.0,1789.0,846.0
IL8,149.0,249.5,36.5,4869.0,35515.5,333.5
IL9,136.0,41.0,31.0,52.0,32.0,40.0
ILF2,271.0,4541.0,454.0,140.0,963.0,409.0
INHBA,14.0,10.0,3.0,7.0,3953.0,60.0
INPP5D,566.0,325.0,346.0,1024.0,148.0,580.0
IQGAP1,241.5,224.5,411.5,2187.0,916.0,548.0
IRAK2,174.0,371.0,103.0,162.0,2168.0,88.0
IRF1,616.0,907.0,1504.0,1578.0,544.0,120.0
IRF2,355.0,258.0,282.0,504.0,233.0,559.0
IRF4,159.0,106.0,163.0,207.0,130.0,381.0
IRF5,124.0,273.0,157.0,157.0,618.0,2234.5
IRF7,198.0,132.0,121.0,385.0,581.0,97.0
IRF8,2225.0,177.0,229.0,90.0,348.0,936.0
IRG1,208.0,344.0,197.0,273.0,4922.0,127.0
ISG20,624.5,407.0,518.0,1462.0,556.0,19.0
ISG20L2,169.0,193.0,211.0,365.0,94.0,80.0
ISY1,154.0,153.0,114.0,956.0,334.0,194.0
ITGA4,384.3333333333333,323.0,267.6666666666667,150.66666666666666,80.66666666666667,48.666666666666664
ITGAL,82.0,1154.0,1035.0,434.0,175.0,111.0
ITGAM,66.0,694.0,516.0,1136.0,1039.0,1813.0
ITGAX,49.0,147.0,19.0,690.0,802.0,864.0
ITGB2,386.0,2116.0,881.0,3655.0,1843.0,1486.0
ITGB7,205.0,262.0,151.0,91.0,55.0,41.0
ITGB8,126.0,32.0,27.0,60.0,2182.0,220.0
ITK,215.0,2071.0,484.0,191.0,135.0,35.0
ITPKB,230.0,5099.0,733.0,201.0,77.0,314.0
ITPRIPL2,139.5,92.5,68.0,119.0,1422.5,466.0
IVNS1ABP,75.0,121.5,111.5,458.5,832.0,714.5
JAK1,505.0,240.0,263.0,1266.0,435.5,229.0
JAK3,679.0,1014.0,1337.0,1696.0,643.0,206.0
JMJD1C,435.0,98.0,287.0,4153.0,586.0,139.0
JUN,438.0,144.0,606.0,30.0,1176.0,138.0
KBTBD2,311.0,343.0,664.0,875.0,351.0,233.0
KBTBD8,122.0,71.0,64.0,126.0,1798.0,482.0
KCNJ2,179.5,72.0,33.5,2074.5,1482.0,284.0
KCNK6,110.0,72.0,65.0,205.0,262.0,511.0
KCTD12,79.0,48.0,87.0,336.0,828.0,932.0
KCTD20,223.0,810.0,440.0,646.0,670.0,403.0
KDM2B,711.0,525.0,1027.0,235.0,672.0,1579.0
KDM4B,391.0,223.0,169.0,1291.0,166.0,205.0
KDM5A,187.0,78.0,118.0,741.0,435.0,211.0
KDM5D,428.0,1237.0,102.0,426.0,301.0,693.0
KDM6B,182.5,94.5,195.0,1996.0,1414.5,215.0
KIAA0101,210.0,33.0,468.0,106.0,46.0,126.0
KIAA0125,377.0,13.0,57.0,269.0,55.0,58.0
KIAA1033,766.0,15.0,144.0,939.0,463.0,561.0
KIAA1949,632.0,3092.0,4035.0,12696.0,5010.0,1598.0
KIAA2018,373.0,346.0,319.0,485.0,773.0,153.0
KIF14,102.0,693.0,57.0,142.0,122.0,62.0
KIF2A,94.0,253.0,219.0,65.0,68.0,129.0
KIF2C,203.0,18.0,51.0,338.0,39.0,60.0
KIR2DL2,145.0,167.0,115.0,25.0,9.0,18.0
KIR2DL3,238.0,197.0,170.0,74.0,114.0,41.0
KIR2DL4,152.0,64.0,68.0,133.0,94.0,13.0
KIR2DL5A,141.0,164.0,147.0,73.0,33.0,53.0
KIR2DS1,103.0,264.0,145.0,143.0,68.0,64.0
KIR2DS2,13.0,164.0,120.0,9.0,13.0,2.0
KIR2DS5,41.0,247.0,147.0,34.0,18.0,17.0
KIR3DL1,221.0,188.0,174.0,248.0,37.0,21.0
KIR3DL3,49.0,223.0,111.0,33.0,42.0,42.0
KIR3DS1,88.0,118.0,90.0,103.0,32.0,33.0
KLF12,33.0,512.0,587.0,44.0,229.0,9.0
KLF6,528.0,1478.5,208.5,1009.5,328.5,171.0
KLHL14,311.0,63.0,132.0,102.0,84.0,51.0
KLHL28,126.0,288.0,158.0,86.0,697.0,201.0
KLHL6,95.0,1785.0,118.0,183.0,497.0,526.0
KLRB1,141.0,2644.0,2448.0,239.0,47.0,47.0
KLRD1,117.0,659.5,1580.0,124.0,43.0,37.5
KLRF1,76.0,1209.0,972.0,89.0,26.0,31.0
KLRG1,297.0,690.0,649.0,218.0,68.0,12.0
KLRK1,332.0,1361.0,686.0,84.0,58.0,62.0
KPNB1,332.3333333333333,848.3333333333334,818.0,1715.0,913.3333333333334,605.6666666666666
KPNOGENE2,134.5,260.0,156.5,60.5,291.5,290.0
KRAS,144.0,201.0,398.0,1112.0,640.0,389.0
KRT23,126.0,24.0,34.0,2275.0,32.0,28.0
KTELC1,99.0,105.5,194.5,174.0,86.5,238.0
KYNU,145.0,44.0,53.0,177.66666666666666,2526.0,636.6666666666666
L3MBTL4,139.0,117.0,33.0,144.0,130.0,72.0
LACTB,273.0,1816.0,252.0,481.0,2193.0,2427.0
LAG3,136.0,162.0,155.0,38.0,71.0,40.0
LAMP1,200.0,57.0,215.0,397.0,958.0,3044.0
LAPTM5,4303.0,2113.0,364.0,4456.0,1971.0,2537.0
LASS6,110.0,286.0,59.0,94.0,304.0,171.0
LAT2,611.0,171.0,132.0,2243.0,609.0,177.0
LCK,109.0,781.5,998.5,265.0,110.5,52.0
LCP1,825.0,1649.0,1250.0,4580.0,2406.0,2266.0
LCP2,99.33333333333333,269.3333333333333,125.66666666666667,734.3333333333334,484.6666666666667,177.0
LDLRAP1,94.0,958.5,607.0,190.0,139.5,237.0
LEF1,141.0,3218.0,1341.0,117.0,36.0,69.0
LEPROTL1,209.0,740.0,1111.0,350.0,95.0,137.0
LFNG,83.0,317.0,747.0,858.0,531.0,341.0
LIF,24.0,13.0,4.0,18.0,201.0,5.0
LILRA1,93.0,224.0,7.0,638.0,284.0,31.0
LILRA2,97.0,162.0,48.0,3162.6666666666665,517.0,298.3333333333333
LILRA6,110.0,232.0,75.0,1953.0,451.0,325.0
LILRB1,246.0,271.5,371.5,181.0,2188.5,450.0
LILRB2,85.5,368.5,60.5,1992.0,845.5,202.0
LILRB3,16.0,153.0,13.0,2122.0,532.0,181.0
LIMS1,162.0,452.5,278.5,301.5,1142.5,969.5
LITAF,348.0,368.0,504.0,3618.0,974.0,815.0
LNPEP,414.0,141.0,841.0,606.0,555.0,557.0
LOC100131993,135.0,197.0,83.0,606.0,412.0,3087.0
LOC100132999,1337.0,4630.0,2600.0,831.0,391.0,541.0
LOC100190986,565.0,576.0,589.0,112.0,1084.0,669.0
LOC100288387,319.0,95.0,169.0,126.0,178.0,131.0
LOC150166,181.5,1413.0,558.5,5039.5,2077.5,2822.0
LOC154092,13.0,2.0,9.0,14.0,32.0,829.0
LOC283663,3393.0,117.5,124.0,201.5,913.5,252.0
LOC285628,23.0,36.0,54.0,39.0,1220.0,276.0
LOC285957,109.0,628.0,115.0,52.0,154.0,28.0
LOC338758,433.0,582.0,213.0,2637.0,3404.0,604.0
LOC344887,306.0,112.0,94.0,174.0,551.0,559.0
LOC374443,404.0,611.5,1038.0,257.0,3398.0,246.0
LOC439949,263.0,828.0,541.0,164.0,173.0,40.0
LOC440934,43.0,60.0,56.0,136.0,905.0,69.0
LOC595101,279.0,242.0,187.0,255.0,224.0,221.0
LOC641298,295.0,272.0,170.0,395.0,422.0,286.0
LOC645638,64.0,3.0,33.0,42.0,615.0,1939.0
LOC645744,135.0,260.0,305.0,132.0,110.0,105.0
LOC728855,192.5,776.5,1480.5,493.0,399.0,299.5
LPCAT2,131.66666666666666,131.33333333333334,86.33333333333333,900.6666666666666,108.66666666666667,919.6666666666666
LPXN,166.0,100.0,275.0,229.0,1530.0,1460.0
LRCH4,365.0,399.0,669.0,950.0,651.0,273.0
LRMP,407.0,21.0,108.0,1054.0,52.0,185.0
LRP10,162.0,157.0,95.0,1997.0,430.0,118.0
LRRC8C,143.0,297.5,425.5,159.5,624.0,883.5
LRRFIP1,407.75,937.75,388.0,2309.0,960.25,1219.25
LRRN3,144.0,406.0,543.0,88.0,8.0,32.0
LSP1,320.0,725.0,467.0,3191.0,385.0,1523.0
LST1,112.66666666666667,838.6666666666666,187.16666666666666,4434.5,431.6666666666667,774.1666666666666
LTA,13.0,17.0,55.0,14.0,20.0,6.0
LTB,1695.0,1174.0,3123.0,1578.0,90.0,57.0
LTB4R,83.0,248.0,141.0,1737.0,640.0,167.0
LUC7L2,120.0,684.0,204.0,66.0,293.0,426.0
LY75,295.0,304.0,207.0,606.0,55.0,108.0
LY9,517.0,1652.0,986.0,311.0,141.0,811.0
LY96,55.0,62.0,70.0,1049.0,351.0,452.0
LYAR,76.0,438.0,786.0,177.0,259.0,218.0
LYN,644.0,933.0,201.0,2644.6666666666665,1541.6666666666667,528.6666666666666
LYST,254.5,112.5,123.0,2082.5,669.5,138.0
LZTFL1,23.0,306.0,154.0,144.0,147.0,149.0
M6PR,213.0,159.0,164.0,243.0,961.0,856.0
MAD2L1,105.0,30.0,162.0,89.0,32.0,26.0
MAF,56.0,262.0,88.0,60.0,143.0,378.0
MAFB,80.0,799.0,180.0,170.5,4034.5,3706.0
MAFF,81.0,318.0,400.0,64.0,1795.0,1381.0
MALAT1,3600.8888888888887,4476.0,2251.222222222222,4274.888888888889,6814.111111111111,2757.4444444444443
MAN1A1,133.0,4.0,86.0,198.0,60.0,127.0
MAN2A1,275.0,202.0,234.0,195.0,93.0,481.0
MANEA,129.0,212.0,124.0,59.0,110.0,165.0
MANSC1,127.0,51.0,2.0,662.0,72.0,10.0
MAP3K13,190.0,399.0,114.0,97.0,391.0,640.0
MAP3K4,165.5,134.5,147.5,57.5,1162.5,485.0
MAP3K8,371.0,150.0,237.0,1259.0,1212.0,184.0
MAP4K1,161.0,706.0,314.0,27.0,7.0,49.0
MAPKAP1,206.0,130.0,129.0,136.0,205.0,320.0
MARCH1,583.5,147.5,43.5,150.0,241.0,1006.0
MARCH7,401.0,131.0,334.0,855.0,195.0,195.0
MARCKS,172.0,63.333333333333336,30.0,836.0,1320.0,316.3333333333333
MBD2,524.0,551.0,248.0,799.0,529.0,332.0
MBD4,1016.0,374.0,195.0,1221.0,1374.0,683.0
MBD6,106.0,221.0,320.0,3165.0,681.0,541.0
MBNL1,1103.5,1463.0,547.5,1371.5,413.0,734.5
MBOAT7,29.0,175.0,52.0,2343.0,348.0,162.0
MBP,239.0,837.5,1545.5,3184.5,899.5,842.5
MCL1,182.0,63.5,88.5,451.5,275.0,55.5
MCM10,121.0,387.0,23.0,80.0,31.0,38.0
MCM2,182.0,103.0,91.0,221.0,79.0,37.0
MCM5,277.0,165.0,101.0,252.0,146.0,155.0
MCM6,57.0,58.0,294.0,70.0,66.0,107.0
MCM7,220.5,132.0,83.0,164.0,71.5,86.5
MCOLN2,325.0,278.0,574.0,113.0,2433.0,477.0
MCTP2,245.0,97.0,83.0,975.0,69.0,68.0
MDM2,54.0,750.0,140.0,514.0,581.0,668.0
MED23,241.0,107.0,292.0,142.0,356.0,127.0
MED30,200.0,410.0,332.0,684.0,477.0,194.0
MEFV,562.0,74.0,50.0,1213.0,123.0,49.0
MEGF9,118.0,125.0,117.0,2228.0,843.0,271.0
MEI1,140.0,711.0,359.0,155.0,1447.0,148.0
MELK,74.0,46.0,59.0,88.0,49.0,21.0
MEX3C,422.0,66.0,267.0,55.0,70.0,27.0
MFNG,158.0,45.0,418.0,344.0,133.0,423.0
MFSD1,494.0,208.0,55.0,1030.0,719.0,1068.0
MGAT2,112.5,87.0,217.5,102.5,392.0,244.0
MGC29506,118.0,148.0,345.0,38.0,10.0,24.0
MGC39372,282.0,322.0,381.0,258.0,1090.0,62.0
MGEA5,533.0,619.0,277.0,282.0,166.0,56.0
MIF4GD,276.0,678.0,457.0,254.0,237.0,913.0
MIR155HG,129.0,2803.0,86.0,76.0,4130.0,122.0
MITD1,137.0,2110.0,613.0,279.0,573.0,245.0
MKI67,184.0,54.0,26.0,198.0,71.0,52.0
MKI67IP,158.5,644.0,350.5,110.0,346.5,365.5
MLEC,54.0,47.0,57.0,137.0,248.0,479.0
MLF1IP,92.0,40.0,17.0,36.0,92.0,56.0
MLL3,227.0,235.0,831.0,1326.0,837.0,437.0
MMP1,59.0,15.0,1.0,33.0,1777.0,14.0
MMP12,202.0,25.0,29.0,243.0,79.0,6452.0
MMP14,51.5,4.5,8.0,42.5,1117.0,133.0
MMP19,16.0,9.0,5.0,27.0,1079.0,416.0
MMP25,94.0,57.0,39.0,1963.0,62.0,325.0
MMP9,167.0,24.0,71.0,2007.0,7656.0,5003.0
MNDA,83.0,103.0,78.0,7689.0,1056.0,572.0
MOBKL1A,105.0,56.0,98.0,75.0,823.0,457.0
MOBKL1B,264.5,179.5,56.0,460.0,577.5,199.0
MOBKL2A,514.0,2609.0,681.0,6970.0,2149.0,675.0
MPEG1,720.5,1019.0,304.0,4858.5,1833.0,3761.5
MPPE1,289.6666666666667,124.66666666666667,125.33333333333333,932.6666666666666,51.666666666666664,95.66666666666667
