,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
FAM193B,19.16324217,12.09291716,36.79644065,32.72792411,30.11595527,21.69372853,18.45448676,44.0740279,34.6333461,20.53639049,18.43394035,21.3692513
TMED9,160.4851567,209.235,211.8603147,232.3242414,219.8389349,220.0464223,144.7497517,145.8406988,192.7563272,153.6671527,159.7635651,175.3562436
B4GALT7,8.974887947,19.58064944,23.97888951,15.9614539,15.53694711,15.1386375,19.62952404,25.05705027,13.19620418,19.96407959,16.82639614,14.72603515
RP11-1277A3.1,3.639187102,2.137216161,7.894418569,4.506995129,5.135149716,4.863094799,7.400861249,9.115216884,7.806142746,5.659962724,3.632340239,3.25857474
RP11-1277A3.2,3.385693455,5.437046673,11.7072776,5.859113588,15.42746242,8.595725989,26.64978205,20.50749122,25.92889764,20.25092597,11.80691246,7.729955282
FAM153A,1.889407392,8.029004616,10.41836813,5.795432559,17.29132766,8.282128991,4.588495034,4.462774739,3.104619165,16.42994536,9.271680907,23.33528119
RP11-423H2.1,58.10452202,44.5517134,36.24621046,40.7009171,50.69905298,50.12947672,43.08523759,28.99393486,57.07648414,52.13149895,41.09277093,43.02759837
RP11-423H2.3,17.67802617,7.096813726,15.73305095,13.89530358,21.07310065,12.72731633,14.19974527,9.652709595,8.646141383,3.738728659,10.63199972,14.81454903
FAM153C,2.721656817,3.397414023,0.999435708,2.568171924,5.965231056,1.15514116,5.656368928,0.726032112,1.377103375,6.895586469,6.064630834,4.517954314
N4BP3,0.28529291,0.336748558,0.467730468,0.800100877,0.304706127,0.976218349,0.873553907,0.928144417,0.856054454,0.479956903,0.189468524,0.185283555
RMND5B,17.63865518,20.04772361,20.24303949,18.14018528,32.46454644,22.05387148,19.79748579,28.16955929,23.68649915,19.89511255,14.01392463,21.88757732
NHP2,52.70705253,50.15619992,51.83806785,45.86837157,50.11915329,35.85652692,31.69786251,48.26005153,48.81387779,30.48142827,38.00776064,39.50120875
