gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
SBK1,0.396389625,1.8190915,2.49425,4.2902825,0.24324975,0.418439667,0.14,0.71
HLA-DOB,397.3094912,0.96405375,2.94689155,2.44463075,2.83272575,2.640888833,0,0
CYP2J2,1.246845059,2.63175075,4.68787005,0.1668131,0,0,6.19,0
SLPI,0.144104,0,0,0,42.649875,0.321432333,0,0
RTN1,1.034814975,0.01082535,0.02202245,0,1.433723322,22.22589691,0,11.0725
EBI3,6.75158625,0,0,0,0.082437,2.09336925,0,33.7725
SRPX,0,0,0,0,0,0,76.9775,219.21
SLC1A3,0.425324951,0.242167,0,0,0.523006675,2.721698965,0,0
MSC,3.82489725,1.26578425,0,3.9560876,0.163131225,1.048116742,261.2725,0
DKK2,0,0,0,0.5350795,0,0.018988775,0,0
CNN3,4.75511779,9.064097625,19.62921293,0.66523675,1.251001775,0.590960917,373.205,157.3225
FAM153C,2.388611566,11.26997484,18.3219386,3.011392407,2.5292915,2.171034878,19.38,0.9325
EHF,0.022577625,0,0,0,0,0.314136761,0,0
PRLR,0.404829544,0.01275645,0.0150917,0.00737749,0.041244775,2.004129642,0.8375,0
SLC46A2,5.465469362,0.0612355,0.021240125,0.15132925,0.4180405,68.93182458,0,0
TMIGD2,0.51753225,53.36644,50.6472185,39.968908,0.196449,0.523754167,0.7075,1.3675
LILRA2,24.53083806,0.52265495,0.60466725,4.07290975,883.86696,473.8101925,0,0
C2,3.655833609,2.04942425,1.91557775,1.09686225,1.7452901,39.12962501,0,100.445
PDE3A,0.078684475,0.03308255,0.07247475,0.05718015,0.040425975,0.066279183,0,0
ZNF556,1.179268125,1.46418275,1.73815,1.47848025,2.0259675,1.25083875,0,0
XCL2,0.494068875,0.42932925,0.06883525,31.202925,0,0.248984083,0,0
TM4SF1,0,0,0.03139575,0,0,0,183.6225,1589.1
DYSF,3.338548562,0.004151779,1.855246222,7.090654288,265.9032155,23.40667704,0,2.1625
CALN1,0.08177725,0.064400325,0.10112815,0.101050025,0.2294248,0.074181958,1.6625,1.26
DNTT,0,0.75868367,0,0.291053362,0,0.004677747,0,0
GFRA2,0.398661388,1.106994,0,0.438110925,0.050419,7.444443233,0,0
FAM198B,5.651130537,0,0.020103725,0.229358375,0.537182727,62.2023834,11.5925,73.9375
ZNF385D,0.8340353,0.069914825,0.077549275,0.4144976,0.088744575,0.130101675,0,8.95
ACER1,0.40112725,4.6234885,6.1591625,0.51048825,0.48469025,0.516852833,0,0
MAMDC2,0,0,0.08200395,0.3899385,0,0.044180292,0.315,0
PI3,0,0,0,0,95.759425,0.123359167,0,0
LAG3,0.02969775,1.294763,1.318827778,8.494153,0.11135235,0.059017717,0,0
CD19,425.8131581,0.084539152,0.59586976,0.82136575,0.37843735,0.865874169,0,0
TCF7L2,3.427371078,2.88962969,6.7864032,11.21333424,14.39326568,259.2074487,0,5.5875
LRP4,0,0,0,0,0,0.008427917,13.5925,0
GUCY1A3,1.749168908,0,0,6.652827171,0,15.24368689,87.7675,0
FLT3,1.59175375,0,0.00694035,1.405772488,0.4038655,6.500932583,0,0
KLF4,9.408838663,0.204205725,0.091331425,1.531516125,2.89187325,93.73787049,3.8425,31.785
FZD1,0.120029375,0.0038933,0,0.0128857,0.048136825,3.246846417,0,0
CTAGE9,0.0201055,0,0,0,0.0140048,0.011780575,0,0
NETO1,6.671204488,0,0,0,0,0,0,0
ALS2CL,0.445056808,37.74214754,6.65596214,0.197836835,0.0981253,2.310805889,0.71,2.075
LGALS9B,1.809000625,0,0,83.836185,2.3323825,1.45232773,0,0
ZNF703,0.595331213,0.085082,0.18398715,0.067603075,0.05687425,6.587169333,0,0
ERRFI1,1.649501663,1.536794,1.72382825,2.71822175,0.5628951,1.535203725,86.2225,334.66
RHOBTB3,1.0255687,4.98853025,2.38783275,20.715298,3.037489319,3.610460358,4.7275,26.4
STYK1,0.0828282,0.18063675,0.82552825,7.450535,0,0.055282708,0,0
