,0,1,2,3,4,5,6
0,basic,DeconRNASeq,Microarray,brain,0.44082897446521696,0.9515151515151514,2.279854920641689e-05
1,basic,DeconRNASeq,Microarray,muscle,0.7331366280750193,0.9757575757575757,1.4675461874042197e-06
2,basic,DeconRNASeq,Microarray,lung,0.3932980353142865,0.8545454545454544,0.0016368033159867143
3,basic,DeconRNASeq,Microarray,liver,0.2540789701999474,0.9878787878787878,9.307459988955517e-08
4,basic,DeconRNASeq,Microarray,heart,0.15497847896948003,0.8060606060606059,0.004862061101964606
0,basic,DSA,Microarray,liver,0.839891094957686,0.9931584145359876,1.05041318021364e-09
1,basic,DSA,Microarray,brain,0.7193520738902974,0.9954441676503465,1.6909623943412074e-10
2,basic,DSA,Microarray,lung,0.5561707403889029,0.9862693712811287,2.390348942277324e-08
0,basic,EPIC,Microarray,Bcells,0.7877796515540827,0.7999999999999999,0.20000000000000007
1,basic,EPIC,Microarray,CD4_Tcells,,,
2,basic,EPIC,Microarray,CD8_Tcells,-0.3097564114061059,-0.7999999999999999,0.20000000000000007
3,basic,EPIC,Microarray,NKcells,-0.9067573090420933,-0.632455532033676,0.367544467966324
0,basic,RatBrain,Microarray,Neuronal,0.9400004125909031,0.8807710121010885,0.0007637917374575802
1,basic,RatBrain,Microarray,Astrocytic,0.3245495009052732,0.47989897926858555,0.1604123156298613
2,basic,RatBrain,Microarray,Oligodendrocytic,,,
3,basic,RatBrain,Microarray,Microglial,0.7575084482921719,0.6963106238227913,0.025293249585455497
0,basic,TIMER,Microarray,B_cell,0.657707918449426,0.4103913408340617,0.4925357817027974
1,basic,TIMER,Microarray,CD4_Tcell,-0.4184416927804748,-0.49999999999999994,0.39100221895577053
2,basic,TIMER,Microarray,CD8_Tcell,,,
3,basic,TIMER,Microarray,Neutrophil,-0.7949251846478568,-0.7,0.1881204043741873
4,basic,TIMER,Microarray,Macrophage,,,
5,basic,TIMER,Microarray,Dendritic,-0.3831718280645936,-0.3,0.6238376647810728
0,ks,10x,Microarray,cell1,0.9241563618477873,0.822966132437281,0.0034500786319813163
1,ks,10x,Microarray,cell2,0.7905985411304162,0.4947026468708208,0.14605380535428367
2,ks,10x,Microarray,cell3,0.7231948326072125,0.5658828838306511,0.08817167878079916
3,ks,10x,Microarray,cell4,0.8183598934231041,0.7082433577503119,0.021894617696887518
4,ks,10x,Microarray,cell5,0.838039247308852,0.5575367922296182,0.09402667660146945
0,ks,Abbas,Microarray,Jurkat,0.9732538720607096,0.9750406275392387,7.315875587755829e-08
1,ks,Abbas,Microarray,IM-9,0.9764096650084334,0.9802316524815399,2.3000616514313365e-08
2,ks,Abbas,Microarray,Raji,0.9881452384558197,0.9733285267845754,1.0164393599566229e-07
3,ks,Abbas,Microarray,THP-1,0.9820978655473537,0.9281909617845141,1.3318234375519398e-05
0,ks,BreastBlood,Microarray,Blood,0.9925895560330638,0.8285171561084911,0.005788863149163078
1,ks,BreastBlood,Microarray,Breast,0.9623031732568866,0.8285171561084911,0.005788863149163078
0,ks,xCell,Microarray,memory.CD4.T.cells,,,
1,ks,xCell,Microarray,memory.CD8.T.cells,,,
2,ks,xCell,Microarray,memory.B.cells,-0.08970698300310258,-0.06205095781132296,0.5314767141791457
3,ks,xCell,Microarray,monocytes,,,
4,ks,xCell,Microarray,naive.B.cells,,,
5,ks,xCell,Microarray,naive.CD4.T.cells,,,
6,ks,xCell,Microarray,naive.CD8.T.cells,-0.004910656049201022,0.043385249874234824,0.6618916226114571
7,ks,xCell,Microarray,NK.cells,,,
8,ks,xCell,Microarray,regulatory.T.cells,,,
0,ks,CIBERSORT,Microarray,B cells naive,0.9829231904931537,0.6315789473684211,0.2530804245544157
1,ks,CIBERSORT,Microarray,B cells memory,0.8300573566392897,0.9176629354822471,0.02800845601014614
2,ks,CIBERSORT,Microarray,Plasma cells,,,
3,ks,CIBERSORT,Microarray,T cells CD8,,,
4,ks,CIBERSORT,Microarray,T cells CD4 naive,,,
5,ks,CIBERSORT,Microarray,T cells CD4 memory resting,,,
6,ks,CIBERSORT,Microarray,T cells CD4 memory activated,,,
7,ks,CIBERSORT,Microarray,T cells follicular helper,,,
8,ks,CIBERSORT,Microarray,T cells regulatory (Tregs),0.8864893865156063,0.9746794344808964,0.004818230468198537
9,ks,CIBERSORT,Microarray,T cells gamma delta,,,
10,ks,CIBERSORT,Microarray,NK cells resting,0.7883561227922861,0.6,0.28475697986529375
11,ks,CIBERSORT,Microarray,NK cells activated,,,
12,ks,CIBERSORT,Microarray,Monocytes,,,
13,ks,CIBERSORT,Microarray,Macrophages M0,,,
14,ks,CIBERSORT,Microarray,Macrophages M1,,,
15,ks,CIBERSORT,Microarray,Macrophages M2,,,
16,ks,CIBERSORT,Microarray,Dendritic cells resting,,,
17,ks,CIBERSORT,Microarray,Dendritic cells activated,,,
18,ks,CIBERSORT,Microarray,Mast cells resting,,,
19,ks,CIBERSORT,Microarray,Mast cells activated,0.9882629904001247,0.892217816219194,0.04178355623617571
20,ks,CIBERSORT,Microarray,Eosinophils,,,
21,ks,CIBERSORT,Microarray,Neutrophils,,,
0,ks,DeconRNASeq,Microarray,brain,0.9506814764809365,0.9515151515151514,2.279854920641689e-05
1,ks,DeconRNASeq,Microarray,muscle,0.9723572278885767,0.9665698144513026,5.248115668648561e-06
2,ks,DeconRNASeq,Microarray,lung,0.9651266888228917,0.9726488698881034,2.3689349006384747e-06
3,ks,DeconRNASeq,Microarray,liver,0.956275076048183,0.960490759014502,1.0163235882999591e-05
4,ks,DeconRNASeq,Microarray,heart,0.887197959466295,0.8963581269790831,0.00044468866296464867
0,ks,DSA,Microarray,liver,0.9904605774075146,0.9862489084893601,2.4063504782507917e-08
1,ks,DSA,Microarray,brain,0.9912220009603152,0.9838573324895269,4.93440681274757e-08
2,ks,DSA,Microarray,lung,0.9152768658166276,0.9885185631902365,1.0721183181671042e-08
0,ks,EPIC,Microarray,Bcells,0.7773101097220337,0.7999999999999999,0.20000000000000007
1,ks,EPIC,Microarray,CD4_Tcells,-0.9803768763745551,-0.8944271909999159,0.10557280900008413
2,ks,EPIC,Microarray,CD8_Tcells,-0.5882700707757872,-0.7999999999999999,0.20000000000000007
3,ks,EPIC,Microarray,NKcells,0.8681403631948695,0.3333333333333334,0.6666666666666666
0,ks,RatBrain,Microarray,Neuronal,0.9929451062882323,0.8834522085987724,0.000699719224379987
1,ks,RatBrain,Microarray,Astrocytic,0.9068522778529523,0.8640190385254557,0.0012653296625768716
2,ks,RatBrain,Microarray,Oligodendrocytic,0.977486292515038,0.8584656022136526,0.001474656860663693
3,ks,RatBrain,Microarray,Microglial,0.8658417062315054,0.6984302957695783,0.024664781492646056
0,ks,TIMER,Microarray,B_cell,,,
1,ks,TIMER,Microarray,CD4_Tcell,-0.4176651136990503,-0.7,0.1881204043741873
2,ks,TIMER,Microarray,CD8_Tcell,0.8107081678771692,0.35909242322980395,0.5528147466433505
3,ks,TIMER,Microarray,Neutrophil,0.14987854477644372,0.35909242322980395,0.5528147466433505
4,ks,TIMER,Microarray,Macrophage,,,
5,ks,TIMER,Microarray,Dendritic,,,
0,euclid,10x,Microarray,cell1,0.9243013946186379,0.8152626917723008,0.00405065030072368
1,euclid,10x,Microarray,cell2,0.7901001331857141,0.4822553024132208,0.15807226898115406
2,euclid,10x,Microarray,cell3,0.7971279044378201,0.6210338067047952,0.055329184169790664
3,euclid,10x,Microarray,cell4,0.8194553175434005,0.7598123109963695,0.010769501525610197
4,euclid,10x,Microarray,cell5,0.8998246749438341,0.7699703200071729,0.009181533254450269
0,euclid,Abbas,Microarray,Jurkat,0.9927944113631871,0.9716254134469436,1.3811738967574605e-07
1,euclid,Abbas,Microarray,IM-9,0.9919787109711198,0.9716254134469436,1.3811738967574605e-07
2,euclid,Abbas,Microarray,Raji,0.9917681298498922,0.9716254134469436,1.3811738967574605e-07
3,euclid,Abbas,Microarray,THP-1,0.9617726838610836,0.7988920066119314,0.0018280912052316756
0,euclid,BreastBlood,Microarray,Blood,0.8424207183736159,0.8215838362577492,0.00660265592724442
1,euclid,BreastBlood,Microarray,Breast,0.992422838528779,0.8215838362577492,0.00660265592724442
