GeneSymbol,naive.CD4.T.cells,naive.CD8.T.cells,naive.B.cells,monocytes,NK.cells ,myeloid.dendritic.cells
DNAJB1,1.662801186,1.625380569,0.581397794,0.581397794,0.581397794,0.581397794
TECR,0.625838298,0.625838298,0.625838298,0.625838298,0.625838298,1.390592836
NDUFB7,0.552904098,0.552904098,0.552904098,1.603998617,2.036772126,1.372361158
ADGRE2,0.865447758,0.865447758,0.865447758,0.865447758,0.865447758,0.865447758
RASAL3,0.676032128,0.676032128,0.676032128,0.676032128,0.676032128,0.676032128
TPM4,0.711720352,0.711720352,0.711720352,0.711720352,0.711720352,1.798672161
RAB8A,0.702841894,0.702841894,0.702841894,0.702841894,0.702841894,1.135988501
FAM32A,0.720230561,0.720230561,0.720230561,0.720230561,0.720230561,0.720230561
KLF2,1.374767485,1.317370075,1.286551267,0.896352114,1.219511033,0.369170194
MYO9B,0.758112776,0.758112776,0.758112776,0.758112776,0.758112776,0.758112776
BST2,0.602043822,0.602043822,0.602043822,1.593123499,2.042012703,2.129768368
PGLS,0.599903289,0.599903289,0.599903289,1.950955944,0.599903289,1.444612189
FAM129C,0.805906651,0.805906651,0.805906651,0.805906651,0.805906651,6.183467333
RPL18A,1.339526138,1.341442553,1.933472074,0.730501214,0.283135469,0.660216708
IFI30,0.759974793,0.759974793,0.759974793,3.537099287,0.759974793,0.759974793
JUND,0.547903591,0.547903591,0.547903591,1.907891245,0.547903591,1.186903814
LSM4,0.647609153,0.647609153,0.647609153,0.647609153,0.647609153,1.861154873
LRRC25,0.816563221,0.816563221,0.816563221,0.816563221,0.816563221,0.816563221
FKBP8,0.514186494,0.954845715,0.514186494,1.339512919,1.648554436,1.166118968
UBA52,1.22340994,1.176014206,1.135551138,1.34347996,0.596531702,0.959726485
COPE,0.500702735,0.500702735,0.500702735,1.425832767,1.702434882,2.27161362
NDUFA13,0.486539737,0.952158373,0.486539737,1.569960764,1.37704463,1.104239014
ZNF90,0.571071299,1.427750755,0.571071299,0.571071299,0.571071299,1.236534086
UQCRFS1,0.616075006,0.616075006,0.616075006,0.616075006,0.616075006,1.481757886
PLEKHF1,0.839005457,0.839005457,0.839005457,0.839005457,0.839005457,0.839005457
CEBPA,0.855427179,0.855427179,0.855427179,0.855427179,0.855427179,0.855427179
CEBPG,0.806300216,0.806300216,0.806300216,0.806300216,0.806300216,0.806300216
LSM14A,0.632488873,0.632488873,0.632488873,0.632488873,0.632488873,0.632488873
FXYD5,1.137495927,1.071337597,1.044495649,1.212979857,1.005822049,0.771238918
USF2,0.719468173,0.719468173,0.719468173,0.719468173,0.719468173,2.47480526
CD22,0.780470613,0.780470613,4.671887585,0.780470613,0.780470613,0.780470613
TMEM147,0.671021839,0.671021839,0.671021839,0.671021839,0.671021839,1.785137492
COX6B1,1.014680868,1.010312004,1.046531932,1.670478825,1.191747664,1.334096425
IGFLR1,0.840863501,0.840863501,0.840863501,0.840863501,0.840863501,5.166367052
PSENEN,0.694796553,0.694796553,0.694796553,0.694796553,0.694796553,2.347247471
HCST,0.926208213,1.261125535,0.371751816,1.381595562,2.308180904,1.395289432
TYROBP,0.583875044,0.583875044,0.583875044,3.366316468,2.357947372,2.111581253
POLR2I,0.679941155,0.679941155,0.679941155,0.679941155,0.679941155,1.850529862
TBCB,0.633827834,0.633827834,0.633827834,0.633827834,0.633827834,1.740305926
CAPNS1,0.706032595,0.706032595,0.706032595,0.706032595,0.706032595,0.706032595
SPINT2,0.680511632,0.680511632,0.680511632,0.680511632,0.680511632,3.475260474
PPP1R14A,0.879579834,0.879579834,0.879579834,0.879579834,0.879579834,0.879579834
C19orf33,0.945475544,0.945475544,0.945475544,0.945475544,0.945475544,0.945475544
YIF1B,0.811181918,0.811181918,0.811181918,0.811181918,0.811181918,0.811181918
KCNK6,0.821309959,0.821309959,0.821309959,0.821309959,0.821309959,0.821309959
PSMD8,0.61427404,0.61427404,0.61427404,0.61427404,0.61427404,1.590405998
MAP4K1,0.772469193,0.772469193,0.772469193,0.772469193,0.772469193,0.772469193
EIF3K,1.180840814,1.206590853,1.024883848,1.326682999,1.086231829,1.135364606
ACTN4,0.758237451,0.758237451,0.758237451,0.758237451,0.758237451,2.52534669
ECH1,0.611232724,0.611232724,0.611232724,0.611232724,0.611232724,1.412790626
GMFG,1.17742985,1.057730219,0.923761612,1.476989744,1.246974803,0.828345014
ZFP36,0.895293983,1.041992387,0.976473844,1.897688214,1.370007688,1.27116495
RPS16,1.515788072,1.580077289,1.151625955,0.681769208,0.460863007,1.007897067
SUPT5H,0.763346149,0.763346149,0.763346149,0.763346149,0.763346149,0.763346149
FBL,0.538671459,1.4677843,0.538671459,0.538671459,0.538671459,1.264741534
PSMC4,0.724268232,0.724268232,0.724268232,0.724268232,0.724268232,0.724268232
PLD3,0.751744625,0.751744625,0.751744625,0.751744625,0.751744625,0.751744625
BLVRB,0.724289713,0.724289713,0.724289713,3.133530184,0.724289713,0.724289713
SHKBP1,0.673835336,0.673835336,0.673835336,0.673835336,0.673835336,0.673835336
RAB4B,0.777059187,0.777059187,0.777059187,0.777059187,0.777059187,0.777059187
TGFB1,0.605375808,0.605375808,0.605375808,1.333939405,2.451954834,0.605375808
TMEM91,0.861060271,0.861060271,0.861060271,0.861060271,0.861060271,0.861060271
RPS19,1.313441693,1.522628499,1.500090817,0.480270553,0.547223452,0.782670011
CD79A,0.705139501,0.705139501,4.883967629,0.705139501,0.705139501,0.705139501
ARHGEF1,1.317239107,1.396244653,0.538225112,0.538225112,1.78311221,0.538225112
RABAC1,0.58133141,0.58133141,0.58133141,0.58133141,0.58133141,1.625170779
POU2F2,0.661581123,0.661581123,0.661581123,1.62056561,0.661581123,0.661581123
DEDD2,0.722994052,0.722994052,0.722994052,0.722994052,0.722994052,0.722994052
ETHE1,0.741422665,0.741422665,0.741422665,0.741422665,0.741422665,0.741422665
ZNF428,0.678287205,0.678287205,0.678287205,0.678287205,0.678287205,1.750832157
PLAUR,0.778228874,0.778228874,0.778228874,0.778228874,0.778228874,0.778228874
CLPTM1,0.784217271,0.784217271,0.784217271,0.784217271,0.784217271,0.784217271
ERCC1,0.741290019,0.741290019,0.741290019,0.741290019,0.741290019,2.518636587
FOSB,1.115718733,1.107384104,1.093847248,1.665482257,0.442436822,1.491853762
PPM1N,0.857031895,0.857031895,0.857031895,0.857031895,0.857031895,0.857031895
VASP,0.593097876,0.593097876,0.593097876,1.498443792,2.020728967,0.593097876
SNRPD2,1.332719,1.317316771,1.024047241,0.892832355,1.076977554,1.098611491
SYMPK,0.795433608,0.795433608,0.795433608,0.795433608,0.795433608,0.795433608
CALM3,0.542285337,1.127996454,0.542285337,1.07525917,1.773444981,0.542285337
SLC1A5,0.872175792,0.872175792,0.872175792,0.872175792,0.872175792,9.858152418
AP2S1,0.573050775,0.573050775,0.573050775,2.304106414,0.573050775,1.560589173
TMEM160,0.629823245,0.629823245,0.629823245,1.411930977,0.629823245,1.457288219
C5AR1,0.825692384,0.825692384,0.825692384,0.825692384,0.825692384,0.825692384
NAPA,0.724308938,0.724308938,0.724308938,0.724308938,0.724308938,2.370458163
GLTSCR2,1.452290514,1.35862717,1.397190293,0.680267663,0.798471613,0.741491827
