,Lin-_1,Lin-_2,MNC_1,MNC_2
209606_at,544.5941599,544.4523639,2461.528473,2164.843937
209607_x_at,1109.014885,1050.742485,1815.63729,1695.82799
209608_s_at,1119.756525,1055.496028,449.2095011,478.6330224
209609_s_at,2046.703024,1947.811629,1077.278393,955.2345073
209610_s_at,380.8470364,414.6895254,196.7998093,223.1894286
209611_s_at,81.56228368,70.37479216,51.05082874,61.5479193
209612_s_at,11.4531643,14.34965339,10.48319151,11.90583564
209613_s_at,13.27919952,11.00912225,9.772991014,11.93036626
209614_at,45.08182872,39.36932651,46.26891684,50.34217602
209615_s_at,140.4063975,167.9649139,650.1705198,700.0316196
209616_s_at,66.37285892,52.7389646,455.1904294,460.5723126
209617_s_at,28.80038562,35.06738085,26.3846048,27.17449916
209618_at,16.90087757,22.59744095,14.85891838,20.27193187
209619_at,10659.57142,10012.85405,12223.30711,11312.89448
209620_s_at,1514.086867,1361.779112,887.4071279,816.0848708
209621_s_at,42.65628581,38.05286828,40.06790257,51.13424905
209622_at,277.7136686,320.0641255,334.5554626,347.7384639
209623_at,1275.499676,1321.856904,633.3020034,598.1522888
209624_s_at,202.4702859,188.1373379,93.58452745,117.2808302
209625_at,437.4695382,448.9503328,342.7712627,375.3140222
209626_s_at,346.6402485,341.0831688,306.3173851,299.6585027
209627_s_at,785.7087161,700.2257862,435.1921564,443.8226717
209628_at,987.6356632,877.2363111,770.1762451,800.3411964
209629_s_at,29.98095545,29.82345032,33.79800641,32.50606603
209630_s_at,2530.771519,2363.121597,3058.784752,2626.829876
209631_s_at,11.60022183,13.25021191,9.845286631,13.14561318
209632_at,92.51966112,97.34650842,23.49115262,21.92787141
209633_at,148.207588,117.1454022,39.44285302,34.43972868
209635_at,202.5042382,217.4900411,149.0497129,149.515413
209636_at,146.77097,166.6904419,410.1559376,429.779866
209637_s_at,58.95996114,55.45633466,42.53446617,40.52474328
209638_x_at,31.89325574,26.7783081,28.13201942,31.25988338
209639_s_at,45.44766395,59.29637234,33.6986279,42.54092182
209640_at,112.0372696,115.56204,52.6203497,62.44873942
209641_s_at,103.5230053,101.2556755,81.85706852,94.45253719
209642_at,248.2055238,257.7555891,80.73001489,106.7665318
209643_s_at,65.82221261,90.06814188,226.4096871,224.5726418
209644_x_at,27.09304565,29.35021977,29.26075632,36.69404205
209645_s_at,94.46929083,105.6342508,57.03069125,57.73344377
209646_x_at,1218.519042,1499.925788,863.4605159,851.4016383
209647_s_at,168.6042197,184.2863627,93.03310833,107.101768
209648_x_at,128.0280233,138.7853351,82.03530969,98.27075206
209649_at,91.62685527,110.0541756,165.5617472,173.0659394
209650_s_at,127.9332463,116.6562238,121.1544923,125.246064
209651_at,257.8415098,276.8246775,75.96497285,86.91161175
209652_s_at,51.45376687,47.45191144,52.88412542,43.59132866
209653_at,113.4531531,126.535994,192.7642278,200.1231136
209654_at,1646.720341,1531.330094,1555.511981,1311.883956
209655_s_at,14.72203915,12.25170036,11.11892057,16.51509987
209656_s_at,14.58653607,13.90182162,9.933267853,15.04078354
209657_s_at,648.4379304,651.7247542,500.7177342,515.2214284
209658_at,2098.360619,2056.811417,1821.8254,1525.613941
209659_s_at,3461.442466,3410.411808,2702.550355,2314.1843
209660_at,38.52514798,33.90809007,37.66320301,28.7740006
209661_at,107.6809455,103.8714058,100.3623079,85.6440487
209662_at,481.3557766,416.0052701,290.1027982,284.2919411
209663_s_at,36.51051716,39.28365745,46.14407716,47.32359408
209664_x_at,72.95250134,82.37441596,81.79004375,67.67604378
209665_at,212.2964289,219.5830661,289.9281671,311.5141688
