	Lin-_1	MNC_1
200998_s_at	101.8267146	683.0520832
200999_s_at	527.6186478	5592.086315
201000_at	1083.097174	488.1965809
201001_s_at	1247.694925	1081.162448
201002_s_at	3310.392915	2990.616458
201003_x_at	213.7190147	408.9505123
201004_at	6056.78135	4053.85031
201005_at	340.5406292	618.7989834
201006_at	71.8567398	69.18090907
201007_at	3044.136456	2401.794773
201008_s_at	951.1853195	5507.179386
201009_s_at	1765.509968	7860.496341
201010_s_at	3694.298723	11252.74089
201011_at	672.9481931	706.1545995
201012_at	2257.648165	6494.416205
201013_s_at	1731.681993	371.7977584
201014_s_at	2794.980197	388.8644591
201015_s_at	472.1054945	145.7067649
201016_at	995.5917148	487.5139993
201017_at	472.772412	225.1476158
201018_at	983.351653	433.0222687
201019_s_at	626.4229013	286.4936668
201020_at	335.2950198	326.7865638
201021_s_at	609.9393497	436.3664882
201022_s_at	5188.090765	2783.13335
201023_at	1326.883486	1531.035624
201024_x_at	1895.854904	719.1065661
201025_at	276.4046088	136.0743284
201026_at	347.5924557	179.546286
201027_s_at	1088.247479	472.4675343
201028_s_at	4584.573611	2133.078772
201029_s_at	6416.81303	3591.645787
201030_x_at	16592.63465	9867.870239
201031_s_at	9333.55411	9236.371059
201032_at	4432.65125	5430.217659
201033_x_at	19149.55799	12542.24623
201034_at	3444.127708	8229.367154
201035_s_at	1498.396991	424.1875966
201036_s_at	1907.625521	522.1285798
201037_at	2067.5701	855.1956686
201038_s_at	2416.206834	2434.046359
201039_s_at	642.5089955	595.1884105
201040_at	914.3000934	2149.0799
201041_s_at	2073.386868	8702.547252
201042_at	160.0074221	117.8280596
201043_s_at	1659.35323	1548.166327
201044_x_at	85.03759237	151.0726115
201045_s_at	110.8172596	128.8721112
201046_s_at	570.2327384	536.9102932
201047_x_at	2493.334033	3412.955923
201048_x_at	68.35453525	85.34689853
201049_s_at	20661.69867	18315.73969
201050_at	168.5910606	146.116013
201051_at	4844.783509	4746.45288
201052_s_at	840.5891548	822.3627117
201053_s_at	2010.513376	1635.113525
201054_at	8179.663756	4310.549414
201055_s_at	806.1679188	607.689342
201056_at	271.7471347	182.8106346
201057_s_at	644.4887218	540.5515343
201058_s_at	716.8109804	439.2822498
201059_at	483.016918	280.9597488
201060_x_at	2100.12357	4313.275886
201061_s_at	3686.184733	6544.102019
201062_at	21.56874234	23.78202877
201063_at	2281.861992	771.5950919
201064_s_at	1140.384558	488.7084935
201065_s_at	4179.459594	4053.696478
201066_at	783.8265174	475.4830955
201067_at	94.76082263	62.582104
201068_s_at	2705.705776	1858.249207
201069_at	80.59803767	61.77636981
201070_x_at	1704.660607	2147.617663
